name,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu,control,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
West Burton,Coal,Conventional steam,0.0,Keadby,,1.0,1.0,1.0,Slack,0,0,0,1,0,0.0
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,327.9117540269986,Walpole,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,327.9117540269986
Baglan Bay CCS Gas,CCS Gas,CCS Gas,208.1979342160396,Melksham,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,208.1979342160396
Severn Power CCS Gas,CCS Gas,CCS Gas,340.32355288019994,Melksham,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,340.32355288019994
Blackburn CCS Gas,CCS Gas,CCS Gas,24.02283738850667,Penwortham,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,24.02283738850667
Damhead Creek CCS Gas,CCS Gas,CCS Gas,322.306416528254,Kemsley,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,322.306416528254
Rye House CCS Gas,CCS Gas,CCS Gas,286.2721617931533,Pelham,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,286.2721617931533
Shoreham CCS Gas,CCS Gas,CCS Gas,168.15986441486538,Lovedean,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,168.15986441486538
Castleford CCS Gas,CCS Gas,CCS Gas,22.421316752714663,Thornton/Drax/Eggborough,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,22.421316752714663
Sandbach CCS Gas,CCS Gas,CCS Gas,22.421316752714663,Daines,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,22.421316752714663
Thornhill CCS Gas,CCS Gas,CCS Gas,20.01903130682882,Th. Marsh/Stocksbridge,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,20.01903130682882
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,533.306988048281,Keadby,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,533.306988048281
South Humber Bank CCS Gas,CCS Gas,CCS Gas,546.5195750710049,Keadby,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,546.5195750710049
Langage CCS Gas,CCS Gas,CCS Gas,362.3444773450325,S.W.Penisula,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,362.3444773450325
Corby CCS Gas,CCS Gas,CCS Gas,162.9549165086842,Ratcliffe,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,162.9549165086842
Carrington CCS Gas,CCS Gas,CCS Gas,364.3463893702671,Daines,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,364.3463893702671
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,62.05899426600669,Harker,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,62.05899426600669
Rocksavage CCS Gas,CCS Gas,CCS Gas,324.30832855348854,Deeside,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,324.30832855348854
Coryton CCS Gas,CCS Gas,CCS Gas,320.30450450301936,Kemsley,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,320.30450450301936
Spalding CCS Gas,CCS Gas,CCS Gas,380.3616047125828,Walpole,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,380.3616047125828
Marchwood CCS Gas,CCS Gas,CCS Gas,359.541813087858,Lovedean,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,359.541813087858
Didcot B CCS Gas,CCS Gas,CCS Gas,580.551917780871,Bramley,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,580.551917780871
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,168.15986441486538,Bramford,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,168.15986441486538
Little Barford CCS Gas,CCS Gas,CCS Gas,289.47520665849555,Sundon/East Claydon,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,289.47520665849555
Pembroke CCS Gas,CCS Gas,CCS Gas,880.4370472049159,Melksham,100.0,1.0,1.0,1.0,PQ,0,0,0,1,0,880.4370472049159
