name,bus0,bus1,carrier,p_nom,marginal_cost,p_min_pu,build_year,p_nom_opt
BritNed,Netherlands,Kemsley,DC,990.0,20.0,-1.0,0,990.0
EastWest,Ireland,Deeside,DC,594.0,7.0,-1.0,0,594.0
Moyle,N. Ireland,Neilston,DC,594.0,7.0,-1.0,0,594.0
Nemo,Belgium,Sellindge,DC,990.0,20.0,-1.0,0,990.0
IFA,France1,Sellindge,DC,1980.0,15.0,-1.0,0,1980.0
IFA2,France2,Lovedean,DC,990.0,15.0,-1.0,0,990.0
NSL,Norway,Stella West,DC,1386.0,1.0,-1.0,0,1386.0
ElecLink,France1,Sellindge,DC,990.0,15.0,-1.0,0,990.0
Viking Link,Denmark,Walpole,DC,1386.0,7.0,-1.0,0,1386.0
Greenlink,Ireland2,Melksham,DC,495.0,7.0,-1.0,0,495.0
GridLink,France1,Kemsley,DC,1386.0,15.0,-1.0,0,1386.0
NeuConnect,Germany,Kemsley,DC,1386.0,20.0,-1.0,0,1386.0
NorthConnect,Norway,Peterhead,DC,1386.0,1.0,-1.0,0,1386.0
FAB Link,France2,S.W.Penisula,DC,1386.0,15.0,-1.0,0,1386.0
