name,v_nom,carrier,x,y
Beauly,275,AC,-4.533299377,57.4698758
Peterhead,275,AC,-1.804331289,57.48448144
Errochty,275,AC,-4.05490739,56.72457146
Denny/Bonnybridge,275,AC,-3.725281994,56.10923715
Neilston,400,AC,-4.414788151,55.8088314
Strathaven,400,AC,-3.880268135,55.75398831
Torness,400,AC,-2.50744844,55.92240072
Eccles,400,AC,-2.229827439,55.67725497
Harker,400,AC,-2.847819676,54.93117564
Stella West,400,AC,-1.667839578,54.98716161
Penwortham,400,AC,-2.679880458,53.77690972
Deeside,400,AC,-3.072207852,53.22303027
Daines,400,AC,-2.181395425,53.36145567
Th. Marsh/Stocksbridge,400,AC,-1.392935875,53.46704192
Thornton/Drax/Eggborough,400,AC,-0.9897525,53.83342756
Keadby,400,AC,-0.683866095,53.49343566
Ratcliffe,400,AC,-1.065185055,52.87644424
Feckenham,400,AC,-1.958840539,52.29694424
Walpole,400,AC,0.244973292,52.73047621
Bramford,400,AC,1.159650842,52.08873754
Pelham,400,AC,0.164053518,51.98279068
Sundon/East Claydon,400,AC,-0.634044034,51.95729432
Melksham,400,AC,-2.224943705,51.41919595
Bramley,400,AC,-0.978219453,51.29187667
London,400,AC,-0.131942956,51.53297258
Kemsley,400,AC,0.768177361,51.37601159
Sellindge,400,AC,1.117561796,51.1049268
Lovedean,400,AC,-0.995022392,50.91205028
S.W.Penisula,400,AC,-2.265293518,50.99634637
Netherlands,400,DC,4.0242,51.9605
Belgium,400,DC,3.18378,51.32593
France1,400,DC,1.78443,50.90301
France2,400,DC,-0.26217,49.11079
Ireland,400,DC,-6.5698,53.47463
N. Ireland,400,DC,-5.77047,54.8432
