,carrier,type,p_nom,bus,Turbine Capacity (MW),marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
West Burton,Coal,Conventional steam,0.0,Keadby,,,1.0,1.0,1.0
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,116.67140197753906,Walpole,,100.0,1.0,1.0,1.0
Baglan Bay CCS Gas,CCS Gas,CCS Gas,74.07707977294922,Melksham,,100.0,1.0,1.0,1.0
Severn Power CCS Gas,CCS Gas,CCS Gas,121.08753967285156,Melksham,,100.0,1.0,1.0,1.0
Blackburn CCS Gas,CCS Gas,CCS Gas,8.547355651855469,Penwortham,,100.0,1.0,1.0,1.0
Damhead Creek CCS Gas,CCS Gas,CCS Gas,114.67701721191406,Kemsley,,100.0,1.0,1.0,1.0
Rye House CCS Gas,CCS Gas,CCS Gas,101.85598754882812,Pelham,,100.0,1.0,1.0,1.0
Shoreham CCS Gas,CCS Gas,CCS Gas,59.83148956298828,Lovedean,,100.0,1.0,1.0,1.0
Castleford CCS Gas,CCS Gas,CCS Gas,7.977531909942627,Thornton/Drax/Eggborough,,100.0,1.0,1.0,1.0
Sandbach CCS Gas,CCS Gas,CCS Gas,7.977531909942627,Daines,,100.0,1.0,1.0,1.0
Thornhill CCS Gas,CCS Gas,CCS Gas,7.122796535491943,Th. Marsh/Stocksbridge,,100.0,1.0,1.0,1.0
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,189.7512969970703,Keadby,,100.0,1.0,1.0,1.0
South Humber Bank CCS Gas,CCS Gas,CCS Gas,194.4523468017578,Keadby,,100.0,1.0,1.0,1.0
Langage CCS Gas,CCS Gas,CCS Gas,128.922607421875,S.W.Penisula,,100.0,1.0,1.0,1.0
Corby CCS Gas,CCS Gas,CCS Gas,57.97956085205078,Ratcliffe,,100.0,1.0,1.0,1.0
Carrington CCS Gas,CCS Gas,CCS Gas,129.6348876953125,Daines,,100.0,1.0,1.0,1.0
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,22.08066940307617,Harker,,100.0,1.0,1.0,1.0
Rocksavage CCS Gas,CCS Gas,CCS Gas,115.38929748535156,Deeside,,100.0,1.0,1.0,1.0
Coryton CCS Gas,CCS Gas,CCS Gas,113.9647445678711,Kemsley,,100.0,1.0,1.0,1.0
Spalding CCS Gas,CCS Gas,CCS Gas,135.3331298828125,Walpole,,100.0,1.0,1.0,1.0
Marchwood CCS Gas,CCS Gas,CCS Gas,127.92542266845705,Lovedean,,100.0,1.0,1.0,1.0
Didcot B CCS Gas,CCS Gas,CCS Gas,206.56109619140625,Bramley,,100.0,1.0,1.0,1.0
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,59.83148956298828,Bramford,,100.0,1.0,1.0,1.0
Little Barford CCS Gas,CCS Gas,CCS Gas,102.99563598632812,Sundon/East Claydon,,100.0,1.0,1.0,1.0
Pembroke CCS Gas,CCS Gas,CCS Gas,313.2605895996094,Melksham,,100.0,1.0,1.0,1.0
Staythorpe C CCS Gas,CCS Gas,CCS Gas,252.4319000244141,Ratcliffe,,100.0,1.0,1.0,1.0
Seabank CCS Gas,CCS Gas,CCS Gas,175.79061889648438,Melksham,,100.0,1.0,1.0,1.0
Peterhead CCS Gas,CCS Gas,CCS Gas,168.09799194335938,Peterhead,,100.0,1.0,1.0,1.0
Keadby CCS Gas,CCS Gas,CCS Gas,104.70510864257812,Keadby,,100.0,1.0,1.0,1.0
Medway CCS Gas,CCS Gas,CCS Gas,107.5542221069336,Kemsley,,100.0,1.0,1.0,1.0
Saltend* CCS Gas,CCS Gas,CCS Gas,170.94711303710938,Keadby,,100.0,1.0,1.0,1.0
Cottam Development Centre CCS Gas,CCS Gas,CCS Gas,63.39288711547852,Keadby,,100.0,1.0,1.0,1.0
Enfield CCS Gas,CCS Gas,CCS Gas,58.12201690673828,London,,100.0,1.0,1.0,1.0
Grain CHP* CCS Gas,CCS Gas,CCS Gas,216.1056365966797,Kemsley,,100.0,1.0,1.0,1.0
VPI Immingham* CCS Gas,CCS Gas,CCS Gas,178.3548126220703,Keadby,,100.0,1.0,1.0,1.0
Connahs Quay CCS Gas,CCS Gas,CCS Gas,196.58917236328125,Deeside,,100.0,1.0,1.0,1.0
Aberthaw Power Station Biomass,Biomass (co-firing),Biomass (co-firing),3.849999904632568,Melksham,,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 1,Biomass (co-firing),Biomass (co-firing),70.94999694824219,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73
Thetford Biomass Power Station,Biomass (dedicated),Biomass (dedicated),37.56773906416364,Walpole,,44.0,1.0,1.0,0.73
Chilton Energy Plant,Biomass (dedicated),Biomass (dedicated),17.5641373597465,Stella West,,44.0,1.0,1.0,0.73
Double H Nurseries Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.463678157373831,S.W.Penisula,,44.0,1.0,1.0,0.73
Beckton STW Biodiesel Power Plant,Biomass (dedicated),Biomass (dedicated),7.806283153500783,London,,44.0,1.0,1.0,0.73
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),Biomass (dedicated),1.951570788375196,Thornton/Drax/Eggborough,,44.0,1.0,1.0,0.73
Invergordon Pellet Mill,Biomass (dedicated),Biomass (dedicated),2.2517854917993665,Beauly,,44.0,1.0,1.0,0.73
Caledonian Papermill,Biomass (dedicated),Biomass (dedicated),11.709283874070817,Neilston,,44.0,1.0,1.0,0.73
