name,bus0,bus1,carrier,p_nom,marginal_cost,p_min_pu
BritNed,Netherlands,Kemsley,DC,1520,20,-1
EastWest,Ireland,Deeside,DC,912,7,-1
Moyle,N. Ireland,Neilston,DC,912,7,-1
Nemo,Belgium,Sellindge,DC,1520,20,-1
IFA,France1,Sellindge,DC,3040,15,-1
IFA2,France2,Lovedean,DC,1520,15,-1
NSL,Norway,Stella West,DC,2128,1,-1
ElecLink,France1,Sellindge,DC,1520,15,-1
Viking Link,Denmark,Walpole,DC,2128,7,-1
Greenlink,Ireland2,Melksham,DC,760,7,-1
GridLink,France1,Kemsley,DC,2128,15,-1
NeuConnect,Germany,Kemsley,DC,2128,20,-1
NorthConnect,Norway,Peterhead,DC,2128,1,-1
FAB Link,France2,S.W.Penisula,DC,2128,15,-1
