name,bus0,bus1,r,x,b,s_nom,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
0,Beauly,Peterhead,0.0122,0.02,0.0856,2100.0,0,AC,2.6446280991735537e-07,1.6132231404958679e-07,2100.0,275.0
1,Beauly,Errochty,0.007,0.15,0.052,528.0,0,AC,1.9834710743801654e-06,9.256198347107438e-08,528.0,275.0
2,Beauly,Peterhead,0.0122,0.02,0.2844,2100.0,0,AC,2.6446280991735537e-07,1.6132231404958679e-07,2100.0,275.0
3,Beauly,Errochty,0.007,0.15,0.052,528.0,0,AC,1.9834710743801654e-06,9.256198347107438e-08,528.0,275.0
4,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.4454,3040.0,0,AC,8.59504132231405e-07,5.289256198347108e-09,3040.0,275.0
5,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.5545,3040.0,0,AC,8.59504132231405e-07,5.289256198347108e-09,3040.0,275.0
6,Errochty,Denny/Bonnybridge,0.003,0.041,0.0044,2592.0,0,AC,5.421487603305786e-07,3.9669421487603305e-08,2592.0,275.0
7,Errochty,Denny/Bonnybridge,0.003,0.041,0.044,2592.0,0,AC,5.421487603305786e-07,3.9669421487603305e-08,2592.0,275.0
8,Denny/Bonnybridge,Torness,0.00211,0.0135,0.1174,4360.0,0,AC,1.7851239669421487e-07,2.790082644628099e-08,4360.0,275.0
9,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1496,6000.0,0,AC,3.041322314049587e-07,1.7190082644628098e-08,6000.0,275.0
10,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1758,4480.0,0,AC,3.041322314049587e-07,1.7190082644628098e-08,4480.0,275.0
11,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,4000.0,0,AC,3.1735537190082644e-07,1.3223140495867768e-08,4000.0,275.0
12,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,4000.0,0,AC,3.1735537190082644e-07,1.3223140495867768e-08,4000.0,275.0
13,Denny/Bonnybridge,Torness,0.0021,0.0135,0.1538,4360.0,0,AC,1.7851239669421487e-07,2.7768595041322312e-08,4360.0,275.0
14,Neilston,Strathaven,0.00085,0.01051,0.38254,5560.0,0,AC,6.56875e-08,5.3125e-09,5560.0,400.0
15,Neilston,Strathaven,0.00151,0.01613,0.59296,5560.0,0,AC,1.0081249999999999e-07,9.437500000000001e-09,5560.0,400.0
16,Neilston,Deeside,0.0,0.0001,0.0,8800.0,0,AC,6.25e-10,0.0,8800.0,400.0
17,Strathaven,Harker,0.00078,0.00852,0.0737,8400.0,0,AC,5.325e-08,4.875e-09,8400.0,400.0
18,Strathaven,Harker,0.00078,0.00852,0.4635,8400.0,0,AC,5.325e-08,4.875e-09,8400.0,400.0
19,Torness,Eccles,0.0004,0.0001,0.728,8720.0,0,AC,6.25e-10,2.5e-09,8720.0,400.0
20,Torness,Eccles,0.0004,0.0001,1.2872,10000.0,0,AC,6.25e-10,2.5e-09,10000.0,400.0
21,Torness,Strathaven,0.003,0.2,0.2939,3800.0,0,AC,1.25e-06,1.875e-08,3800.0,400.0
22,Torness,Strathaven,0.003,0.2,0.2939,3800.0,0,AC,1.25e-06,1.875e-08,3800.0,400.0
23,Eccles,Stella West,0.00083,0.0175,0.6624,12280.0,0,AC,1.0937500000000001e-07,5.1875e-09,12280.0,400.0
24,Eccles,Stella West,0.00083,0.0175,0.6624,12280.0,0,AC,1.0937500000000001e-07,5.1875e-09,12280.0,400.0
