,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
0,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
1,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
2,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
3,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
4,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
5,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
6,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
7,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
8,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
9,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
10,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
11,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
12,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
13,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
14,396.0,990.0,1325.20591108781,990.0,-1386.0,-1325.20591108781,-990.0
15,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
16,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
17,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
18,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
19,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
20,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
21,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
22,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
23,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
24,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
25,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
26,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
27,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
28,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
29,-396.0,990.0,-1386.0,-990.0,1386.0,1386.0,-990.0
30,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
31,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
32,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
33,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
34,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
35,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
36,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
37,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
38,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
39,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
40,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
41,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
42,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
43,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
44,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
45,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
46,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
47,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
48,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
49,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
50,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
51,-396.0,990.0,-1386.0,-990.0,1386.0,1386.0,-990.0
52,396.0,990.0,-1386.0,990.0,-1386.0,1386.0,-990.0
53,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
54,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
55,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
56,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
