,snapshot,objective,stores,generators
0,2045-01-01 00:00:00,1,1,1
1,2045-01-01 01:00:00,1,1,1
2,2045-01-01 02:00:00,1,1,1
3,2045-01-01 03:00:00,1,1,1
4,2045-01-01 04:00:00,1,1,1
5,2045-01-01 05:00:00,1,1,1
6,2045-01-01 06:00:00,1,1,1
7,2045-01-01 07:00:00,1,1,1
8,2045-01-01 08:00:00,1,1,1
9,2045-01-01 09:00:00,1,1,1
10,2045-01-01 10:00:00,1,1,1
11,2045-01-01 11:00:00,1,1,1
12,2045-01-01 12:00:00,1,1,1
13,2045-01-01 13:00:00,1,1,1
14,2045-01-01 14:00:00,1,1,1
15,2045-01-01 15:00:00,1,1,1
16,2045-01-01 16:00:00,1,1,1
17,2045-01-01 17:00:00,1,1,1
18,2045-01-01 18:00:00,1,1,1
19,2045-01-01 19:00:00,1,1,1
20,2045-01-01 20:00:00,1,1,1
21,2045-01-01 21:00:00,1,1,1
22,2045-01-01 22:00:00,1,1,1
23,2045-01-01 23:00:00,1,1,1
24,2045-01-02 00:00:00,1,1,1
25,2045-01-02 01:00:00,1,1,1
26,2045-01-02 02:00:00,1,1,1
27,2045-01-02 03:00:00,1,1,1
28,2045-01-02 04:00:00,1,1,1
29,2045-01-02 05:00:00,1,1,1
30,2045-01-02 06:00:00,1,1,1
31,2045-01-02 07:00:00,1,1,1
32,2045-01-02 08:00:00,1,1,1
33,2045-01-02 09:00:00,1,1,1
34,2045-01-02 10:00:00,1,1,1
35,2045-01-02 11:00:00,1,1,1
36,2045-01-02 12:00:00,1,1,1
37,2045-01-02 13:00:00,1,1,1
38,2045-01-02 14:00:00,1,1,1
39,2045-01-02 15:00:00,1,1,1
40,2045-01-02 16:00:00,1,1,1
41,2045-01-02 17:00:00,1,1,1
42,2045-01-02 18:00:00,1,1,1
43,2045-01-02 19:00:00,1,1,1
44,2045-01-02 20:00:00,1,1,1
45,2045-01-02 21:00:00,1,1,1
46,2045-01-02 22:00:00,1,1,1
47,2045-01-02 23:00:00,1,1,1
48,2045-01-03 00:00:00,1,1,1
49,2045-01-03 01:00:00,1,1,1
50,2045-01-03 02:00:00,1,1,1
51,2045-01-03 03:00:00,1,1,1
52,2045-01-03 04:00:00,1,1,1
53,2045-01-03 05:00:00,1,1,1
54,2045-01-03 06:00:00,1,1,1
55,2045-01-03 07:00:00,1,1,1
56,2045-01-03 08:00:00,1,1,1
57,2045-01-03 09:00:00,1,1,1
58,2045-01-03 10:00:00,1,1,1
59,2045-01-03 11:00:00,1,1,1
60,2045-01-03 12:00:00,1,1,1
61,2045-01-03 13:00:00,1,1,1
62,2045-01-03 14:00:00,1,1,1
63,2045-01-03 15:00:00,1,1,1
64,2045-01-03 16:00:00,1,1,1
65,2045-01-03 17:00:00,1,1,1
66,2045-01-03 18:00:00,1,1,1
67,2045-01-03 19:00:00,1,1,1
68,2045-01-03 20:00:00,1,1,1
69,2045-01-03 21:00:00,1,1,1
70,2045-01-03 22:00:00,1,1,1
71,2045-01-03 23:00:00,1,1,1
72,2045-01-04 00:00:00,1,1,1
73,2045-01-04 01:00:00,1,1,1
74,2045-01-04 02:00:00,1,1,1
75,2045-01-04 03:00:00,1,1,1
76,2045-01-04 04:00:00,1,1,1
77,2045-01-04 05:00:00,1,1,1
78,2045-01-04 06:00:00,1,1,1
79,2045-01-04 07:00:00,1,1,1
80,2045-01-04 08:00:00,1,1,1
81,2045-01-04 09:00:00,1,1,1
82,2045-01-04 10:00:00,1,1,1
83,2045-01-04 11:00:00,1,1,1
84,2045-01-04 12:00:00,1,1,1
85,2045-01-04 13:00:00,1,1,1
86,2045-01-04 14:00:00,1,1,1
87,2045-01-04 15:00:00,1,1,1
88,2045-01-04 16:00:00,1,1,1
89,2045-01-04 17:00:00,1,1,1
90,2045-01-04 18:00:00,1,1,1
91,2045-01-04 19:00:00,1,1,1
92,2045-01-04 20:00:00,1,1,1
93,2045-01-04 21:00:00,1,1,1
94,2045-01-04 22:00:00,1,1,1
95,2045-01-04 23:00:00,1,1,1
96,2045-01-05 00:00:00,1,1,1
97,2045-01-05 01:00:00,1,1,1
98,2045-01-05 02:00:00,1,1,1
99,2045-01-05 03:00:00,1,1,1
100,2045-01-05 04:00:00,1,1,1
101,2045-01-05 05:00:00,1,1,1
102,2045-01-05 06:00:00,1,1,1
103,2045-01-05 07:00:00,1,1,1
104,2045-01-05 08:00:00,1,1,1
105,2045-01-05 09:00:00,1,1,1
106,2045-01-05 10:00:00,1,1,1
107,2045-01-05 11:00:00,1,1,1
108,2045-01-05 12:00:00,1,1,1
109,2045-01-05 13:00:00,1,1,1
110,2045-01-05 14:00:00,1,1,1
111,2045-01-05 15:00:00,1,1,1
112,2045-01-05 16:00:00,1,1,1
113,2045-01-05 17:00:00,1,1,1
114,2045-01-05 18:00:00,1,1,1
115,2045-01-05 19:00:00,1,1,1
116,2045-01-05 20:00:00,1,1,1
117,2045-01-05 21:00:00,1,1,1
118,2045-01-05 22:00:00,1,1,1
119,2045-01-05 23:00:00,1,1,1
120,2045-01-06 00:00:00,1,1,1
121,2045-01-06 01:00:00,1,1,1
122,2045-01-06 02:00:00,1,1,1
123,2045-01-06 03:00:00,1,1,1
124,2045-01-06 04:00:00,1,1,1
125,2045-01-06 05:00:00,1,1,1
126,2045-01-06 06:00:00,1,1,1
127,2045-01-06 07:00:00,1,1,1
128,2045-01-06 08:00:00,1,1,1
129,2045-01-06 09:00:00,1,1,1
130,2045-01-06 10:00:00,1,1,1
131,2045-01-06 11:00:00,1,1,1
132,2045-01-06 12:00:00,1,1,1
133,2045-01-06 13:00:00,1,1,1
134,2045-01-06 14:00:00,1,1,1
135,2045-01-06 15:00:00,1,1,1
136,2045-01-06 16:00:00,1,1,1
137,2045-01-06 17:00:00,1,1,1
138,2045-01-06 18:00:00,1,1,1
139,2045-01-06 19:00:00,1,1,1
140,2045-01-06 20:00:00,1,1,1
141,2045-01-06 21:00:00,1,1,1
142,2045-01-06 22:00:00,1,1,1
143,2045-01-06 23:00:00,1,1,1
144,2045-01-07 00:00:00,1,1,1
145,2045-01-07 01:00:00,1,1,1
146,2045-01-07 02:00:00,1,1,1
147,2045-01-07 03:00:00,1,1,1
148,2045-01-07 04:00:00,1,1,1
149,2045-01-07 05:00:00,1,1,1
150,2045-01-07 06:00:00,1,1,1
151,2045-01-07 07:00:00,1,1,1
152,2045-01-07 08:00:00,1,1,1
153,2045-01-07 09:00:00,1,1,1
154,2045-01-07 10:00:00,1,1,1
155,2045-01-07 11:00:00,1,1,1
156,2045-01-07 12:00:00,1,1,1
157,2045-01-07 13:00:00,1,1,1
158,2045-01-07 14:00:00,1,1,1
159,2045-01-07 15:00:00,1,1,1
160,2045-01-07 16:00:00,1,1,1
161,2045-01-07 17:00:00,1,1,1
162,2045-01-07 18:00:00,1,1,1
163,2045-01-07 19:00:00,1,1,1
164,2045-01-07 20:00:00,1,1,1
165,2045-01-07 21:00:00,1,1,1
166,2045-01-07 22:00:00,1,1,1
167,2045-01-07 23:00:00,1,1,1
168,2045-01-08 00:00:00,1,1,1
169,2045-01-08 01:00:00,1,1,1
170,2045-01-08 02:00:00,1,1,1
171,2045-01-08 03:00:00,1,1,1
172,2045-01-08 04:00:00,1,1,1
173,2045-01-08 05:00:00,1,1,1
174,2045-01-08 06:00:00,1,1,1
175,2045-01-08 07:00:00,1,1,1
176,2045-01-08 08:00:00,1,1,1
177,2045-01-08 09:00:00,1,1,1
178,2045-01-08 10:00:00,1,1,1
179,2045-01-08 11:00:00,1,1,1
180,2045-01-08 12:00:00,1,1,1
181,2045-01-08 13:00:00,1,1,1
182,2045-01-08 14:00:00,1,1,1
183,2045-01-08 15:00:00,1,1,1
184,2045-01-08 16:00:00,1,1,1
185,2045-01-08 17:00:00,1,1,1
186,2045-01-08 18:00:00,1,1,1
187,2045-01-08 19:00:00,1,1,1
188,2045-01-08 20:00:00,1,1,1
189,2045-01-08 21:00:00,1,1,1
190,2045-01-08 22:00:00,1,1,1
191,2045-01-08 23:00:00,1,1,1
192,2045-01-09 00:00:00,1,1,1
193,2045-01-09 01:00:00,1,1,1
194,2045-01-09 02:00:00,1,1,1
195,2045-01-09 03:00:00,1,1,1
196,2045-01-09 04:00:00,1,1,1
197,2045-01-09 05:00:00,1,1,1
198,2045-01-09 06:00:00,1,1,1
199,2045-01-09 07:00:00,1,1,1
200,2045-01-09 08:00:00,1,1,1
201,2045-01-09 09:00:00,1,1,1
202,2045-01-09 10:00:00,1,1,1
203,2045-01-09 11:00:00,1,1,1
204,2045-01-09 12:00:00,1,1,1
205,2045-01-09 13:00:00,1,1,1
206,2045-01-09 14:00:00,1,1,1
207,2045-01-09 15:00:00,1,1,1
208,2045-01-09 16:00:00,1,1,1
209,2045-01-09 17:00:00,1,1,1
210,2045-01-09 18:00:00,1,1,1
211,2045-01-09 19:00:00,1,1,1
212,2045-01-09 20:00:00,1,1,1
213,2045-01-09 21:00:00,1,1,1
214,2045-01-09 22:00:00,1,1,1
215,2045-01-09 23:00:00,1,1,1
216,2045-01-10 00:00:00,1,1,1
217,2045-01-10 01:00:00,1,1,1
218,2045-01-10 02:00:00,1,1,1
