name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,build_year,p_nom_opt
Dinorwig,1741.1586206896552,Pumped Storage Hydroelectric,0.0,10.290562131603604,0.865,0.865,17917.50096718413,Deeside,0,1741.1586206896552
Ffestiniog,362.7413793103448,Pumped Storage Hydroelectric,0.0,7.599695429131487,0.85,0.85,2756.72400230168,Deeside,0,362.7413793103448
Cruachan,1196.3243243243244,Pumped Storage Hydroelectric,0.0,31.532189623159084,0.865,0.865,37722.725445392265,Errochty,0,1196.3243243243244
Foyers,815.6756756756757,Pumped Storage Hydroelectric,0.0,41.03718282637214,0.865,0.865,33473.031829727326,Beauly,0,815.6756756756757
Beauly Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Beauly,0,263.89160296032406
Peterhead Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Peterhead,0,263.89160296032406
Errochty Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Errochty,0,263.89160296032406
Denny/Bonnybridge Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Denny/Bonnybridge,0,263.89160296032406
Neilston Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Neilston,0,263.89160296032406
Strathaven Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Strathaven,0,263.89160296032406
Torness Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Torness,0,263.89160296032406
Eccles Battery,263.89160296032406,Battery,0.0,1.4507312899351896,0.95,0.95,382.8358055656959,Eccles,0,263.89160296032406
Harker Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Harker,0,751.7631041871621
Stella West Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Stella West,0,751.7631041871621
Penwortham Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Penwortham,0,751.7631041871621
Deeside Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Deeside,0,751.7631041871621
Daines Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Daines,0,751.7631041871621
Th. Marsh/Stocksbridge Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Th. Marsh/Stocksbridge,0,751.7631041871621
Thornton/Drax/Eggborough Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Thornton/Drax/Eggborough,0,751.7631041871621
Keadby Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Keadby,0,751.7631041871621
Ratcliffe Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Ratcliffe,0,751.7631041871621
Feckenham Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Feckenham,0,751.7631041871621
Walpole Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Walpole,0,751.7631041871621
Bramford Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Bramford,0,751.7631041871621
Pelham Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Pelham,0,751.7631041871621
Sundon/East Claydon Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Sundon/East Claydon,0,751.7631041871621
Melksham Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Melksham,0,751.7631041871621
Bramley Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Bramley,0,751.7631041871621
London Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,London,0,751.7631041871621
Kemsley Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Kemsley,0,751.7631041871621
Sellindge Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Sellindge,0,751.7631041871621
Lovedean Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,Lovedean,0,751.7631041871621
S.W.Penisula Battery,751.7631041871621,Battery,0.0,1.4507312899351896,0.95,0.95,1090.6062578631245,S.W.Penisula,0,751.7631041871621
Beauly Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Beauly,0,138.0448275862069
Peterhead Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Peterhead,0,138.0448275862069
Errochty Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Errochty,0,138.0448275862069
Denny/Bonnybridge Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Denny/Bonnybridge,0,138.0448275862069
Neilston Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Neilston,0,138.0448275862069
Strathaven Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Strathaven,0,138.0448275862069
Torness Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Torness,0,138.0448275862069
Eccles Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Eccles,0,138.0448275862069
Harker Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Harker,0,138.0448275862069
Stella West Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Stella West,0,138.0448275862069
Penwortham Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Penwortham,0,138.0448275862069
Deeside Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Deeside,0,138.0448275862069
Daines Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Daines,0,138.0448275862069
Th. Marsh/Stocksbridge Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Th. Marsh/Stocksbridge,0,138.0448275862069
Thornton/Drax/Eggborough Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Thornton/Drax/Eggborough,0,138.0448275862069
Keadby Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Keadby,0,138.0448275862069
Ratcliffe Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Ratcliffe,0,138.0448275862069
Feckenham Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Feckenham,0,138.0448275862069
Walpole Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Walpole,0,138.0448275862069
Bramford Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Bramford,0,138.0448275862069
Pelham Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Pelham,0,138.0448275862069
Sundon/East Claydon Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Sundon/East Claydon,0,138.0448275862069
Melksham Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Melksham,0,138.0448275862069
Bramley Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Bramley,0,138.0448275862069
London Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,London,0,138.0448275862069
Kemsley Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Kemsley,0,138.0448275862069
Sellindge Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Sellindge,0,138.0448275862069
Lovedean Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,Lovedean,0,138.0448275862069
S.W.Penisula Compressed Air,138.0448275862069,Compressed Air,0.0,4.999175680063948,0.69,0.69,690.1103448275863,S.W.Penisula,0,138.0448275862069
Beauly Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Beauly,0,69.12413793103448
Peterhead Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Peterhead,0,69.12413793103448
Errochty Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Errochty,0,69.12413793103448
Denny/Bonnybridge Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Denny/Bonnybridge,0,69.12413793103448
Neilston Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Neilston,0,69.12413793103448
Strathaven Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Strathaven,0,69.12413793103448
Torness Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Torness,0,69.12413793103448
Eccles Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Eccles,0,69.12413793103448
Harker Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Harker,0,69.12413793103448
Stella West Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Stella West,0,69.12413793103448
Penwortham Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Penwortham,0,69.12413793103448
Deeside Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Deeside,0,69.12413793103448
Daines Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Daines,0,69.12413793103448
Th. Marsh/Stocksbridge Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Th. Marsh/Stocksbridge,0,69.12413793103448
Thornton/Drax/Eggborough Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Thornton/Drax/Eggborough,0,69.12413793103448
Keadby Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Keadby,0,69.12413793103448
Ratcliffe Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Ratcliffe,0,69.12413793103448
