,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
West Burton,Coal,Conventional steam,0.0,Keadby,,1.0,1.0,1.0
N2,Floating Wind,Floating Wind,2284.687478396555,Beauly,0.0,1.0,1.0,1.0
N3,Floating Wind,Floating Wind,2284.687478396555,Beauly,0.0,1.0,1.0,1.0
NE1,Floating Wind,Floating Wind,2284.687478396555,Peterhead,0.0,1.0,1.0,1.0
NE2,Floating Wind,Floating Wind,1142.3437391982775,Peterhead,0.0,1.0,1.0,1.0
NE3,Floating Wind,Floating Wind,1142.3437391982775,Peterhead,0.0,1.0,1.0,1.0
NE6,Floating Wind,Floating Wind,2284.687478396555,Peterhead,0.0,1.0,1.0,1.0
NE7,Floating Wind,Floating Wind,3427.0312175948325,Peterhead,0.0,1.0,1.0,1.0
NE8,Floating Wind,Floating Wind,1142.3437391982775,Peterhead,0.0,1.0,1.0,1.0
E1,Floating Wind,Floating Wind,3427.0312175948325,Peterhead,0.0,1.0,1.0,1.0
E2,Floating Wind,Floating Wind,2284.687478396555,Peterhead,0.0,1.0,1.0,1.0
E3,Floating Wind,Floating Wind,1142.3437391982775,Peterhead,0.0,1.0,1.0,1.0
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,95.25604997462963,Walpole,100.0,1.0,1.0,1.0
Baglan Bay CCS Gas,CCS Gas,CCS Gas,60.480032248302805,Melksham,100.0,1.0,1.0,1.0
Severn Power CCS Gas,CCS Gas,CCS Gas,98.86159557136509,Melksham,100.0,1.0,1.0,1.0
Blackburn CCS Gas,CCS Gas,CCS Gas,6.978465761848666,Penwortham,100.0,1.0,1.0,1.0
Damhead Creek CCS Gas,CCS Gas,CCS Gas,93.62774380063668,Kemsley,100.0,1.0,1.0,1.0
Rye House CCS Gas,CCS Gas,CCS Gas,83.1600484236529,Pelham,100.0,1.0,1.0,1.0
Shoreham CCS Gas,CCS Gas,CCS Gas,48.84925870004605,Lovedean,100.0,1.0,1.0,1.0
Castleford CCS Gas,CCS Gas,CCS Gas,6.513234493339473,Thornton/Drax/Eggborough,100.0,1.0,1.0,1.0
Sandbach CCS Gas,CCS Gas,CCS Gas,6.513234493339473,Daines,100.0,1.0,1.0,1.0
Thornhill CCS Gas,CCS Gas,CCS Gas,5.815387998799337,Th. Marsh/Stocksbridge,100.0,1.0,1.0,1.0
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,154.92193730040898,Keadby,100.0,1.0,1.0,1.0
South Humber Bank CCS Gas,CCS Gas,CCS Gas,158.76009689850443,Keadby,100.0,1.0,1.0,1.0
Langage CCS Gas,CCS Gas,CCS Gas,105.25850918442038,S.W.Penisula,100.0,1.0,1.0,1.0
