name,bus0,bus1,r,x,b,s_nom
0,Beauly,Peterhead,0.0122,0.02,0.0856,525
1,Beauly,Errochty,0.007,0.15,0.052,132
2,Beauly,Peterhead,0.0122,0.02,0.2844,525
3,Beauly,Errochty,0.007,0.15,0.052,132
4,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.4454,760
5,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.5545,760
6,Errochty,Denny/Bonnybridge,0.003,0.041,0.0044,648
7,Errochty,Denny/Bonnybridge,0.003,0.041,0.044,648
8,Denny/Bonnybridge,Torness,0.00211,0.0135,0.1174,1090
9,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1496,1500
10,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1758,1120
11,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1000
12,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1000
13,Denny/Bonnybridge,Torness,0.0021,0.0135,0.1538,1090
14,Neilston,Strathaven,0.00085,0.01051,0.38254,1390
15,Neilston,Strathaven,0.00151,0.01613,0.59296,1390
16,Neilston,Deeside,0.0,0.0001,0.0,2200
17,Strathaven,Harker,0.00078,0.00852,0.0737,2100
18,Strathaven,Harker,0.00078,0.00852,0.4635,2100
19,Torness,Eccles,0.0004,0.0001,0.728,2180
20,Torness,Eccles,0.0004,0.0001,1.2872,2500
21,Torness,Strathaven,0.003,0.2,0.2939,950
22,Torness,Strathaven,0.003,0.2,0.2939,950
23,Eccles,Stella West,0.00083,0.0175,0.6624,3070
24,Eccles,Stella West,0.00083,0.0175,0.6624,3070
25,Harker,Penwortham,0.00164,0.0163,0.4868,1390
26,Harker,Penwortham,0.00164,0.0163,0.4868,1390
27,Harker,Stella West,0.00352,0.02453,0.1898,855
28,Harker,Stella West,0.00492,0.0343,0.2502,775
29,Stella West,Thornton/Drax/Eggborough,0.00053,0.00835,5.373,4840
30,Stella West,Thornton/Drax/Eggborough,0.00052,0.0063,1.0636,4020
31,Penwortham,Thornton/Drax/Eggborough,0.0007,0.042,0.3907,2520
32,Penwortham,Thornton/Drax/Eggborough,0.00099,0.042,0.5738,2520
33,Penwortham,Daines,0.0004,0.0052,0.2498,2170
34,Penwortham,Daines,0.0004,0.0052,0.2664,2210
35,Penwortham,Deeside,0.0001,0.0085,0.0798,3320
36,Penwortham,Deeside,0.0001,0.0085,0.0798,3320
37,Deeside,Daines,0.00096,0.01078,0.385,3100
38,Deeside,Feckenham,0.00074,0.009,0.2911,2400
39,Deeside,Feckenham,0.00097,0.009,0.3835,2400
40,Deeside,Daines,0.00096,0.01078,0.385,3100
41,Daines,Feckenham,0.00049,0.007,0.1943,2400
42,Daines,Feckenham,0.00084,0.007,0.7759,2400
43,Daines,Thornton/Drax/Eggborough,0.00137,0.023,0.6643,1240
44,Daines,Thornton/Drax/Eggborough,0.00164,0.023,0.1104,955
45,Daines,Th. Marsh/Stocksbridge,0.00107,0.01163,1.1745,1040
46,Daines,Th. Marsh/Stocksbridge,0.00082,0.01201,1.2125,1040
47,Th. Marsh/Stocksbridge,Keadby,0.0005,0.016,0.2795,2580
48,Th. Marsh/Stocksbridge,Keadby,0.005,0.018,0.1466,625
49,Thornton/Drax/Eggborough,Keadby,0.00033,0.0052,0.3534,2770
50,Thornton/Drax/Eggborough,Keadby,0.00016,0.00172,0.3992,5540
51,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00019,0.00222,0.7592,5000
52,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00018,0.00222,0.5573,5000
53,Keadby,Feckenham,0.00056,0.0141,0.4496,2780
54,Keadby,Feckenham,0.00056,0.0141,0.4496,3820
55,Ratcliffe,Keadby,0.001,0.01072,0.2651,2150
56,Ratcliffe,Keadby,0.001,0.01072,0.4573,1890
57,Ratcliffe,Sundon/East Claydon,0.00068,0.0097,0.4566,2100
58,Ratcliffe,Sundon/East Claydon,0.00069,0.0097,0.4574,2100
59,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,3100
60,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,3460
61,Feckenham,Melksham,0.00138,0.0096,0.4829,1970
62,Feckenham,Melksham,0.00117,0.0096,0.4122,1970
63,Bramford,Kemsley,0.00035,0.0023,0.2249,2780
64,Bramford,Kemsley,0.00035,0.0023,0.2249,2780
65,Bramford,Walpole,0.00178,0.0213,0.6682,1590
66,Bramford,Walpole,0.00132,0.0143,0.3656,1590
67,Pelham,Keadby,0.00145,0.01824,0.9169,2780
68,Pelham,Keadby,0.00145,0.01824,0.9169,2780
69,Pelham,London,0.00025,0.01,0.1586,2780
70,Pelham,London,0.00025,0.01,0.1586,2780
71,Pelham,Bramford,0.0012,0.0048,0.4446,2780
72,Pelham,Bramford,0.0012,0.0048,0.7,2780
73,Pelham,Walpole,0.00037,0.0059,0.294,3030
74,Pelham,Walpole,0.00037,0.0059,0.2955,2780
75,Sundon/East Claydon,Keadby,0.00178,0.0172,0.8403,2010
76,Sundon/East Claydon,Keadby,0.00178,0.0172,0.627,2010
77,Sundon/East Claydon,London,0.00037,0.0041,0.4098,3275
78,Sundon/East Claydon,London,0.00034,0.0041,0.429,3275
79,Sundon/East Claydon,Pelham,0.00019,0.00111,0.1232,2780
80,Sundon/East Claydon,Pelham,0.00048,0.0061,0.3041,2780
81,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2010
82,Melksham,Bramley,0.00086,0.0008,0.9622,2780
83,Melksham,Bramley,0.00023,0.0007,2.8447,4400
84,Melksham,Sundon/East Claydon,0.00055,0.003,0.3468,2780
85,Melksham,Sundon/East Claydon,0.00039,0.003,0.2466,2770
86,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2010
87,Bramley,Lovedean,0.00068,0.007,0.2388,2210
88,Bramley,London,0.00104,0.0091,0.2918,1390
89,Bramley,London,0.00104,0.0091,0.2918,1390
90,Bramley,Lovedean,0.00068,0.007,0.2388,2210
91,London,Kemsley,0.0002,0.0057,0.532,6960
92,London,Kemsley,0.0002,0.0057,0.532,5540
93,Sellindge,Kemsley,0.0002,0.00503,0.1797,3100
94,Sellindge,Kemsley,0.0002,0.00503,0.1797,3100
95,Lovedean,Sellindge,0.00038,0.00711,0.2998,3070
96,Lovedean,Sellindge,0.00038,0.00711,0.2998,3070
97,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,2780
98,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,2780
