name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus
Dinorwig,1741.1586206896552,Pumped Storage Hydroelectric,0,10.290562131603604,0.865,0.865,17917.50096718413,Deeside
Ffestiniog,362.7413793103448,Pumped Storage Hydroelectric,0,7.599695429131487,0.85,0.85,2756.72400230168,Deeside
Cruachan,1196.3243243243244,Pumped Storage Hydroelectric,0,31.532189623159084,0.865,0.865,37722.725445392265,Errochty
Foyers,815.6756756756757,Pumped Storage Hydroelectric,0,41.03718282637214,0.865,0.865,33473.031829727326,Beauly
Beauly Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Beauly
Peterhead Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Peterhead
Errochty Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Errochty
Denny/Bonnybridge Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Denny/Bonnybridge
Neilston Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Neilston
Strathaven Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Strathaven
Torness Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Torness
Eccles Battery,263.89160296032406,Battery,0,1.4507312899351896,0.95,0.95,382.8358055656959,Eccles
Harker Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Harker
Stella West Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Stella West
Penwortham Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Penwortham
Deeside Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Deeside
Daines Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Daines
Th. Marsh/Stocksbridge Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Th. Marsh/Stocksbridge
Thornton/Drax/Eggborough Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Thornton/Drax/Eggborough
Keadby Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Keadby
Ratcliffe Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Ratcliffe
Feckenham Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Feckenham
Walpole Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Walpole
Bramford Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Bramford
Pelham Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Pelham
Sundon/East Claydon Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Sundon/East Claydon
Melksham Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Melksham
Bramley Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Bramley
London Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,London
Kemsley Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Kemsley
Sellindge Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Sellindge
Lovedean Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,Lovedean
S.W.Penisula Battery,751.7631041871621,Battery,0,1.4507312899351896,0.95,0.95,1090.6062578631245,S.W.Penisula
Beauly Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Beauly
Peterhead Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Peterhead
Errochty Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Errochty
Denny/Bonnybridge Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Denny/Bonnybridge
Neilston Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Neilston
Strathaven Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Strathaven
Torness Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Torness
Eccles Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Eccles
Harker Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Harker
Stella West Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Stella West
Penwortham Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Penwortham
Deeside Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Deeside
Daines Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Daines
Th. Marsh/Stocksbridge Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Th. Marsh/Stocksbridge
Thornton/Drax/Eggborough Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Thornton/Drax/Eggborough
Keadby Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Keadby
Ratcliffe Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Ratcliffe
Feckenham Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Feckenham
Walpole Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Walpole
Bramford Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Bramford
Pelham Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Pelham
Sundon/East Claydon Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Sundon/East Claydon
Melksham Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Melksham
Bramley Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Bramley
London Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,London
Kemsley Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Kemsley
Sellindge Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Sellindge
Lovedean Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,Lovedean
S.W.Penisula Compressed Air,138.0448275862069,Compressed Air,0,4.999175680063948,0.69,0.69,690.1103448275863,S.W.Penisula
Beauly Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Beauly
Peterhead Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Peterhead
Errochty Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Errochty
Denny/Bonnybridge Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Denny/Bonnybridge
Neilston Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Neilston
Strathaven Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Strathaven
Torness Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Torness
Eccles Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Eccles
Harker Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Harker
Stella West Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Stella West
Penwortham Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Penwortham
Deeside Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Deeside
Daines Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Daines
Th. Marsh/Stocksbridge Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Th. Marsh/Stocksbridge
Thornton/Drax/Eggborough Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Thornton/Drax/Eggborough
Keadby Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Keadby
Ratcliffe Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Ratcliffe
Feckenham Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Feckenham
Walpole Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Walpole
Bramford Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Bramford
Pelham Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Pelham
Sundon/East Claydon Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Sundon/East Claydon
Melksham Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Melksham
Bramley Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Bramley
London Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,London
Kemsley Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Kemsley
Sellindge Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Sellindge
Lovedean Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,Lovedean
S.W.Penisula Liquid Air,69.12413793103448,Liquid Air,0,4.196647710266388,0.69,0.69,290.0896551724138,S.W.Penisula
Beauly P2G,2967.498543516413,P2G,500,999999999.0,0.75,0.75,0.0,Beauly
Denny/Bonnybridge P2G,191.18062219426153,P2G,500,999999999.0,0.75,0.75,0.0,Denny/Bonnybridge
Eccles P2G,50.607942871291115,P2G,500,999999999.0,0.75,0.75,0.0,Eccles
Errochty P2G,119.81346924286396,P2G,500,999999999.0,0.75,0.75,0.0,Errochty
Neilston P2G,1439.9869431148381,P2G,500,999999999.0,0.75,0.75,0.0,Neilston
Peterhead P2G,5533.609477791489,P2G,500,999999999.0,0.75,0.75,0.0,Peterhead
Strathaven P2G,640.107454694104,P2G,500,999999999.0,0.75,0.75,0.0,Strathaven
Torness P2G,918.0030378260021,P2G,500,999999999.0,0.75,0.75,0.0,Torness
Bramford P2G,4207.936059071534,P2G,500,999999999.0,0.75,0.75,0.0,Bramford
Bramley P2G,131.91417847928895,P2G,500,999999999.0,0.75,0.75,0.0,Bramley
Daines P2G,42.05358684300225,P2G,500,999999999.0,0.75,0.75,0.0,Daines
Deeside P2G,933.8977006726537,P2G,500,999999999.0,0.75,0.75,0.0,Deeside
Feckenham P2G,136.86391293244543,P2G,500,999999999.0,0.75,0.75,0.0,Feckenham
Harker P2G,217.73718845508657,P2G,500,999999999.0,0.75,0.75,0.0,Harker
Keadby P2G,1068.4925616173546,P2G,500,999999999.0,0.75,0.75,0.0,Keadby
Kemsley P2G,210.00763456540966,P2G,500,999999999.0,0.75,0.75,0.0,Kemsley
London P2G,22.607720929779273,P2G,500,999999999.0,0.75,0.75,0.0,London
Lovedean P2G,378.31147298147033,P2G,500,999999999.0,0.75,0.75,0.0,Lovedean
Melksham P2G,949.9768630240833,P2G,500,999999999.0,0.75,0.75,0.0,Melksham
Pelham P2G,200.5280969353371,P2G,500,999999999.0,0.75,0.75,0.0,Pelham
Penwortham P2G,1126.906503473941,P2G,500,999999999.0,0.75,0.75,0.0,Penwortham
Ratcliffe P2G,229.52536191435252,P2G,500,999999999.0,0.75,0.75,0.0,Ratcliffe
S.W.Penisula P2G,712.3954297544175,P2G,500,999999999.0,0.75,0.75,0.0,S.W.Penisula
Sellindge P2G,288.1603045509663,P2G,500,999999999.0,0.75,0.75,0.0,Sellindge
Stella West P2G,3344.74740998756,P2G,500,999999999.0,0.75,0.75,0.0,Stella West
Sundon/East Claydon P2G,241.3885721479028,P2G,500,999999999.0,0.75,0.75,0.0,Sundon/East Claydon
Th. Marsh/Stocksbridge P2G,77.01954316972092,P2G,500,999999999.0,0.75,0.75,0.0,Th. Marsh/Stocksbridge
Thornton/Drax/Eggborough P2G,131.24256509711088,P2G,500,999999999.0,0.75,0.75,0.0,Thornton/Drax/Eggborough
Walpole P2G,4247.722369861816,P2G,500,999999999.0,0.75,0.75,0.0,Walpole
