name,bus0,bus1,carrier,p_nom,marginal_cost,p_min_pu
BritNed,Netherlands,bus,DC,1610.0,20,-1
EastWest,Ireland,bus,DC,966.0000000000001,7,-1
Moyle,N. Ireland,bus,DC,966.0000000000001,7,-1
Nemo,Belgium,bus,DC,1610.0,20,-1
IFA,France1,bus,DC,3220.0,15,-1
IFA2,France2,bus,DC,1610.0,15,-1
NSL,Norway,bus,DC,2254.0,1,-1
ElecLink,France1,bus,DC,1610.0,15,-1
Viking Link,Denmark,bus,DC,2254.0,7,-1
Greenlink,Ireland2,bus,DC,805.0,7,-1
GridLink,France1,bus,DC,2254.0,15,-1
NeuConnect,Germany,bus,DC,2254.0,20,-1
NorthConnect,Norway,bus,DC,2254.0,1,-1
FAB Link,France2,bus,DC,2254.0,15,-1
