name,bus,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial
Dinorwig,bus,2932.8950495049503,Pumped Storage Hydroelectric,0,14.284428286617207,0.865,0.865,41894.729006828085
Ffestiniog,bus,611.0198019801979,Pumped Storage Hydroelectric,0,10.54921033168521,0.85,0.85,6445.776407913755
Cruachan,bus,746.8019801980197,Pumped Storage Hydroelectric,0,43.77013574494023,0.865,0.865,32687.624047857484
Foyers,bus,509.18316831683165,Pumped Storage Hydroelectric,0,56.96410824515027,0.865,0.865,29005.16511660857
Beauly Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Peterhead Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Errochty Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Denny/Bonnybridge Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Neilston Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Strathaven Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Torness Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Eccles Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Harker Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Stella West Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Penwortham Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Deeside Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Daines Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Th. Marsh/Stocksbridge Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Thornton/Drax/Eggborough Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Keadby Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Ratcliffe Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Feckenham Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Walpole Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Bramford Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Pelham Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Sundon/East Claydon Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Melksham Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Bramley Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
London Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Kemsley Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Sellindge Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Lovedean Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
S.W.Penisula Battery,bus,1071.8297586206897,Battery,0,1.7433658323827352,0.95,0.95,1868.591379310345
Beauly Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Peterhead Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Errochty Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Denny/Bonnybridge Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Neilston Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Strathaven Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Torness Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Eccles Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Harker Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Stella West Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Penwortham Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Deeside Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
Daines Compressed Air,bus,207.0103448275862,Compressed Air,0,4.999450302333717,0.69,0.69,1034.9379310344827
