,Grid
0,-4.850000000000001
1,-2.549999999999997
2,-3.799999999999997
3,-7.5
4,-9.050000000000004
5,-16.4
6,-11.450000000000003
7,-20.6
8,-16.0
9,-20.2
10,-17.450000000000003
11,-17.450000000000003
12,-18.5
13,-16.200000000000003
14,-20.6
15,-18.5
16,-21.65
17,-14.300000000000004
18,-13.25
19,-8.399999999999999
20,-5.25
21,-3.799999999999997
22,-3.299999999999997
23,-0.6500000000000057
24,-5.899999999999999
25,-5.799999999999997
26,-5.899999999999999
27,-7.5
28,-6.950000000000003
29,-10.099999999999994
30,-13.450000000000003
31,-8.399999999999999
32,-0.7047619000000012
33,12.095238100000003
34,10.195238099999997
35,6.245238100000002
36,0.345238099999996
37,-5.954761900000001
38,-70.9547619
39,-9.050000000000004
40,-10.099999999999994
41,-18.5
42,-10.099999999999994
43,-17.450000000000003
44,-14.300000000000004
45,-24.8
46,-12.400000000000006
47,-23.55
48,-25.65
49,-16.4
50,-12.200000000000003
51,-20.6
52,-19.55
53,-22.7
54,-20.5
55,-22.7
56,-21.549999999999997
57,-22.7
58,-18.5
59,-14.100000000000001
60,-19.25
61,-9.25
62,-10.850000000000001
63,-6.950000000000003
64,-13.25
65,-5.049999999999997
66,-7.800000000000004
67,-5.149999999999999
68,-5.25
69,-5.049999999999997
70,-5.899999999999999
71,-5.049999999999997
72,-5.899999999999999
73,-5.899999999999999
74,-6.299999999999997
75,-6.200000000000003
76,-6.849999999999994
77,-6.950000000000003
78,-13.25
79,-4.850000000000001
80,-7.004761899999998
81,3.4952381000000017
82,3.4952381000000017
83,3.4952381000000017
84,-0.7047619000000012
85,-10.154761899999997
86,-72.0047619
87,-10.850000000000001
88,-10.099999999999994
89,-16.4
90,-13.25
91,-18.5
92,-18.5
93,-18.5
94,-18.5
95,-21.65
96,-25.950000000000003
97,-13.25
98,-24.8
99,-29.0
100,-29.0
101,-30.900000000000002
102,-29.0
103,-34.25
104,-26.9
105,-30.349999999999998
106,-27.95
107,-18.1
108,-16.0
109,-13.350000000000001
110,-11.150000000000006
111,-11.150000000000006
112,-10.099999999999994
113,-9.050000000000004
114,-5.899999999999999
115,-5.899999999999999
116,-4.450000000000003
117,-7.5
118,-5.899999999999999
119,-8.0
120,-9.349999999999994
121,-13.25
122,-14.200000000000003
123,-14.200000000000003
124,-16.1
125,-16.5
126,-14.5
127,-14.300000000000004
128,-9.1047619
129,2.4452380999999974
130,-1.654761899999997
131,-0.20476190000000116
132,-4.404761899999997
133,-9.1047619
134,-73.6047619
135,-13.25
136,-12.850000000000001
137,-16.4
138,-9.450000000000003
139,-14.300000000000004
140,-14.300000000000004
141,-21.65
142,-20.099999999999998
143,-20.6
144,-26.5
145,-18.5
146,-17.450000000000003
147,-27.7
148,-25.85
149,-27.650000000000002
150,-24.900000000000002
151,-27.0
152,-26.8
153,-26.9
154,-26.9
155,-21.65
156,-30.900000000000002
157,-26.9
158,-28.05
159,-20.099999999999998
160,-18.5
161,-13.25
162,-14.300000000000004
163,-14.300000000000004
164,-14.300000000000004
165,-14.300000000000004
166,-10.099999999999994
167,-10.099999999999994
168,-10.099999999999994
169,-12.599999999999994
170,-10.099999999999994
171,-10.0
