,Heat_Pump
0,2.746920892
1,2.707862695
2,2.668804498
3,2.4998858569999998
4,2.330967216
5,2.3057867759999997
6,2.280606336
7,2.2646256764999997
8,2.248645017
9,2.2402923945
10,2.231939772
11,2.2257500925
12,2.219560413
13,2.213961205
14,2.208361997
15,2.203059636
16,2.197757275
17,2.2117738759999996
18,2.225790477
19,2.248601637
20,2.271412797
21,2.286789667
22,2.302166537
23,2.3104156065000003
24,2.318664676
25,2.31691722
26,2.315169764
27,2.295893631
28,2.276617498
29,2.240735742
30,2.204853986
31,2.1848827359999996
32,2.164911486
33,2.152870387
34,2.140829288
35,2.129702048
36,2.118574808
37,2.1080462485
38,2.097517689
39,2.0900253905
40,2.082533092
41,2.077095187
42,2.071657282
43,2.0677109270000003
44,2.063764572
45,2.0611625285
46,2.058560485
47,2.0586430735
48,2.058725662
49,2.06050157
50,2.062277478
51,2.0655621205
52,2.068846763
53,2.070500041
54,2.072153319
55,2.072918102
56,2.073682885
57,2.073476178
58,2.073269471
59,2.0730214315
60,2.072773392
61,2.073145455
62,2.073517518
63,2.073331484
64,2.07314545
65,2.0842962095
66,2.095446969
67,2.113547933
68,2.131648897
69,2.140998831
70,2.150348765
71,2.1553616394999997
72,2.160374514
73,2.1595630435
74,2.158751573
75,2.1417337525
76,2.124715932
77,2.1024042065
78,2.080092481
79,2.0734571969999998
80,2.066821913
81,2.062505379
82,2.058188845
83,2.0545973625
84,2.05100588
85,2.050551926
86,2.050097972
87,2.0522235755000002
88,2.054349179
89,2.0552780595
90,2.05620694
91,2.0544525
92,2.05269806
93,2.0524916865
94,2.052285313
95,2.0526980665
96,2.05311082
97,2.053606159
98,2.054101498
99,2.0543904635
100,2.054679429
101,2.056847078
102,2.059014727
103,2.0611211364999997
104,2.063227546
105,2.0634340934999997
106,2.063640641
107,2.062711229
108,2.061781817
109,2.061120983
110,2.060460149
111,2.0615340389999997
112,2.062607929
113,2.0807255255
114,2.098843122
115,2.1259683845
116,2.153093647
117,2.1689389675
118,2.184784288
119,2.193984059
120,2.20318383
121,2.2021192585
122,2.201054687
123,2.1819632120000003
124,2.162871737
125,2.1395618130000003
126,2.116251889
127,2.1130174805
128,2.109783072
129,2.1125819865
130,2.115380901
131,2.116480061
132,2.117579221
133,2.114282294
134,2.110985367
135,2.109078469
136,2.107171571
137,2.1112347619999996
138,2.115297953
139,2.1215842765
140,2.1278706
141,2.1353888945
142,2.142907189
143,2.151724085
144,2.160540981
145,2.169223825
146,2.177906669
147,2.186976476
148,2.196046283
149,2.204104835
150,2.212163387
151,2.2174924065
152,2.222821426
153,2.22514245
154,2.227463474
155,2.2294505785
156,2.231437683
157,2.232902244
158,2.234366805
159,2.2343458805000003
160,2.234324956
161,2.2395790824999997
162,2.244833209
163,2.2522085115
164,2.259583814
165,2.2649947415
166,2.270405669
167,2.273217719
168,2.276029769
169,2.2743717759999997
170,2.272713783
171,2.260805083
172,2.248896383
173,2.2333296999999996
174,2.217763017
175,2.206842057
176,2.195921097
177,2.189206224
178,2.182491351
179,2.177157675
180,2.171823999
181,2.1660368319999996
182,2.160249665
183,2.155112086
184,2.149974507
185,2.1475215304999997
186,2.145068554
187,2.142990476
188,2.140912398
189,2.1404760850000004
190,2.140039772
191,2.1410578805
192,2.142075989
193,2.142927997
194,2.143780005
195,2.1448191885
196,2.145858372
197,2.1456297375
198,2.145401103
199,2.145650523
200,2.145899943
201,2.1468561394999996
202,2.147812336
203,2.147646031
204,2.147479726
205,2.145796124
206,2.144112522
207,2.1415152155
208,2.138917909
209,2.150478593
210,2.162039277
211,2.1858271795
212,2.209615082
213,2.2232256095
214,2.236836137
215,2.243369016
216,2.249901895
217,2.2500694885
218,2.250237082
219,2.2393940580000002
220,2.228551034
221,2.2148654775
222,2.201179921
223,2.1964018435000003
224,2.191623766
225,2.1911440620000002
226,2.190664358
227,2.189475676
228,2.188286994
229,2.1862854855
230,2.184283977
231,2.1864523055
232,2.188620634
233,2.1940028215
234,2.199385009
235,2.2051266475
236,2.210868286
237,2.2173257225
238,2.223783159
239,2.231272427
240,2.238761695
241,2.243200647
242,2.247639599
243,2.2546599945
244,2.26168039
245,2.266273825
246,2.27086726
247,2.2731546635
248,2.275442067
249,2.277898221
250,2.280354375
251,2.281047299
252,2.281740223
253,2.2825382235
254,2.283336224
255,2.2808375375
256,2.278338851
257,2.2806905305000003
258,2.28304221
259,2.2887988960000003
260,2.294555582
261,2.2996230185
262,2.304690455
263,2.3067100805
264,2.308729706
265,2.3058687485
266,2.303007791
267,2.296343948
268,2.289680105
269,2.2855211774999997
270,2.28136225
271,2.281656231
272,2.281950212
273,2.278612184
274,2.275274156
275,2.2755050355
276,2.275735915
277,2.2810903435
278,2.286444772
279,2.2963459395
280,2.306247107
281,2.3185650105
282,2.330882914
283,2.472258284
284,2.613633654
285,2.6220583900000003
286,2.630483126
287,2.6403512945000003
288,2.650219463
289,2.6607126035
290,2.671205744
291,2.6788140945
292,2.686422445
293,2.6916325425
294,2.69684264
295,2.7051248225
296,2.713407005
297,2.7246057515
298,2.735804498
299,2.7446995464999997
300,2.753594595
301,2.7575723114999997
302,2.761550028
303,2.7699146745
304,2.778279321
305,2.7851341969999996
306,2.791989073
307,2.794623534
308,2.797257995
309,2.7894758775
310,2.78169376
311,2.7571888275000003
312,2.732683895
313,2.7136077800000002
314,2.694531665
315,2.686165507
316,2.677799349
317,2.6685013289999997
318,2.659203309
319,2.652031611
320,2.644859913
321,2.641241371
322,2.637622829
323,2.6354384435
324,2.633254058
325,2.6317277115
326,2.630201365
327,2.629520479
328,2.628839593
329,2.6264921804999997
330,2.624144768
331,2.620179299
332,2.61621383
333,2.61286006
334,2.60950629
335,2.475317873
336,2.341129456
337,2.3362801710000003
338,2.331430886
339,2.326837813
340,2.32224474
341,2.3193598635
