,Heat_Demand,Elec_Demand
0,0.4304,0.161
1,0.42319999999999997,0.172
2,0.416,0.183
3,0.4813,0.1915
4,0.5466,0.2
5,0.63935,0.2135
6,0.7321,0.227
7,0.64035,0.2405
8,0.5486,0.254
9,0.6082000000000001,0.2675
10,0.6678,0.281
11,0.7213999999999999,0.293
12,0.775,0.305
13,1.051,0.241
14,1.327,0.177
15,1.453,0.1885
16,1.579,0.2
17,1.5445,0.212
18,1.51,0.224
19,1.456,0.2355
20,1.402,0.247
21,1.1231,0.258
22,0.8442000000000001,0.269
23,0.71005,0.2795
24,0.5759,0.29
25,0.60105,0.296
26,0.6262000000000001,0.302
27,0.6731,0.302
28,0.72,0.302
29,0.7555,0.3025
30,0.791,0.303
31,1.053,0.308
32,1.315,0.313
33,1.441,0.326
34,1.567,0.339
35,1.638,0.3535
36,1.709,0.368
37,1.7315,0.3795
38,1.754,0.391
39,1.5195,0.4
40,1.285,0.409
41,1.168,0.416
42,1.051,0.423
43,0.9726,0.4235
44,0.8942,0.424
45,0.7968,0.414
46,0.6994,0.404
47,0.62715,0.3825
48,0.5549,0.361
49,0.5139,0.3365
50,0.4729,0.312
51,0.4586,0.289
52,0.44430000000000003,0.266
53,0.5162,0.246
54,0.5881000000000001,0.226
55,0.67095,0.2085
56,0.7537999999999999,0.191
57,0.8225999999999999,0.1785
58,0.8914,0.166
59,0.9462,0.1635
60,1.001,0.161
61,1.276,0.169
62,1.551,0.177
63,1.6715,0.1885
64,1.792,0.2
65,1.714,0.212
66,1.636,0.224
67,1.577,0.2355
68,1.518,0.247
69,1.2372,0.258
70,0.9564,0.269
71,0.82475,0.2795
72,0.6931,0.29
73,0.76095,0.296
74,0.8288,0.302
75,0.88095,0.302
76,0.9331,0.302
77,0.96635,0.3025
78,0.9996,0.303
79,1.2652999999999999,0.308
80,1.531,0.313
81,1.656,0.326
82,1.781,0.339
83,1.85,0.3535
84,1.919,0.368
85,1.9415,0.3795
86,1.964,0.391
87,1.7225,0.4
88,1.481,0.409
89,1.3615,0.416
90,1.242,0.423
91,1.1615,0.4235
92,1.081,0.424
93,0.9595,0.414
94,0.838,0.404
95,0.74205,0.3825
96,0.6461,0.361
97,0.5821500000000001,0.3365
98,0.5182,0.312
99,0.48125,0.289
100,0.44430000000000003,0.266
101,0.5162,0.246
102,0.5881000000000001,0.226
103,0.67095,0.2085
104,0.7537999999999999,0.191
105,0.8225999999999999,0.1785
106,0.8914,0.166
107,0.9462,0.1635
