,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,3.466,0.3%,3.666,0.2%,3.89,0.2%,4.165,0.2%,4.5,0.2%,4.983,0.2%,5.652,0.2%,6.443,0.2%,7.351,0.3%,8.388,0.3%,9.542,0.3%,11.102,0.3%,12.822,0.2%,14.929,0.2%,16.646,0.2%,18.756,0.2%,21.514,0.3%,23.625,0.3%,26.126,0.3%,28.758,0.3%,31.544,0.3%,34.231,0.3%,37.059,0.3%,40.014,0.3%,43.371,0.3%,46.603,0.3%,49.972,0.3%,53.481,0.3%,57.119,0.3%,60.895,0.4%,64.812,0.4%,,,,,
Peterhead,29.07903,,11.991,1.2%,12.276,0.8%,12.598,0.8%,12.986,0.8%,13.461,0.7%,14.144,0.7%,15.091,0.7%,16.21,0.6%,17.498,0.6%,18.967,0.6%,45.6,1.2%,47.819,1.2%,50.253,1.0%,83.239,1.3%,85.673,1.2%,88.66,1.1%,122.573,1.4%,125.563,1.3%,129.107,1.3%,132.838,1.2%,136.787,1.2%,140.596,1.1%,144.601,1.1%,148.792,1.1%,153.551,1.1%,158.13,1.1%,162.907,1.1%,217.877,1.4%,223.032,1.3%,228.386,1.3%,233.935,1.3%,,,,,
Errochty,12.67648,,0.03,0.0%,0.118,0.0%,0.221,0.0%,0.341,0.0%,0.492,0.0%,0.709,0.0%,1.006,0.0%,1.361,0.1%,1.766,0.1%,2.231,0.1%,2.745,0.1%,3.445,0.1%,4.214,0.1%,5.155,0.1%,5.924,0.1%,6.868,0.1%,9.043,0.1%,9.043,0.1%,10.163,0.1%,11.342,0.1%,12.586,0.1%,13.789,0.1%,15.054,0.1%,16.375,0.1%,17.876,0.1%,19.32,0.1%,20.829,0.1%,22.398,0.1%,24.024,0.1%,25.712,0.1%,27.466,0.2%,,,,,
Denny/Bonnybridge,48.05308,,75.946,7.5%,106.295,7.2%,106.807,6.8%,107.416,6.2%,134.172,7.0%,135.253,6.6%,136.749,5.9%,138.523,5.3%,140.662,5.0%,142.993,4.5%,175.474,4.7%,178.986,4.3%,232.74,4.5%,247.368,4.0%,251.22,3.6%,255.953,3.3%,262.142,3.1%,266.878,2.9%,272.488,2.7%,297.398,2.7%,368.552,3.1%,374.579,3.0%,380.922,3.0%,387.556,2.9%,395.09,2.8%,402.341,2.7%,409.902,2.7%,417.773,2.6%,475.935,2.9%,484.412,2.8%,504.291,2.8%,,,,,
Neilston,40.33216,,20.146,2.0%,20.582,1.4%,21.084,1.4%,21.678,1.3%,22.411,1.2%,23.476,1.1%,24.935,1.1%,26.671,1.0%,28.666,1.0%,30.943,1.0%,33.469,0.9%,36.897,0.9%,40.669,0.8%,45.293,0.7%,78.958,1.1%,102.582,1.3%,158.536,1.8%,163.168,1.8%,168.651,1.7%,224.327,2.1%,254.445,2.2%,260.335,2.1%,266.536,2.1%,273.025,2.0%,280.389,2.0%,287.474,2.0%,394.866,2.6%,402.561,2.5%,410.545,2.5%,518.83,3.0%,527.422,2.9%,,,,,
Strathaven,32.62527,,5.045,0.5%,5.18,0.4%,5.335,0.3%,5.518,0.3%,5.746,0.3%,6.074,0.3%,6.526,0.3%,7.06,0.3%,7.678,0.3%,8.381,0.3%,9.162,0.2%,10.224,0.2%,11.388,0.2%,12.815,0.2%,13.979,0.2%,15.408,0.2%,17.279,0.2%,18.71,0.2%,20.407,0.2%,22.19,0.2%,24.08,0.2%,25.901,0.2%,27.817,0.2%,29.822,0.2%,32.098,0.2%,34.287,0.2%,36.572,0.2%,38.952,0.2%,41.416,0.2%,43.977,0.3%,46.633,0.3%,,,,,
Torness,12.47125,,0.067,0.0%,0.267,0.0%,0.5,0.0%,0.775,0.0%,1.116,0.1%,1.605,0.1%,2.28,0.1%,3.081,0.1%,4.002,0.1%,5.052,0.2%,6.22,0.2%,7.803,0.2%,9.545,0.2%,11.68,0.2%,13.419,0.2%,15.555,0.2%,18.35,0.2%,20.488,0.2%,23.022,0.2%,25.688,0.2%,28.512,0.2%,31.234,0.3%,34.097,0.3%,37.092,0.3%,40.493,0.3%,43.765,0.3%,47.18,0.3%,50.734,0.3%,54.42,0.3%,58.247,0.3%,62.213,0.3%,,,,,
Eccles,18.13913,,0.04,0.0%,0.16,0.0%,0.299,0.0%,0.465,0.0%,0.668,0.0%,0.961,0.0%,1.367,0.1%,1.847,0.1%,2.399,0.1%,3.028,0.1%,3.728,0.1%,4.678,0.1%,5.721,0.1%,7,0.1%,8.043,0.1%,9.323,0.1%,10.999,0.1%,12.281,0.1%,13.798,0.1%,15.398,0.1%,17.089,0.1%,18.721,0.2%,20.438,0.2%,22.233,0.2%,24.272,0.2%,26.233,0.2%,28.28,0.2%,30.41,0.2%,32.619,0.2%,34.913,0.2%,37.29,0.2%,,,,,
Harker,20.87751,,10.592,1.0%,10.871,0.7%,11.189,0.7%,11.569,0.7%,12.039,0.6%,12.713,0.6%,13.646,0.6%,14.753,0.6%,16.024,0.6%,37.473,1.2%,39.082,1.0%,41.269,1.0%,49.373,1.0%,52.316,0.8%,54.718,0.8%,57.668,0.7%,92.926,1.1%,95.875,1.0%,105.372,1.0%,113.851,1.1%,117.749,1.0%,121.505,1.0%,125.456,1.0%,129.593,1.0%,134.284,1.0%,138.801,0.9%,143.514,0.9%,148.418,0.9%,153.502,0.9%,158.785,0.9%,164.26,0.9%,,,,,
