,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,163.917,2.5%,165.635,2.5%,167.357,2.6%,170.723,2.6%,178.59,2.6%,185.131,2.5%,192.522,2.5%,200.124,2.5%,207.967,2.4%,215.999,2.4%,224.281,2.4%,232.967,2.4%,241.951,2.3%,251.254,2.3%,260.87,2.3%,270.84,2.3%,281.143,2.2%,291.761,2.2%,302.721,2.2%,314.011,2.1%,330.448,2.1%,346.467,2.1%,362.625,2.1%,378.824,2.1%,395.01,2.1%,411.102,2.1%,426.216,2.1%,441.876,2.1%,458.084,2.1%,474.886,2.1%,492.306,2.1%,,,,,
Peterhead,29.07903,,302.274,4.7%,305.462,4.7%,308.676,4.7%,314.884,4.7%,329.341,4.7%,341.406,4.6%,354.987,4.6%,368.982,4.6%,383.354,4.5%,398.169,4.5%,413.421,4.4%,429.365,4.4%,445.905,4.3%,463.024,4.3%,480.765,4.2%,499.054,4.1%,517.992,4.1%,537.527,4.0%,557.674,4.0%,578.479,3.9%,608.644,3.9%,638.067,3.9%,667.712,3.9%,697.483,3.9%,727.202,3.9%,756.782,3.9%,784.564,3.9%,813.331,3.9%,843.181,3.9%,874.069,3.9%,906.054,3.9%,,,,,
Errochty,12.67648,,34.909,0.5%,35.301,0.5%,35.691,0.5%,36.422,0.5%,38.036,0.5%,39.419,0.5%,40.972,0.5%,42.543,0.5%,44.176,0.5%,45.851,0.5%,47.563,0.5%,49.366,0.5%,51.239,0.5%,53.171,0.5%,55.186,0.5%,57.258,0.5%,61.618,0.5%,61.618,0.5%,63.901,0.5%,66.255,0.4%,69.609,0.4%,72.894,0.4%,76.207,0.4%,79.523,0.4%,82.858,0.4%,86.182,0.4%,89.307,0.4%,92.553,0.4%,95.919,0.4%,99.394,0.4%,102.99,0.4%,,,,,
Denny/Bonnybridge,48.05308,,292.016,4.5%,294.585,4.5%,297.195,4.5%,302.746,4.5%,318.075,4.6%,329.956,4.5%,343.684,4.5%,357.875,4.4%,372.556,4.4%,387.693,4.3%,403.373,4.3%,419.642,4.3%,436.484,4.2%,453.876,4.2%,471.889,4.1%,490.47,4.1%,509.711,4.0%,529.512,4.0%,549.928,3.9%,570.97,3.9%,603.002,3.9%,634.088,3.9%,665.289,3.9%,696.514,3.9%,727.554,3.9%,758.317,3.9%,786.826,3.9%,816.398,3.9%,847.064,3.9%,878.904,3.9%,911.916,3.9%,,,,,
Neilston,40.33216,,513.29,7.9%,517.829,8.0%,522.383,8.0%,532.149,8.0%,559.143,8.0%,535.28,7.3%,557.574,7.2%,580.654,7.2%,604.548,7.1%,629.231,7.1%,654.748,7.0%,681.211,6.9%,708.593,6.9%,736.952,6.8%,766.241,6.7%,796.502,6.6%,827.725,6.5%,859.953,6.5%,893.173,6.4%,927.404,6.3%,979.66,6.3%,1030.333,6.3%,1081.214,6.3%,1132.094,6.3%,1182.705,6.4%,1232.802,6.4%,1279.211,6.4%,1327.343,6.4%,1377.303,6.4%,1429.121,6.4%,1482.885,6.4%,,,,,
Strathaven,32.62527,,95.797,1.5%,96.721,1.5%,97.645,1.5%,99.536,1.5%,104.377,1.5%,152.956,2.1%,159.169,2.1%,165.586,2.0%,172.231,2.0%,179.067,2.0%,186.103,2.0%,193.451,2.0%,201.06,1.9%,208.942,1.9%,217.074,1.9%,225.479,1.9%,234.182,1.8%,243.149,1.8%,252.406,1.8%,261.924,1.8%,276.125,1.8%,289.906,1.8%,303.799,1.8%,317.682,1.8%,331.568,1.8%,345.315,1.8%,358.139,1.8%,371.46,1.8%,385.24,1.8%,399.542,1.8%,414.364,1.8%,,,,,
Torness,12.47125,,49.323,0.8%,49.872,0.8%,50.433,0.8%,51.385,0.8%,53.136,0.8%,54.759,0.7%,56.55,0.7%,58.371,0.7%,60.231,0.7%,62.133,0.7%,64.066,0.7%,66.123,0.7%,68.26,0.7%,70.481,0.6%,72.775,0.6%,75.155,0.6%,77.613,0.6%,80.158,0.6%,82.793,0.6%,85.506,0.6%,89.125,0.6%,92.702,0.6%,96.329,0.6%,99.995,0.6%,103.678,0.6%,107.368,0.6%,110.927,0.6%,114.584,0.6%,118.368,0.6%,122.292,0.5%,126.333,0.5%,,,,,
Eccles,18.13913,,165.308,2.6%,166.682,2.6%,168.065,2.6%,171.12,2.6%,180.056,2.6%,186.823,2.5%,194.69,2.5%,202.857,2.5%,211.295,2.5%,220.031,2.5%,229.079,2.4%,238.443,2.4%,248.135,2.4%,258.156,2.4%,268.515,2.3%,279.202,2.3%,290.247,2.3%,301.631,2.3%,313.353,2.2%,325.454,2.2%,344.123,2.2%,362.169,2.2%,380.327,2.2%,398.45,2.2%,416.442,2.2%,434.253,2.2%,450.702,2.2%,467.759,2.3%,485.466,2.3%,503.86,2.3%,522.933,2.3%,,,,,
Harker,20.87751,,200.825,3.1%,202.637,3.1%,204.468,3.1%,208.329,3.1%,218.762,3.1%,230.104,3.1%,243.076,3.2%,256.745,3.2%,271.188,3.2%,286.43,3.2%,302.532,3.2%,319.62,3.2%,337.707,3.3%,356.853,3.3%,377.093,3.3%,398.524,3.3%,421.204,3.3%,445.189,3.3%,470.566,3.4%,497.429,3.4%,525.349,3.4%,552.419,3.4%,579.615,3.4%,606.811,3.4%,633.865,3.4%,660.657,3.4%,685.496,3.4%,711.262,3.4%,738,3.4%,765.725,3.4%,794.494,3.4%,,,,,
Stella West,145.95756,,576.139,8.9%,580.067,8.9%,584.007,8.9%,592.776,8.9%,618.288,8.9%,656.244,8.9%,690.498,9.0%,726.896,9.0%,765.56,9.0%,806.652,9.0%,850.28,9.1%,896.727,9.1%,946.074,9.1%,998.519,9.2%,1054.268,9.2%,1113.512,9.3%,1176.501,9.3%,1243.413,9.3%,1314.545,9.4%,1390.116,9.4%,1463.662,9.4%,1534.827,9.4%,1606.232,9.4%,1677.563,9.4%,1748.46,9.4%,1818.543,9.4%,1883.229,9.4%,1950.372,9.4%,2020.038,9.4%,2092.376,9.4%,2167.422,9.4%,,,,,
Penwortham,103.36259,,137.942,2.1%,139.13,2.1%,140.328,2.1%,142.935,2.1%,150.256,2.2%,158.853,2.2%,168.671,2.2%,179.097,2.2%,190.164,2.2%,201.901,2.3%,214.369,2.3%,227.638,2.3%,241.732,2.3%,256.713,2.4%,272.641,2.4%,289.553,2.4%,307.511,2.4%,326.605,2.5%,346.896,2.5%,368.442,2.5%,389.424,2.5%,409.73,2.5%,430.135,2.5%,450.514,2.5%,470.789,2.5%,490.84,2.5%,509.387,2.5%,528.611,2.5%,548.59,2.5%,569.295,2.6%,590.793,2.6%,,,,,
Deeside,141.94391,,792.27,12.3%,796.943,12.2%,801.643,12.2%,811.959,12.2%,841.575,12.1%,894.876,12.2%,934.597,12.1%,976.767,12.1%,1021.55,12.0%,1069.102,12.0%,1119.609,12.0%,1173.334,11.9%,1230.439,11.9%,1291.111,11.9%,1355.597,11.9%,1424.128,11.8%,1496.966,11.8%,1574.356,11.8%,1656.572,11.8%,1743.924,11.8%,1828.994,11.8%,1911.304,11.7%,1993.929,11.7%,2076.491,11.6%,2158.536,11.6%,2239.699,11.6%,2314.646,11.5%,2392.46,11.5%,2473.197,11.5%,2556.979,11.5%,2643.916,11.4%,,,,,
Daines,151.98015,,138.422,2.1%,139.588,2.1%,140.756,2.1%,143.332,2.1%,150.777,2.2%,159.492,2.2%,169.476,2.2%,180.081,2.2%,191.346,2.3%,203.309,2.3%,216.025,2.3%,229.538,2.3%,243.911,2.4%,259.175,2.4%,275.408,2.4%,292.66,2.4%,310.984,2.5%,330.464,2.5%,351.156,2.5%,373.148,2.5%,394.56,2.5%,415.272,2.5%,436.062,2.6%,456.832,2.6%,477.482,2.6%,497.891,2.6%,516.741,2.6%,536.312,2.6%,556.609,2.6%,577.688,2.6%,599.548,2.6%,,,,,
Th. Marsh/Stocksbridge,161.59842,,203.337,3.1%,205.172,3.2%,207.025,3.2%,210.942,3.2%,221.508,3.2%,233.937,3.2%,248.123,3.2%,263.131,3.3%,279.04,3.3%,295.937,3.3%,313.844,3.4%,332.899,3.4%,353.142,3.4%,374.635,3.4%,397.495,3.5%,421.753,3.5%,447.519,3.5%,474.884,3.6%,503.946,3.6%,534.818,3.6%,564.898,3.6%,594.047,3.6%,623.354,3.7%,652.631,3.7%,681.763,3.7%,710.627,3.7%,737.336,3.7%,765.096,3.7%,793.871,3.7%,823.719,3.7%,854.693,3.7%,,,,,
Thornton/Drax/Eggborough,69.22865,,315.989,4.9%,318.884,4.9%,321.822,4.9%,327.927,4.9%,344.232,4.9%,363.433,4.9%,385.275,5.0%,408.45,5.1%,432.982,5.1%,458.975,5.1%,486.549,5.2%,515.896,5.2%,547.072,5.3%,580.195,5.3%,615.354,5.4%,652.713,5.4%,692.38,5.5%,734.493,5.5%,779.217,5.6%,826.684,5.6%,872.971,5.6%,917.876,5.6%,962.987,5.6%,1008.097,5.7%,1053.004,5.7%,1097.44,5.7%,1138.671,5.7%,1181.46,5.7%,1225.83,5.7%,1271.837,5.7%,1319.579,5.7%,,,,,
Keadby,86.03201,,237.158,3.7%,239.208,3.7%,241.277,3.7%,245.74,3.7%,258.336,3.7%,273.114,3.7%,290.001,3.8%,307.94,3.8%,326.968,3.9%,347.177,3.9%,368.625,3.9%,391.447,4.0%,415.686,4.0%,441.462,4.1%,468.846,4.1%,497.946,4.1%,528.842,4.2%,561.695,4.2%,596.586,4.3%,633.654,4.3%,669.728,4.3%,704.69,4.3%,739.778,4.3%,774.843,4.3%,809.715,4.4%,844.206,4.4%,876.091,4.4%,909.183,4.4%,943.533,4.4%,979.15,4.4%,1016.134,4.4%,,,,,
