,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,163.917,2.5%,165.068,2.5%,166.27,2.5%,168.587,2.5%,174.079,2.5%,179.891,2.5%,186.64,2.5%,193.896,2.5%,201.594,2.5%,209.733,2.5%,218.578,2.5%,227.916,2.5%,237.795,2.5%,248.219,2.5%,259.235,2.5%,270.844,2.5%,283.136,2.5%,296.104,2.5%,309.761,2.5%,324.193,2.5%,339.389,2.5%,354.256,2.5%,369.267,2.5%,384.341,2.6%,399.447,2.6%,414.506,2.6%,428.701,2.6%,443.417,2.6%,458.667,2.6%,474.46,2.6%,490.833,2.6%,,,,,
Peterhead,29.07903,,302.274,4.7%,304.41,4.7%,306.587,4.7%,310.882,4.7%,320.898,4.7%,331.552,4.6%,343.896,4.6%,357.19,4.6%,371.294,4.6%,386.204,4.7%,402.406,4.7%,419.507,4.7%,437.595,4.7%,456.701,4.7%,476.88,4.7%,498.196,4.7%,520.703,4.7%,544.45,4.7%,569.516,4.7%,595.896,4.7%,623.75,4.7%,651.03,4.7%,678.533,4.7%,706.212,4.7%,733.912,4.7%,761.511,4.7%,787.578,4.7%,814.585,4.7%,842.59,4.7%,871.598,4.7%,901.621,4.7%,,,,,
Errochty,12.67648,,34.909,0.5%,35.16,0.5%,35.41,0.5%,35.891,0.5%,36.972,0.5%,38.132,0.5%,39.463,0.5%,40.924,0.5%,42.456,0.5%,44.087,0.5%,45.848,0.5%,47.721,0.5%,49.703,0.5%,51.804,0.5%,54.016,0.5%,56.338,0.5%,61.413,0.6%,61.413,0.5%,64.165,0.5%,67.069,0.5%,70.11,0.5%,73.115,0.5%,76.138,0.5%,79.191,0.5%,82.244,0.5%,85.308,0.5%,88.211,0.5%,91.215,0.5%,94.329,0.5%,97.554,0.5%,100.888,0.5%,,,,,
Denny/Bonnybridge,48.05308,,292.016,4.5%,294.062,4.5%,296.181,4.5%,300.638,4.5%,311.957,4.6%,323.853,4.5%,337.701,4.6%,352.503,4.6%,368.148,4.6%,384.657,4.6%,402.523,4.7%,421.377,4.7%,441.3,4.7%,462.287,4.7%,484.435,4.7%,507.789,4.8%,532.457,4.8%,558.46,4.8%,585.885,4.8%,614.814,4.8%,645.378,4.8%,675.067,4.9%,704.967,4.9%,734.903,4.9%,764.743,4.9%,794.357,4.9%,822.044,4.9%,850.727,4.9%,880.435,4.9%,911.242,4.9%,943.153,4.9%,,,,,
Neilston,40.33216,,513.29,7.9%,516.865,8.0%,520.619,8.0%,528.449,8.0%,548.354,8.0%,525.719,7.4%,548.306,7.4%,572.542,7.5%,598.127,7.5%,625.12,7.5%,654.336,7.6%,685.164,7.6%,717.695,7.6%,752.011,7.7%,788.175,7.7%,826.363,7.7%,866.633,7.8%,909.126,7.8%,953.943,7.8%,1001.217,7.9%,1051.128,7.9%,1099.659,7.9%,1148.459,7.9%,1197.324,7.9%,1246.077,8.0%,1294.416,8.0%,1339.52,8.0%,1386.325,8.0%,1434.817,8.0%,1485.057,8.0%,1537.098,8.0%,,,,,
Strathaven,32.62527,,95.797,1.5%,96.478,1.5%,97.168,1.5%,98.583,1.5%,102.06,1.5%,149.336,2.1%,155.315,2.1%,161.736,2.1%,168.516,2.1%,175.68,2.1%,183.453,2.1%,191.659,2.1%,200.326,2.1%,209.463,2.1%,219.123,2.1%,229.324,2.1%,240.084,2.2%,251.428,2.2%,263.383,2.2%,276.029,2.2%,289.356,2.2%,302.334,2.2%,315.453,2.2%,328.586,2.2%,341.717,2.2%,354.76,2.2%,367.014,2.2%,379.712,2.2%,392.867,2.2%,406.517,2.2%,420.637,2.2%,,,,,
Torness,12.47125,,49.323,0.8%,49.625,0.8%,49.938,0.8%,50.459,0.8%,51.529,0.8%,52.697,0.7%,54.034,0.7%,55.489,0.7%,57.05,0.7%,58.711,0.7%,60.511,0.7%,62.428,0.7%,64.461,0.7%,66.615,0.7%,68.896,0.7%,71.315,0.7%,73.862,0.7%,76.558,0.7%,79.401,0.7%,82.383,0.6%,85.552,0.6%,88.681,0.6%,91.857,0.6%,95.069,0.6%,98.312,0.6%,101.562,0.6%,104.699,0.6%,107.955,0.6%,111.32,0.6%,114.823,0.6%,118.421,0.6%,,,,,
Eccles,18.13913,,165.308,2.6%,166.462,2.6%,167.676,2.6%,170.247,2.6%,176.949,2.6%,183.999,2.6%,192.167,2.6%,200.915,2.6%,210.129,2.6%,219.864,2.6%,230.385,2.7%,241.495,2.7%,253.194,2.7%,265.551,2.7%,278.576,2.7%,292.32,2.7%,306.802,2.7%,322.073,2.8%,338.19,2.8%,355.219,2.8%,373.164,2.8%,390.587,2.8%,408.12,2.8%,425.65,2.8%,443.109,2.8%,460.426,2.8%,476.552,2.8%,493.255,2.9%,510.569,2.9%,528.508,2.9%,547.118,2.9%,,,,,
Harker,20.87751,,200.825,3.1%,202.229,3.1%,203.692,3.1%,206.723,3.1%,214.373,3.1%,222.421,3.1%,231.767,3.1%,241.773,3.1%,252.354,3.2%,263.534,3.2%,275.626,3.2%,288.402,3.2%,301.866,3.2%,316.081,3.2%,331.092,3.2%,346.921,3.2%,363.619,3.3%,381.236,3.3%,399.83,3.3%,419.42,3.3%,440.123,3.3%,460.24,3.3%,480.525,3.3%,500.83,3.3%,521.083,3.3%,541.193,3.3%,560.021,3.3%,579.52,3.3%,599.713,3.4%,620.677,3.4%,642.367,3.4%,,,,,
