,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,163.917,2.5%,164.298,2.5%,164.754,2.5%,165.202,2.5%,165.977,2.5%,166.754,2.5%,167.593,2.5%,168.443,2.5%,169.309,2.5%,170.17,2.5%,171.021,2.6%,171.879,2.6%,172.759,2.6%,173.616,2.6%,174.506,2.6%,175.376,2.6%,176.338,2.6%,177.269,2.6%,178.235,2.6%,179.207,2.6%,180.167,2.6%,181.15,2.6%,182.121,2.6%,183.096,2.6%,184.087,2.6%,185.049,2.6%,186.051,2.6%,187.032,2.6%,188.026,2.6%,189.029,2.6%,190.033,2.6%,,,,,
Peterhead,29.07903,,302.274,4.7%,302.973,4.7%,303.819,4.7%,304.66,4.7%,306.076,4.7%,307.505,4.7%,309.064,4.7%,310.611,4.7%,312.218,4.7%,313.797,4.7%,315.382,4.7%,316.96,4.7%,318.586,4.7%,320.175,4.7%,321.793,4.7%,323.41,4.7%,325.186,4.7%,326.933,4.7%,328.721,4.7%,330.517,4.7%,332.283,4.7%,334.08,4.7%,335.858,4.7%,337.675,4.7%,339.492,4.8%,341.309,4.8%,343.114,4.8%,344.972,4.8%,346.797,4.8%,348.655,4.8%,350.489,4.8%,,,,,
Errochty,12.67648,,34.909,0.5%,34.989,0.5%,35.089,0.5%,35.19,0.5%,35.35,0.5%,35.51,0.5%,35.69,0.5%,35.871,0.5%,36.052,0.5%,36.242,0.5%,36.422,0.5%,36.612,0.5%,36.792,0.5%,36.972,0.5%,37.163,0.5%,37.354,0.5%,37.766,0.5%,37.766,0.5%,37.987,0.5%,38.187,0.5%,38.398,0.5%,38.608,0.5%,38.819,0.5%,39.039,0.5%,39.25,0.5%,39.451,0.5%,39.672,0.6%,39.891,0.6%,40.102,0.6%,40.321,0.6%,40.532,0.6%,,,,,
Denny/Bonnybridge,48.05308,,292.016,4.5%,292.717,4.5%,293.489,4.5%,294.246,4.5%,295.684,4.5%,297.124,4.5%,298.624,4.5%,300.124,4.5%,301.637,4.5%,303.138,4.5%,304.663,4.5%,306.214,4.5%,307.759,4.5%,309.289,4.6%,310.829,4.6%,312.373,4.6%,313.986,4.6%,315.613,4.6%,317.227,4.6%,318.856,4.6%,320.47,4.6%,322.134,4.6%,323.772,4.6%,325.448,4.6%,327.126,4.6%,328.8,4.6%,330.456,4.6%,332.154,4.6%,333.868,4.6%,335.554,4.6%,337.27,4.6%,,,,,
Neilston,40.33216,,513.29,7.9%,514.548,7.9%,515.877,8.0%,517.229,8.0%,519.75,8.0%,482.002,7.3%,484.399,7.4%,486.847,7.4%,489.296,7.4%,491.772,7.4%,494.209,7.4%,496.678,7.4%,499.172,7.4%,501.71,7.4%,504.198,7.4%,506.732,7.4%,509.334,7.4%,511.934,7.4%,514.563,7.4%,517.204,7.4%,519.841,7.4%,522.5,7.4%,525.164,7.4%,527.864,7.4%,530.529,7.4%,533.24,7.4%,535.97,7.4%,538.708,7.4%,541.459,7.4%,544.199,7.4%,546.968,7.4%,,,,,
Strathaven,32.62527,,95.797,1.5%,96.025,1.5%,96.28,1.5%,96.535,1.5%,97,1.5%,137.736,2.1%,138.439,2.1%,139.144,2.1%,139.847,2.1%,140.562,2.1%,141.256,2.1%,141.96,2.1%,142.703,2.1%,143.408,2.1%,144.121,2.1%,144.846,2.1%,145.619,2.1%,146.385,2.1%,147.171,2.1%,147.925,2.1%,148.721,2.1%,149.496,2.1%,150.291,2.1%,151.066,2.1%,151.872,2.1%,152.666,2.1%,153.462,2.1%,154.255,2.1%,155.07,2.1%,155.867,2.1%,156.684,2.1%,,,,,
Torness,12.47125,,49.323,0.8%,49.411,0.8%,49.547,0.8%,49.673,0.8%,49.859,0.8%,50.045,0.8%,50.27,0.8%,50.484,0.8%,50.719,0.8%,50.933,0.8%,51.157,0.8%,51.39,0.8%,51.605,0.8%,51.839,0.8%,52.064,0.8%,52.299,0.8%,52.56,0.8%,52.823,0.8%,53.095,0.8%,53.357,0.8%,53.63,0.8%,53.901,0.8%,54.174,0.8%,54.436,0.8%,54.709,0.8%,54.982,0.8%,55.253,0.8%,55.525,0.8%,55.796,0.8%,56.071,0.8%,56.352,0.8%,,,,,
Eccles,18.13913,,165.308,2.6%,165.717,2.6%,166.134,2.6%,166.561,2.6%,167.387,2.6%,168.204,2.6%,169.059,2.6%,169.915,2.6%,170.759,2.6%,171.614,2.6%,172.469,2.6%,173.335,2.6%,174.199,2.6%,175.074,2.6%,175.949,2.6%,176.825,2.6%,177.728,2.6%,178.621,2.6%,179.515,2.6%,180.429,2.6%,181.331,2.6%,182.245,2.6%,183.169,2.6%,184.102,2.6%,185.024,2.6%,185.958,2.6%,186.902,2.6%,187.824,2.6%,188.779,2.6%,189.722,2.6%,190.686,2.6%,,,,,
Harker,20.87751,,200.825,3.1%,201.304,3.1%,201.832,3.1%,202.366,3.1%,203.352,3.1%,204.329,3.1%,205.352,3.1%,206.397,3.1%,207.433,3.1%,208.476,3.1%,209.521,3.1%,210.574,3.1%,211.64,3.1%,212.694,3.1%,213.758,3.1%,214.833,3.1%,215.943,3.1%,217.065,3.1%,218.189,3.1%,219.313,3.1%,220.445,3.1%,221.595,3.1%,222.728,3.1%,223.882,3.1%,225.045,3.1%,226.195,3.2%,227.358,3.2%,228.52,3.2%,229.704,3.2%,230.877,3.2%,232.067,3.2%,,,,,
