,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,33.354,0.3%,35.006,0.3%,37.147,0.3%,44.923,0.3%,53.655,0.3%,64.229,0.4%,76.001,0.4%,88.991,0.5%,103.487,0.5%,119.704,0.6%,132.515,0.6%,155.099,0.6%,179.882,0.7%,204.645,0.7%,233.711,0.7%,258.305,0.8%,275.489,0.8%,290.794,0.8%,308.268,0.9%,334.022,0.9%,360.635,0.9%,388.111,1.0%,416.454,1.0%,445.668,1.0%,472.945,1.1%,500.908,1.1%,529.532,1.1%,558.836,1.1%,588.808,1.2%,619.475,1.2%,650.778,1.2%,,,,,
Peterhead,29.07903,,49.859,0.4%,52.569,0.4%,56.092,0.4%,65.465,0.4%,76.04,0.5%,89.04,0.5%,103.591,0.6%,119.733,0.6%,137.655,0.7%,157.539,0.7%,173.471,0.7%,200.894,0.8%,230.84,0.8%,260.722,0.9%,295.646,0.9%,325.4,1.0%,346.534,1.0%,365.429,1.0%,386.912,1.1%,417.953,1.1%,450.068,1.2%,483.131,1.2%,517.216,1.2%,552.299,1.3%,585.132,1.3%,618.768,1.3%,653.191,1.4%,688.395,1.4%,724.359,1.4%,761.122,1.5%,798.656,1.5%,,,,,
Errochty,12.67648,,12.341,0.1%,12.714,0.1%,13.208,0.1%,17.168,0.1%,21.612,0.1%,26.921,0.2%,32.83,0.2%,39.292,0.2%,46.559,0.2%,54.721,0.3%,61.079,0.3%,72.584,0.3%,85.18,0.3%,97.772,0.3%,112.626,0.4%,125.142,0.4%,141.458,0.4%,141.458,0.4%,150.253,0.4%,163.369,0.4%,176.942,0.5%,190.957,0.5%,205.432,0.5%,220.367,0.5%,234.282,0.5%,248.545,0.5%,263.191,0.6%,278.176,0.6%,293.49,0.6%,309.163,0.6%,325.178,0.6%,,,,,
Denny/Bonnybridge,48.05308,,147.376,1.1%,163.899,1.2%,184.448,1.3%,196.528,1.3%,210.252,1.4%,227.65,1.4%,247.564,1.4%,269.85,1.4%,294.182,1.5%,320.784,1.5%,341.513,1.5%,378.954,1.5%,419.694,1.5%,461.076,1.6%,508.786,1.6%,551.005,1.6%,583.476,1.7%,613.239,1.8%,646.228,1.8%,690.956,1.8%,737.191,1.9%,784.979,1.9%,834.27,2.0%,885.153,2.0%,933.4,2.1%,982.813,2.1%,1033.291,2.2%,1085.082,2.2%,1137.941,2.3%,1192.106,2.3%,1247.344,2.4%,,,,,
Neilston,40.33216,,66.527,0.5%,69.802,0.5%,73.966,0.5%,83.055,0.6%,93.486,0.6%,106.884,0.7%,122.586,0.7%,140.034,0.8%,159.127,0.8%,179.668,0.8%,196.411,0.8%,224.421,0.9%,254.741,0.9%,285.489,1.0%,320.576,1.0%,351.654,1.0%,376.075,1.1%,398.637,1.1%,423.328,1.2%,456.2,1.2%,490.04,1.3%,524.853,1.3%,560.654,1.3%,597.613,1.4%,632.777,1.4%,668.73,1.4%,705.229,1.5%,742.767,1.5%,780.887,1.6%,820.021,1.6%,859.728,1.6%,,,,,
Strathaven,32.62527,,30.357,0.2%,33.97,0.3%,38.342,0.3%,41.042,0.3%,44.151,0.3%,48.159,0.3%,52.878,0.3%,58.127,0.3%,63.855,0.3%,69.993,0.3%,74.972,0.3%,83.405,0.3%,92.539,0.3%,101.854,0.3%,112.445,0.4%,121.91,0.4%,129.453,0.4%,136.467,0.4%,144.099,0.4%,154.154,0.4%,164.508,0.4%,175.161,0.4%,186.126,0.4%,197.447,0.5%,208.262,0.5%,219.314,0.5%,230.529,0.5%,242.082,0.5%,253.796,0.5%,265.85,0.5%,278.073,0.5%,,,,,
Torness,12.47125,,52.815,0.4%,57.268,0.4%,62.952,0.5%,65.165,0.4%,67.761,0.4%,71.548,0.4%,76.148,0.4%,81.491,0.4%,87.032,0.4%,92.774,0.4%,97.976,0.4%,105.021,0.4%,112.384,0.4%,119.827,0.4%,127.859,0.4%,135.382,0.4%,142.005,0.4%,148.39,0.4%,155.063,0.4%,162.844,0.4%,170.769,0.4%,178.83,0.4%,187.045,0.4%,195.408,0.4%,203.54,0.5%,211.784,0.5%,220.107,0.5%,228.579,0.5%,237.133,0.5%,245.836,0.5%,254.62,0.5%,,,,,
Eccles,18.13913,,16.757,0.1%,17.261,0.1%,17.934,0.1%,19.057,0.1%,20.386,0.1%,22.389,0.1%,24.893,0.1%,27.777,0.1%,30.783,0.2%,33.827,0.2%,36.712,0.2%,40.287,0.2%,43.982,0.2%,47.718,0.2%,51.652,0.2%,55.388,0.2%,58.844,0.2%,62.218,0.2%,65.673,0.2%,69.527,0.2%,73.423,0.2%,77.358,0.2%,81.333,0.2%,85.388,0.2%,89.364,0.2%,93.379,0.2%,97.394,0.2%,101.489,0.2%,105.584,0.2%,109.76,0.2%,113.934,0.2%,,,,,
Harker,20.87751,,131.442,1.0%,133.904,1.0%,139.293,1.0%,143.19,1.0%,147.678,1.0%,153.873,0.9%,161.097,0.9%,169.25,0.9%,178.022,0.9%,187.355,0.9%,197.769,0.8%,209.558,0.8%,221.763,0.8%,233.362,0.8%,246.267,0.8%,256.745,0.8%,264.045,0.8%,270.569,0.8%,277.858,0.8%,287.897,0.8%,297.942,0.8%,308.011,0.8%,318.078,0.8%,328.185,0.8%,337.523,0.8%,346.881,0.7%,356.217,0.7%,365.596,0.7%,374.964,0.7%,384.369,0.7%,393.768,0.7%,,,,,
