,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,,2026,,,,2027,,,,2028,,,,2029,,,,2030,,,,2031,,,,2032,,,,2033,,,,2034,,,,2035,,,,2036,,,,2037,,,,2038,,,,2039,,,,2040,,,,2041,,,,2042,,,,2043,,,,2044,,,,2045,,,,2046,,,,2047,,,,2048,,,,2049,,,,2050,,,,,,,,
,Domestic 2019,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,Total,,of which residential,,,,,,
Beauly,24.58073,,33.354,0.3%,25.22474513,0.8%,36.008,0.3%,26.77985129,0.8%,39.955,0.3%,29.44701227,0.8%,54.46,0.3%,33.92179781,0.8%,72.02,0.4%,39.17072989,0.8%,95.5,0.4%,45.96045124,0.8%,120.336,0.5%,52.9937791,0.8%,146.606,0.5%,60.2766632,0.8%,174.229,0.6%,67.81273981,0.8%,203.251,0.6%,75.61685686,0.8%,223.804,0.6%,83.69176322,0.8%,259.768,0.7%,93.09402871,0.8%,299.284,0.7%,103.2972508,0.8%,339.419,0.7%,113.4383395,0.8%,382.281,0.8%,124.1312924,0.8%,419.239,0.8%,133.1036145,0.8%,449.501,0.8%,140.3928533,0.8%,474.949,0.8%,146.5373066,0.8%,505.944,0.9%,154.2268218,0.8%,544.89,0.9%,163.9145899,0.8%,591.891,0.9%,175.5606387,0.8%,640.364,1.0%,187.5598137,0.8%,693.833,1.0%,200.6867348,0.8%,743.164,1.0%,212.9396082,0.8%,784.207,1.0%,223.4957836,0.8%,818.759,1.1%,232.8575433,0.8%,850.658,1.1%,241.8728663,0.8%,882.652,1.1%,251.14274,0.8%,914.752,1.1%,260.6748668,0.8%,946.934,1.1%,270.4738696,0.8%,979.206,1.2%,280.5469933,0.8%,,,,,
Peterhead,29.07903,,49.859,0.4%,29.84090059,1.0%,54.057,0.4%,31.68059285,1.0%,60.332,0.4%,34.83584716,1.0%,77.974,0.5%,40.12952326,1.0%,99.476,0.5%,46.33901555,1.0%,128.942,0.6%,54.3712632,1.0%,160.008,0.6%,62.69169761,1.0%,192.703,0.7%,71.30735732,1.0%,227.03,0.7%,80.22254405,1.0%,262.956,0.8%,89.45482291,1.0%,289.043,0.8%,99.00744581,1.0%,333.222,0.8%,110.130336,1.0%,381.528,0.9%,122.2007587,1.0%,430.558,0.9%,134.1976775,1.0%,482.759,1.0%,146.8474523,1.0%,528.077,1.0%,157.4617189,1.0%,565.624,1.0%,166.0848963,1.0%,597.612,1.1%,173.3537911,1.0%,635.992,1.1%,182.4504959,1.0%,683.631,1.1%,193.9111359,1.0%,740.67,1.2%,207.6884242,1.0%,799.509,1.2%,221.8834611,1.0%,864.1,1.2%,237.4126229,1.0%,923.877,1.3%,251.9077853,1.0%,974.018,1.3%,264.3957521,1.0%,1016.679,1.3%,275.4707239,1.0%,1056.226,1.3%,286.1358607,1.0%,1095.867,1.4%,297.1021313,1.0%,1135.627,1.4%,308.3786475,1.0%,1175.496,1.4%,319.9708784,1.0%,1215.487,1.4%,331.8873944,1.0%,,,,,
Errochty,12.67648,,12.341,0.1%,13.00860378,0.4%,13.116,0.1%,13.81058452,0.4%,14.2,0.1%,15.18606087,0.4%,21.554,0.1%,17.49374374,0.4%,30.425,0.2%,20.20066019,0.4%,42.029,0.2%,23.70217406,0.4%,54.362,0.2%,27.32931776,0.4%,67.425,0.2%,31.08515961,0.4%,81.223,0.3%,34.97157489,0.4%,95.735,0.3%,38.99622077,0.4%,105.818,0.3%,43.16051487,0.4%,123.912,0.3%,48.00933874,0.4%,143.866,0.3%,53.27122236,0.4%,164.119,0.4%,58.50106332,0.4%,185.854,0.4%,64.01550504,0.4%,204.447,0.4%,68.64260364,0.4%,232.165,0.4%,72.40172268,0.4%,232.165,0.4%,75.57046663,0.4%,247.658,0.4%,79.53601144,0.4%,267.302,0.4%,84.53207126,0.4%,291.12,0.5%,90.53803223,0.4%,315.738,0.5%,96.72610321,0.4%,342.939,0.5%,103.4957619,0.4%,367.997,0.5%,109.8146672,0.4%,388.706,0.5%,115.2585717,0.4%,406.045,0.5%,120.0865064,0.4%,421.995,0.5%,124.7357809,0.4%,437.983,0.5%,129.5163293,0.4%,454.011,0.6%,134.4321237,0.4%,470.121,0.6%,139.4855482,0.4%,486.248,0.6%,144.680339,0.4%,,,,,
Denny/Bonnybridge,48.05308,,147.376,1.1%,49.3120707,1.7%,167.616,1.2%,52.35216108,1.7%,198.627,1.3%,57.56621697,1.7%,220.294,1.3%,66.31401362,1.7%,247.436,1.3%,76.57519598,1.7%,287.487,1.3%,89.84848052,1.7%,329.767,1.3%,103.5979935,1.7%,374.148,1.3%,117.8353661,1.7%,420.75,1.4%,132.5677069,1.7%,469.332,1.4%,147.8240423,1.7%,504.959,1.4%,163.6097461,1.7%,566.771,1.4%,181.9903156,1.7%,634.028,1.5%,201.9366819,1.7%,703.036,1.5%,221.7615833,1.7%,776.444,1.5%,242.6653286,1.7%,842.633,1.6%,260.205398,1.7%,900.067,1.6%,274.4551935,1.7%,951.038,1.7%,286.4670381,1.7%,1009.741,1.7%,301.4993374,1.7%,1079.903,1.8%,320.4380382,1.7%,1162.382,1.8%,343.204999,1.7%,1247.493,1.9%,366.6622892,1.7%,1340.354,1.9%,392.3242199,1.7%,1427.785,2.0%,416.2774672,1.7%,1503.097,2.0%,436.9138251,1.7%,1569.117,2.0%,455.2152096,1.7%,1631.118,2.1%,472.8393419,1.7%,1693.389,2.1%,490.9610974,1.7%,1755.772,2.2%,509.595534,1.7%,1818.303,2.2%,528.7516886,1.7%,1881.062,2.2%,548.4437244,1.7%,,,,,
Neilston,40.33216,,66.527,0.5%,41.38886259,1.4%,71.896,0.5%,43.940487,1.4%,79.549,0.5%,48.31677539,1.4%,96.328,0.6%,55.65902139,1.4%,117.52,0.6%,64.27149012,1.4%,149.841,0.7%,75.41209204,1.4%,183.716,0.7%,86.95240449,1.4%,218.929,0.8%,98.90218982,1.4%,255.81,0.8%,111.2674144,1.4%,293.99,0.9%,124.0724409,1.4%,323.421,0.9%,137.3217795,1.4%,370.68,0.9%,152.7490543,1.4%,421.717,1.0%,169.4905418,1.4%,474.014,1.0%,186.1300807,1.4%,529.147,1.1%,203.6751205,1.4%,579.286,1.1%,218.3969424,1.4%,623.319,1.1%,230.3571546,1.4%,662.693,1.2%,240.4389982,1.4%,707.565,1.2%,253.0559855,1.4%,760.288,1.3%,268.951714,1.4%,821.553,1.3%,288.0605974,1.4%,884.563,1.3%,307.7488917,1.4%,952.942,1.4%,329.2875964,1.4%,1017.618,1.4%,349.3921599,1.4%,1073.741,1.4%,366.7127747,1.4%,1123.566,1.5%,382.0735875,1.4%,1170.686,1.5%,396.8659655,1.4%,1217.913,1.5%,412.0760113,1.4%,1265.381,1.6%,427.716363,1.4%,1312.772,1.6%,443.794606,1.4%,1360.291,1.6%,460.3226275,1.4%,,,,,
Strathaven,32.62527,,30.357,0.2%,33.48005207,1.1%,34.823,0.3%,35.54409812,1.1%,41.275,0.3%,39.08414136,1.1%,46.191,0.3%,45.02339078,1.1%,52.447,0.3%,51.99014182,1.1%,62.122,0.3%,61.00193652,1.1%,72.274,0.3%,70.33706287,1.1%,82.814,0.3%,80.00341778,1.1%,93.878,0.3%,90.00582756,1.1%,105.31,0.3%,100.3639994,1.1%,114.121,0.3%,111.0815819,1.1%,128.404,0.3%,123.5609285,1.1%,143.856,0.3%,137.1033609,1.1%,159.707,0.3%,150.5633256,1.1%,176.44,0.4%,164.7557631,1.1%,191.771,0.4%,176.6644587,1.1%,205.353,0.4%,186.339248,1.1%,217.576,0.4%,194.4945977,1.1%,231.418,0.4%,204.700662,1.1%,247.58,0.4%,217.5589476,1.1%,266.296,0.4%,233.016401,1.1%,285.565,0.4%,248.9425482,1.1%,306.45,0.4%,266.3655192,1.1%,326.286,0.4%,282.6283927,1.1%,343.564,0.5%,296.6392895,1.1%,358.981,0.5%,309.0648741,1.1%,373.599,0.5%,321.0306435,1.1%,388.255,0.5%,333.3342704,1.1%,402.991,0.5%,345.9859781,1.1%,417.687,0.5%,358.9919024,1.1%,432.425,0.5%,372.361659,1.1%,,,,,
Torness,12.47125,,52.815,0.4%,12.79799675,0.4%,58.642,0.4%,13.58699357,0.4%,67.779,0.5%,14.9402012,0.4%,72.227,0.4%,17.21052308,0.4%,78.01,0.4%,19.87361503,0.4%,88.544,0.4%,23.31844,0.4%,99.29,0.4%,26.88686087,0.4%,110.215,0.4%,30.5818963,0.4%,121.38,0.4%,34.40539119,0.4%,132.715,0.4%,38.36487876,0.4%,142.83,0.4%,42.46175366,0.4%,155.977,0.4%,47.23207592,0.4%,169.645,0.4%,52.40877056,0.4%,183.502,0.4%,57.55394131,0.4%,197.759,0.4%,62.97910518,0.4%,211.376,0.4%,67.53129186,0.4%,224.174,0.4%,71.22955142,0.4%,236.372,0.4%,74.34699396,0.4%,249.299,0.4%,78.24833729,0.4%,263.295,0.4%,83.16351177,0.4%,278.714,0.4%,89.07223728,0.4%,294.383,0.4%,95.16012448,0.4%,310.8,0.4%,101.8201836,0.4%,326.719,0.4%,108.0367869,0.4%,341.487,0.5%,113.3925555,0.4%,355.386,0.5%,118.1423268,0.4%,368.914,0.5%,122.7163304,0.4%,382.462,0.5%,127.4194825,0.4%,396.031,0.5%,132.2556911,0.4%,409.607,0.5%,137.2273015,0.4%,423.196,0.5%,142.3379895,0.4%,,,,,
Eccles,18.13913,,16.757,0.1%,18.61437521,0.6%,17.809,0.1%,19.7619519,0.6%,19.281,0.1%,21.73015951,0.6%,21.614,0.1%,25.0322875,0.6%,24.7,0.1%,28.90569001,0.6%,30.559,0.1%,33.9161042,0.6%,36.499,0.1%,39.10628563,0.6%,42.479,0.2%,44.48062485,0.6%,48.578,0.2%,50.04180523,0.6%,54.719,0.2%,55.80078366,0.6%,60.458,0.2%,61.75958863,0.6%,67.379,0.2%,68.69790641,0.6%,74.5,0.2%,76.22728294,0.6%,81.701,0.2%,83.71080873,0.6%,89.021,0.2%,91.60157772,0.6%,96.142,0.2%,98.2226226,0.6%,102.982,0.2%,103.6016512,0.6%,109.582,0.2%,108.1358956,0.6%,116.463,0.2%,113.8103047,0.6%,123.704,0.2%,120.9593065,0.6%,131.515,0.2%,129.5534041,0.6%,139.406,0.2%,138.4080881,0.6%,147.577,0.2%,148.0949822,0.6%,155.587,0.2%,157.1368806,0.6%,163.159,0.2%,164.9267159,0.6%,170.45,0.2%,171.8351428,0.6%,177.62,0.2%,178.4879198,0.6%,184.792,0.2%,185.3285403,0.6%,192.004,0.2%,192.362688,0.6%,199.175,0.2%,199.5937746,0.6%,206.345,0.2%,207.0271461,0.6%,,,,,
Harker,20.87751,,131.442,1.0%,21.42450076,0.7%,136.702,1.0%,22.74532177,0.7%,150.045,1.0%,25.01066051,0.7%,160.134,0.9%,28.81129539,0.7%,172.286,0.9%,33.26944745,0.7%,190.739,0.9%,39.03626054,0.7%,209.218,0.8%,45.00997949,0.7%,227.709,0.8%,51.19565768,0.7%,246.251,0.8%,57.59638357,0.7%,264.789,0.8%,64.22476816,0.7%,283.212,0.8%,71.08314617,0.7%,304.15,0.8%,79.06890948,0.7%,325.919,0.8%,87.73496093,0.7%,347.079,0.7%,96.34823976,0.7%,368.588,0.7%,105.4302414,0.7%,386.946,0.7%,113.0508346,0.7%,402.296,0.7%,119.2419102,0.7%,415.695,0.7%,124.4606683,0.7%,431.055,0.7%,130.9917165,0.7%,448.954,0.7%,139.2199698,0.7%,469.498,0.7%,149.1114784,0.7%,490.033,0.7%,159.3029127,0.7%,511.627,0.7%,170.4521921,0.7%,531.518,0.7%,180.8591038,0.7%,548.632,0.7%,189.8249343,0.7%,563.797,0.7%,197.7762943,0.7%,578.181,0.7%,205.4334101,0.7%,592.565,0.7%,213.3067271,0.7%,606.968,0.7%,221.4027874,0.7%,621.341,0.8%,229.7255174,0.7%,635.716,0.8%,238.2810705,0.7%,,,,,
