Node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_3,41.7,43.4,50.7,50.7,55.8,55.8,55.8,54.4,59.4,58.5,58.5,58.5,67.1,67.1,65.9,65.9,65.2,65.2,64.4,64.4,63.7,63.7,62.9,62.9,62.2,62.2,62.2,62.2,62.2,62.2
Z1_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z2,40.9,42.900000000000006,42.400000000000006,42.6,42.8,43.3,43.599999999999994,42.7,43.5,33.0,33.2,33.2,31.799999999999997,31.6,25.8,26.2,25.700000000000003,26.0,25.599999999999998,26.0,25.7,25.9,25.4,25.6,25.200000000000003,25.4,25.8,25.9,26.2,26.5
Z3,74.39999999999999,37.2,37.5,37.5,37.5,37.7,37.7,36.3,36.8,35.7,35.5,35.1,33.099999999999994,32.4,28.1,28.0,26.9,26.4,25.6,25.3,24.5,24.1,22.9,22.5,21.5,20.9,20.2,19.0,18.5,18.0
Z4,39.8,8.1,7.8,6.8,5.4,3.8,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.7,3.7,3.6,3.5,3.3,3.1,2.8,2.6,2.5
Z5,330.1,317.6,317.6,318.3,317.6,316.5,319.7,314.2,318.8,275.7,276.3,275.9,269.0,263.5,248.6,248.1,240.8,239.29999999999998,234.8,236.9,235.8,239.10000000000002,239.1,240.2,236.8,236.70000000000002,236.1,233.5,232.6,232.9
Z6,7.1,6.800000000000001,6.7,6.8,6.800000000000001,6.699999999999999,6.7,6.7,6.8,6.800000000000001,6.699999999999999,6.7,6.5,6.4,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.9,4.9,4.9,5.0,5.0,5.1
Z7,807.6,864.3,902.9,944.8,975.1,984.5,990.9,991.0,1017.8,1023.1999999999999,1058.3,1112.3,1205.1,1099.6000000000001,1224.5000000000002,1265.0,1258.0,1262.9,1267.7,1346.6,1466.8000000000002,1607.7,1758.9,1819.1000000000001,1866.5000000000002,1913.1000000000001,1949.8,1976.5,2005.3,2032.8
Z8,1784.1,1866.7,1925.6,1976.1,2007.1,2004.0,2022.8,2029.6,2084.4,2071.5,2130.6,2214.2,2370.1,2191.2,2393.3,2460.7,2446.1,2450.2,2456.7,2587.3,2787.4,3019.9,3269.1,3361.5,3433.5,3497.9,3544.0,3561.5,3595.3,3631.9
Z9,1830.8,1869.8,1898.8,1871.5,1878.6,1837.4,1853.3,1850.3999999999999,1899.6,1589.4,1643.4,1723.9,1869.9,1723.6,1873.8,1933.3,1930.3,1942.3,1959.0,2073.6,2253.7,2458.3,2683.8,2773.7,2849.7,2923.3,2984.9,3039.2,3088.5,3134.0
Z10,101.30000000000001,97.5,93.6,87.69999999999999,78.69999999999999,68.0,69.9,71.6,74.19999999999999,74.0,76.19999999999999,78.69999999999999,83.1,80.1,86.0,87.7,87.7,88.3,89.2,92.8,97.6,103.1,109.1,111.30000000000001,113.4,115.2,116.5,117.1,118.3,119.6
Z11,1053.3,1093.8,1119.9,1152.4,1177.7,1186.7,1235.9,1283.4,1342.9,1349.2,1367.1,1391.5,1448.9,1383.5,1493.3,1515.9,1510.6,1508.6,1507.6,1545.7,1609.3,1681.5,1765.4,1793.4,1816.9,1834.0,1844.0,1841.4,1846.8,1853.6
Z12,911.0999999999999,844.9,804.9,777.0,763.6,740.1,753.5,734.8,750.4000000000001,618.0,630.7,641.9,635.8000000000001,624.3,645.3,651.4,633.6999999999999,637.3000000000001,632.1,651.3000000000001,662.8,688.7,703.7,715.5,713.1,720.9,726.7,727.1,732.0,738.5
Z13,915.5,944.0,939.1,916.1,887.0,844.6,876.5,889.9,923.6,840.8,873.3,915.4,995.3000000000001,936.8,1088.5,1122.1,1120.9,1128.4,1136.3999999999999,1195.8,1283.6,1385.1000000000001,1493.2,1531.2,1560.1,1586.8,1606.8,1615.7,1630.1,1645.3
Z14,906.1,824.6,735.8,679.9,631.5,569.3,580.9,584.5,596.3,469.3,466.40000000000003,459.1,455.7,452.4,451.9,449.0,443.8,438.2,432.5,427.2,420.6,412.5,404.6,396.2,389.3,376.7,362.8,339.3,326.3,316.9
Z15,355.5,299.3,267.7,247.10000000000002,235.3,215.2,216.1,210.2,212.3,132.9,135.3,139.3,146.0,134.8,153.5,155.9,152.9,151.8,150.0,156.5,166.2,178.7,191.6,196.0,198.6,201.3,202.9,202.20000000000002,203.1,204.5
Z16,329.3,378.9,392.29999999999995,402.3,407.6,412.8,429.2,439.4,453.0,449.7,462.4,477.5,513.8,479.6,554.2,567.9,566.6,566.8,570.0,596.4,638.6,685.0,737.2,753.3,767.8,777.5,783.1,780.6999999999999,784.1999999999999,789.1
