Grid Supply Points,Name,2021 (MW),2022 (MW),2023 (MW),2024 (MW),2025 (MW),2026 (MW),2027 (MW),2028 (MW),2029 (MW),2030 (MW),2031 (MW),2032 (MW),2033 (MW),2034 (MW),2035 (MW),2036 (MW),2037 (MW),2038 (MW),2039 (MW),2040 (MW),2041 (MW),2042 (MW),2043 (MW),2044 (MW),2045 (MW),2046 (MW),2047 (MW),2048 (MW),2049 (MW),2050 (MW)
ABHA1,ABHA1,240.6,233.7,230.0,231.2,236.8,242.9,254.1,269.1,283.1,297.9,310.1,329.3,351.8,375.6,391.0,400.2,418.2,433.5,446.9,451.6,451.9,458.7,464.8,470.7,468.2,460.4,460.7,460.5,460.0,457.8
ABNE_P,ABNE_P,43.5,41.9,40.4,39.5,39.2,39.6,40.1,41.3,42.3,43.6,45.5,47.3,49.7,52.3,53.7,56.1,58.0,59.7,61.1,61.8,63.9,64.9,65.7,66.5,66.5,67.1,67.3,67.4,67.5,67.3
ABTH_1,ABTH_1,187.0,180.7,175.6,173.5,174.0,179.4,184.8,192.8,200.0,208.0,219.9,230.7,244.1,258.5,267.0,278.6,290.0,299.7,308.3,311.1,316.0,320.7,325.0,329.5,328.1,323.7,324.4,324.9,325.2,324.4
ACTL_2;CBNK_H;GREE_H;PERI_H,ACTL_2;CBNK_H;GREE_H;PERI_H,108.8,106.0,103.8,103.3,104.1,106.0,109.5,114.6,119.2,124.3,128.2,134.3,142.0,150.3,155.5,159.3,165.9,171.6,176.6,178.4,178.8,181.6,184.2,186.9,186.5,184.7,185.4,186.0,186.5,186.3
ALNE_P,ALNE_P,30.8,29.9,29.0,28.4,28.2,28.2,28.5,29.2,29.8,30.6,31.5,32.5,34.0,35.6,36.5,37.9,39.1,40.1,41.1,41.6,43.3,44.0,44.7,45.2,45.4,46.3,46.6,46.8,47.0,47.0
ALVE1,ALVE1,211.6,206.2,202.0,201.7,204.9,210.3,218.3,229.7,240.4,252.1,263.9,280.1,299.2,319.1,331.8,340.7,353.7,364.7,374.1,378.0,379.1,383.4,386.9,389.6,387.3,382.1,380.9,379.4,377.4,374.1
AMEM_1,AMEM_1,67.9,66.5,67.1,69.2,72.8,76.5,82.3,89.5,96.5,103.7,109.6,118.5,128.6,139.2,147.4,153.0,162.9,171.4,179.1,182.1,182.4,186.7,190.6,194.6,193.6,189.8,190.7,191.3,191.9,191.4
ARBR_P,ARBR_P,33.0,32.0,31.2,30.9,31.0,31.7,32.6,34.0,35.2,36.7,38.6,40.5,42.8,45.3,46.8,48.2,50.2,51.9,53.4,53.9,54.7,55.6,56.4,57.4,57.3,56.6,56.8,57.0,57.2,57.2
ARDK_P;CLAC_P,ARDK_P;CLAC_P,3.7,3.6,3.5,3.4,3.4,3.4,3.4,3.5,3.6,3.7,3.8,4.0,4.2,4.4,4.5,4.6,4.8,4.9,5.0,5.0,5.2,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4
ARMO_P,ARMO_P,32.5,31.4,30.4,30.0,30.0,30.4,31.1,32.2,33.2,34.4,36.0,37.6,39.7,42.0,43.4,45.1,46.9,48.4,49.8,50.4,52.0,53.0,53.7,54.5,54.5,54.8,55.0,55.1,55.3,55.1
AXMI1,AXMI1,163.0,158.1,154.5,153.9,155.9,159.7,165.5,173.8,181.4,189.7,197.6,208.7,222.0,236.0,244.7,251.2,261.1,269.6,276.9,279.6,280.3,284.0,287.1,290.0,288.6,284.5,284.4,284.0,283.3,281.7
AYRR,AYRR,44.9,43.8,42.7,42.5,42.7,44.0,45.3,47.4,49.2,51.3,54.4,57.2,60.6,64.4,66.8,70.0,73.3,76.2,78.7,79.8,82.4,84.1,85.6,87.3,87.3,87.4,88.0,88.5,88.9,89.0
BAGA,BAGA,34.9,34.2,33.6,33.8,34.5,36.3,37.9,40.3,42.5,45.0,48.8,52.4,56.6,60.9,63.9,67.6,71.0,74.0,76.5,77.7,80.3,81.8,83.1,84.2,83.9,83.8,83.9,83.8,83.7,83.1
BAIN,BAIN,16.8,16.4,16.1,16.2,16.7,17.6,18.5,19.7,20.9,22.1,24.1,25.8,27.9,30.0,31.5,33.6,35.5,37.2,38.7,39.3,40.9,41.9,42.7,43.5,43.4,43.4,43.6,43.7,43.8,43.7
BARKC1;BARKW3,BARKC1;BARKW3,315.0,306.4,298.8,296.0,297.0,301.0,308.9,321.3,332.2,344.7,355.2,370.8,390.7,412.3,425.2,434.9,450.5,464.1,475.9,480.6,481.9,488.4,494.1,499.9,499.0,494.9,496.2,497.0,497.6,496.5
BEAU_P;ORRI_P,BEAU_P;ORRI_P,29.1,28.2,27.3,26.9,26.7,27.0,27.4,28.3,29.0,29.9,31.1,32.3,33.9,35.6,36.6,37.9,39.3,40.4,41.5,42.0,43.2,43.9,44.6,45.2,45.3,45.6,45.8,46.0,46.2,46.2
BEDDT1,BEDDT1,112.8,110.0,110.4,113.4,118.8,124.7,133.7,144.9,155.6,166.5,175.1,188.4,203.6,219.6,231.4,240.0,255.3,268.4,280.2,284.3,285.0,291.7,297.9,304.6,303.0,297.4,299.1,300.4,301.7,301.5
BEDD_1,BEDD_1,429.9,415.5,406.1,403.9,408.0,416.9,431.6,452.8,472.1,493.1,511.3,537.8,570.2,604.9,626.8,643.7,671.0,694.4,715.0,722.2,724.1,735.3,745.3,755.6,752.6,743.3,745.0,746.1,746.8,744.7
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,49.7,48.5,47.1,46.4,46.1,46.6,47.3,48.7,49.9,51.5,53.4,55.5,58.2,61.3,62.9,65.0,67.1,69.0,70.7,71.5,73.4,74.5,75.5,76.5,76.7,77.2,77.5,77.8,78.1,78.0
BERW,BERW,37.7,37.1,36.1,35.7,35.6,36.3,37.0,38.2,39.4,40.8,42.7,44.6,47.0,49.7,51.2,53.1,54.8,56.4,57.8,58.4,59.7,60.5,61.3,62.0,62.1,62.2,62.4,62.6,62.6,62.5
BESW_1,BESW_1,297.3,290.8,285.2,284.3,287.1,293.0,303.2,318.1,331.9,347.3,362.4,383.0,407.9,434.0,450.9,463.4,481.4,496.9,510.2,516.1,517.5,524.2,529.8,534.5,532.4,526.5,526.2,525.2,523.8,520.5
BICF_1,BICF_1,131.3,128.0,126.0,126.5,129.3,132.5,137.9,145.5,152.7,160.6,166.8,177.0,189.2,201.9,210.8,215.0,224.3,232.2,239.1,242.3,241.8,245.4,248.4,250.9,249.9,246.5,246.5,246.2,245.7,244.1
BIRK_1,BIRK_1,214.6,207.4,201.6,199.5,200.5,206.3,212.5,221.8,230.2,239.6,252.0,264.8,280.5,297.2,307.4,320.7,333.5,344.4,354.0,357.4,362.3,367.4,372.0,376.6,375.0,370.8,371.3,371.4,371.3,370.0
BISW_1,BISW_1,481.3,467.4,457.1,455.1,460.3,470.5,486.8,510.6,532.4,556.6,578.6,610.6,649.2,690.0,715.8,733.7,762.2,786.7,807.9,816.3,817.6,828.2,837.3,845.4,841.6,831.8,831.5,830.3,828.4,823.7
BLYTB1,BLYTB1,493.6,474.3,454.9,442.2,434.3,434.3,436.0,443.1,448.0,455.7,463.9,473.6,489.2,507.2,513.4,521.7,530.3,538.0,544.4,546.5,549.3,552.5,555.4,558.3,558.2,557.0,557.6,557.9,557.9,556.9
BLYTH132,BLYTH132,56.5,55.1,54.0,53.9,54.7,56.7,58.9,62.0,65.0,68.2,72.4,76.9,82.3,87.8,91.6,95.8,100.0,103.6,106.7,108.0,109.4,111.1,112.4,113.6,113.1,111.8,111.7,111.5,111.3,110.5
BOAG_P,BOAG_P,23.0,22.5,21.8,21.6,21.7,22.2,22.7,23.6,24.4,25.4,26.8,28.3,30.1,31.9,33.1,34.3,35.5,36.6,37.4,37.9,38.7,39.2,39.6,39.9,39.9,39.9,39.9,39.8,39.7,39.4
BOLN_1,BOLN_1,813.6,789.5,769.6,762.9,766.9,780.2,802.9,837.3,868.2,902.8,935.1,980.0,1036.0,1096.0,1131.6,1159.4,1201.3,1237.3,1268.6,1280.2,1283.9,1300.0,1314.1,1327.8,1323.2,1308.3,1309.4,1309.4,1308.4,1303.3
BONN,BONN,59.7,57.8,56.6,56.4,57.1,59.5,61.8,65.1,68.3,71.8,77.2,82.2,88.1,94.3,98.6,104.1,109.2,113.6,117.5,119.3,123.4,125.8,127.9,129.8,129.5,129.4,129.7,129.9,130.0,129.4
BOTW_1,BOTW_1,149.6,145.0,141.2,139.9,140.5,142.8,146.6,152.6,158.0,164.2,169.7,177.6,187.5,198.2,205.0,209.8,217.7,224.5,230.4,233.0,233.5,236.8,239.6,242.3,241.8,239.1,239.5,239.8,239.9,239.1
BRAC_P,BRAC_P,27.1,26.7,26.4,26.4,26.7,27.4,28.6,30.3,32.0,33.8,36.6,39.2,42.3,45.4,47.7,50.6,53.2,55.5,57.4,58.4,60.7,61.9,62.9,63.8,63.7,63.9,64.0,64.0,64.0,63.6
BRAI_1,BRAI_1,207.2,201.3,197.5,197.4,200.5,204.1,211.5,222.2,232.0,242.6,250.0,263.1,279.2,296.3,307.4,313.1,326.3,337.7,347.7,351.6,351.1,356.6,361.4,366.3,365.2,360.7,361.6,362.3,362.7,361.7
