Grid Supply Points,Name,2021 (MW),2022 (MW),2023 (MW),2024 (MW),2025 (MW),2026 (MW),2027 (MW),2028 (MW),2029 (MW),2030 (MW),2031 (MW),2032 (MW),2033 (MW),2034 (MW),2035 (MW),2036 (MW),2037 (MW),2038 (MW),2039 (MW),2040 (MW),2041 (MW),2042 (MW),2043 (MW),2044 (MW),2045 (MW),2046 (MW),2047 (MW),2048 (MW),2049 (MW),2050 (MW)
ABHA1,ABHA1,83.2,92.1,105.6,127.4,149.1,170.7,192.1,213.4,234.6,256.6,282.1,310.1,335.6,362.1,381.6,393.3,399.7,404.8,419.3,438.1,455.5,474.3,493.0,498.9,498.4,497.8,497.3,496.8,496.2,495.6
ABNE_P,ABNE_P,14.8,18.4,23.4,24.4,25.6,26.8,28.2,29.7,31.3,32.3,34.3,36.7,39.1,41.7,44.1,46.1,47.9,49.6,52.1,54.9,57.8,60.9,64.1,66.4,68.1,69.9,71.6,73.4,75.2,76.9
ABTH_1,ABTH_1,60.6,67.1,77.0,78.3,79.6,80.9,82.2,83.5,84.8,86.1,87.6,89.3,90.8,92.5,93.6,94.3,94.7,95.0,95.9,97.0,98.1,99.2,100.3,100.7,100.7,100.6,100.6,100.6,100.5,100.5
ACTL_2;CBNK_H;GREE_H;PERI_H,ACTL_2;CBNK_H;GREE_H;PERI_H,0.0,0.0,0.0,2.9,5.7,8.6,11.4,14.2,17.0,19.9,23.2,26.9,30.3,33.8,36.4,37.9,38.8,39.4,41.3,43.8,46.1,48.6,51.0,51.8,51.8,51.7,51.6,51.5,51.5,51.4
ALNE_P,ALNE_P,0.5,0.6,0.8,1.8,3.0,4.3,5.6,7.2,8.8,9.7,11.8,14.1,16.5,19.1,21.5,23.6,25.4,27.1,29.5,32.4,35.3,38.4,41.6,43.9,45.6,47.4,49.1,50.9,52.7,54.5
ALVE1,ALVE1,168.2,186.3,213.6,235.4,257.1,278.6,300.1,321.4,342.6,364.5,390.1,418.1,443.6,470.1,489.6,501.3,507.7,512.7,527.3,546.0,563.5,582.3,601.0,606.9,606.4,605.8,605.3,604.7,604.2,603.6
AMEM_1,AMEM_1,35.5,39.3,45.0,45.9,46.8,47.7,48.5,49.4,50.2,51.1,52.1,53.3,54.3,55.4,56.1,56.6,56.9,57.1,57.7,58.4,59.1,59.9,60.6,60.9,60.9,60.8,60.8,60.8,60.8,60.7
ARBR_P,ARBR_P,24.2,30.1,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4
ARDK_P;CLAC_P,ARDK_P;CLAC_P,0.0,0.0,0.0,1.1,2.2,3.5,4.9,6.4,8.0,8.9,11.0,13.4,15.8,18.4,20.8,22.8,24.6,26.3,28.8,31.6,34.5,37.6,40.9,43.1,44.9,46.6,48.4,50.1,51.9,53.7
ARMO_P,ARMO_P,0.0,0.0,0.0,2.3,4.8,7.5,10.5,13.7,17.2,19.2,23.7,28.8,34.0,39.6,44.7,49.1,53.0,56.7,62.0,68.1,74.3,81.0,88.0,92.9,96.6,100.4,104.2,108.0,111.8,115.6
