GSP ID,GSP Group,Minor FLOP,Name,Latitude,Longitude,Comments
ABNE_P,_P,T4,Abernethy,56.33945602,-3.293750933,
ABTH_1,_K,H2,Aberthaw,51.38520959,-3.403318398,
ABHA1,_L,F6,Abham,50.47155865,-3.729488691,
ACTL_C,_C,A7,Acton Lane 22kV,51.53495051,-0.257050264,
ACTL_2,_H,A7,Acton Lane 66kV,51.53495051,-0.257050264,
ALNE_P,_P,T5,Alness,57.70812973,-4.27420198,
ALST_3,_K,H2,Alpha Steel (Uskmouth),51.54868745,-2.975539939,
ALVE1,_L,F6,Alverdiscott,51.00569113,-4.137455119,
AMEM_1,_A,A6,Amersham Main,51.66424942,-0.655116208,
ARBR_P,_P,T4,Arbroath,56.56385676,-2.619040477,
ARDK_P,_P,T3,Ardkinglas,56.287166,-4.955504,
ARMO_P,_P,T1,Ardmore,57.55442865,-6.645004363,
AXMI1,_L,E1,Axminster,50.78707009,-2.924407538,
AYRR,_N,S6,Ayr,55.45688294,-4.587391665,
BAIN,_N,S5,Bainsford,56.01383993,-3.767711215,
BARKC1,_C,A1,Barking,51.51815491,0.113163452,
BARKW3,_C,A1,Barking West,51.51646602,0.106957792,
BAGA,_N,S5,Bathgate,55.90042458,-3.673881129,
BEAU_P,_P,T1,Beauly,57.46759907,-4.489802119,
BEDDT1,_C,A8,Beddington (_C),51.37403,-0.12918,
BEDD_1,_J,A8,Beddington (_J),51.37403,-0.12918,
BESW_1,_B,L3,Berkswell,52.38663495,-1.613945012,
BERB_P,_P,T1,Berryburn,57.504052,-3.599413,
BERW,_N,S6,Berwick,55.77742429,-2.078700087,
BICF_1,_B,K4,Bicker Fen,52.93080038,-0.221163846,
BIRK_1,_D,N3,Birkenhead,53.36590537,-3.061295921,
BISW_1,_E,L2,Bishops Wood,52.31249689,-2.242735448,
BLYTB1,_F,Q6,Blyth 66kV,55.14114091,-1.530712633,
BLYTH132,_F,Q6,Blyth 132kV,55.14114091,-1.530712633,
BOAG_P,_P,T1,Boat of Garten,57.24932862,-3.723001408,
BOLN_1,_J,B1,Bolney,50.97437307,-0.236485757,
BONN,_N,S5,Bonnybridge,56.0071049,-3.860301279,
BOTW_1,_H,B2,Botley Wood,50.88497196,-1.233003439,
BRAC_P,_P,T4,Braco West,56.27612575,-3.877741345,
BRAW_1,_M,P1,Bradford West,53.81009972,-1.866986068,
BRAP,_N,S6,Braehead Park,55.88072439,-4.381001627,
BRAI_1,_A,J8,Braintree,51.86536349,0.5760433,
BRFO_1,_A,J5,Bramford,52.07018187,1.062822573,
BRLE_1,_H,B4,Bramley,51.33545,-1.07695,
BRED_1,_G,N2,Bredbury,53.41523177,-2.13127572,
BRID_P,_P,T4,Bridge of Dun,56.72040723,-2.556550442,
BRWA1,_L,E7,Bridgewater,51.11731596,-2.968839464,
BRIM_1,_A,A3,Brimsdown,51.66350383,-0.024884614,
BROA_P,_P,T1,Broadford,57.2479281,-5.93580345,
BROR_P,_P,T5,Brora,58.01993055,-3.87470168,
BROX,_N,S6,Broxburn,55.91932467,-3.453400982,
BUMU_P,_P,T4,Burghmuir,56.39669617,-3.487501081,
BURM_1,_A,J7,Burwell Main,52.28005309,0.312061036,
BUSH_1,_E,L2,Bushbury,52.63622392,-2.114755279,
BUST_1,_E,L3,Bustleholme,52.55295117,-1.96402348,
CAIF_P,_P,T2,Cairnford,57.451749,-2.84971,
CAMB_01,_M,P4,Camblesforth,53.72946043,-1.000848779,
CBNK_H,_H,A7,Canal Bank,51.53495051,-0.257050264,
CANTN1,_J,C7,Canterbury,51.29233519,1.094176117,
CAPEA1,_D,N3,Capenhurst,53.26621,-2.948,
CARE_1,_K,H2,Cardiff East,51.49547203,-3.144727906,
CATY,_N,S6,Carntyne,55.85698435,-4.196611487,
CAAD_P,_P,T3,Carradale,55.59026315,-5.502312414,
CARR_1,_G,N2,Carrington,53.43491,-2.40035,
CAFA,_N,S6,Carsfad,55.14350194,-4.189291315,
CASS_P,_P,T5,Cassley,56.54213245,-4.516696903,
