Node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_3,35.7,39.7,40.2,40.6,41.099999999999994,41.3,41.9,42.2,42.6,43.1,43.5,44.0,44.3,44.900000000000006,45.1,45.6,46.1,46.5,46.9,47.4,47.8,48.3,48.7,49.1,49.6,50.0,50.5,51.0,51.4,51.8
Z1_4,20.0,22.3,22.5,22.7,23.1,23.3,23.400000000000002,23.7,23.9,24.200000000000003,24.4,24.7,25.0,25.1,25.4,25.5,26.0,26.2,26.3,26.599999999999998,26.8,27.1,27.400000000000002,27.7,27.8,28.0,28.4,28.5,28.7,29.2
Z2,44.8,49.800000000000004,50.4,50.9,51.4,52.0,52.5,53.0,53.5,54.1,54.6,55.199999999999996,55.699999999999996,56.2,56.7,57.3,57.8,58.4,58.800000000000004,59.5,60.0,60.5,61.1,61.8,62.3,62.8,63.4,64.0,64.4,65.1
Z3,169.2,181.2,183.2,185.0,187.0,189.1,190.89999999999998,192.7,194.6,196.4,198.4,200.70000000000002,202.5,204.4,206.2,208.3,210.3,212.4,214.3,216.2,218.2,220.1,222.2,224.3,226.3,228.39999999999998,230.2,232.39999999999998,234.7,236.79999999999998
Z4,18.0,20.1,20.2,20.5,20.7,20.9,21.1,21.4,21.6,21.7,22.0,22.2,22.4,22.6,22.9,23.0,23.299999999999997,23.5,23.7,23.900000000000002,24.200000000000003,24.4,24.700000000000003,24.799999999999997,25.099999999999998,25.3,25.5,25.700000000000003,26.0,26.200000000000003
Z5,19.299999999999997,17.5,17.7,17.8,18.0,18.2,18.400000000000002,18.599999999999998,18.799999999999997,19.0,19.099999999999998,19.299999999999997,19.5,19.7,19.799999999999997,20.1,20.3,20.5,20.6,20.8,21.0,21.3,21.5,21.6,21.8,22.0,22.200000000000003,22.400000000000002,22.6,22.8
Z6,83.6,75.6,76.4,77.2,78.0,78.8,79.6,80.4,81.2,82.0,82.8,83.7,84.5,85.3,86.1,86.9,87.7,88.6,89.4,90.2,91.1,91.9,92.7,93.6,94.4,95.3,96.2,97.0,97.9,98.8
Z7,9.5,8.3,8.3,8.4,8.5,8.6,8.7,8.8,8.9,8.9,9.0,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.8,9.9,10.0,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8
Z8,5.3,4.6,4.7,4.7,4.8,4.8,4.8,4.9,4.9,5.0,5.0,5.1,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5,5.5,5.6,5.6,5.7,5.8,5.8,5.8,5.9,6.0,6.0
Z9,25.3,22.0,22.3,22.5,22.7,22.9,23.1,23.4,23.700000000000003,23.900000000000002,24.1,24.400000000000002,24.6,24.8,25.0,25.3,25.5,25.700000000000003,26.099999999999998,26.3,26.5,26.8,27.0,27.2,27.5,27.7,27.9,28.3,28.5,28.8
Z10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z13,14.0,12.2,12.2,12.5,12.5,12.7,12.8,13.0,13.0,13.2,13.3,13.399999999999999,13.600000000000001,13.7,13.899999999999999,14.0,14.1,14.3,14.4,14.5,14.7,14.8,14.9,15.1,15.2,15.4,15.5,15.6,15.8,15.9
Z14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z16,25.1,21.7,22.0,22.099999999999998,22.5,22.6,22.8,23.1,23.3,23.5,23.8,24.099999999999998,24.2,24.5,24.7,24.9,25.1,25.4,25.6,25.900000000000002,26.2,26.3,26.7,26.8,27.1,27.299999999999997,27.5,27.900000000000002,28.0,28.4
Z17,2.5,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.8
