Node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_3,0.5,0.6,0.8,10.3,21.2,33.0,45.7,59.6,74.6,83.1,102.30000000000001,123.9,146.1,170.2,192.3,211.0,227.39999999999998,243.5,266.0,292.4,319.0,347.7,377.3,398.4,414.4,430.6,446.70000000000005,462.9,479.5,495.8
Z1_4,5.6,6.8999999999999995,8.8,14.299999999999999,20.3,26.9,34.0,41.7,50.1,55.0,65.7,77.9,90.3,104.0,116.2,126.89999999999999,136.2,145.0,157.7,172.4,187.4,203.4,220.29999999999998,231.9,241.0,250.20000000000002,259.2,268.4,277.5,286.6
Z2,12.8,16.0,20.2,36.2,53.6,72.7,93.5,116.1,140.5,154.70000000000002,185.8,221.3,257.7,296.9,332.6,363.5,390.2,416.4,453.4,496.2,539.6,586.4,635.0,669.2,695.3,721.8,748.0,774.6,801.3,828.2
Z3,89.0,111.2,142.2,152.79999999999998,164.79999999999998,177.79999999999998,192.0,207.4,224.20000000000002,233.79999999999998,255.6,280.90000000000003,306.3,334.3,360.0,382.0,401.3,420.5,447.0,477.9,509.1,543.0,577.9,602.9,622.5,641.9,661.1,680.9,700.5,720.3
Z4,1.0,1.2,1.6,3.8,6.300000000000001,9.1,12.100000000000001,15.4,18.900000000000002,20.9,25.400000000000002,30.5,35.7,41.3,46.5,50.9,54.8,58.6,63.8,70.0,76.2,83.0,90.0,94.8,98.6,102.5,106.3,110.0,113.89999999999999,117.80000000000001
Z5,43.4,59.0,80.30000000000001,103.4,134.0,165.4,200.4,236.0,280.6,301.5,359.2,426.90000000000003,493.8,569.0,640.3000000000001,706.0,761.9,819.4,894.5,983.1,1072.0,1167.9,1266.1000000000001,1340.9,1398.6,1460.7,1518.5,1577.9,1637.4,1699.6
Z6,0.0,0.0,0.0,1.5,3.8,6.3,8.899999999999999,10.7,14.200000000000001,15.6,19.5,24.5,28.8,34.1,39.2,44.099999999999994,48.0,52.0,57.2,63.6,70.0,76.6,83.30000000000001,88.5,92.5,97.3,101.3,105.3,109.30000000000001,114.2
Z7,219.7,243.4,278.8,353.9,428.8,502.8,576.8,649.8,723.3000000000001,798.4,886.6,982.6,1070.7,1162.0,1229.3,1269.5,1291.3,1308.5,1358.7,1423.1,1483.4,1548.3,1612.6,1632.6,1630.8999999999999,1629.0,1627.1000000000001,1625.3,1623.4,1621.4
Z8,366.1,405.5,464.90000000000003,543.3,620.5,698.4,775.3,851.3,927.1999999999999,1005.6999999999999,1098.2,1198.1,1290.2,1385.1,1454.9,1497.1,1519.5,1538.3,1589.7,1657.4,1720.3,1787.3,1855.0,1875.7,1874.2,1871.5,1870.0,1867.4,1866.1000000000001,1864.5
Z9,553.3,612.2,702.3,796.8,891.3,985.0,1078.2,1171.0,1263.5,1358.4,1469.5,1590.9,1702.7,1817.9,1902.1,1953.2,1980.9,2002.8,2066.0,2147.5,2223.5,2305.2,2386.9,2412.2,2409.8,2407.3,2405.0,2402.9,2400.1,2397.8
Z10,433.5,480.3,550.4,661.1,771.0999999999999,880.4,989.2,1097.3999999999999,1205.0,1316.1000000000001,1445.6,1587.6,1717.1999999999998,1851.6,1950.7,2009.8,2042.3,2067.8,2141.9,2236.8999999999996,2325.4,2420.8,2515.7,2545.4,2542.8,2540.1,2537.3,2534.6,2531.7,2528.9
Z11,1000.2,1107.7,1270.1,1437.6,1604.0,1769.8000000000002,1934.5,2098.7,2261.7999999999997,2430.3,2626.5,2841.7999999999997,3038.0,3241.9,3391.7999999999997,3481.5,3530.3,3569.3,3681.7,3825.1,3959.6,4104.4,4247.9,4292.900000000001,4289.1,4284.8,4280.5,4276.4,4272.1,4268.2
Z12,1585.6,1756.1,2013.1,2272.0,2529.6,2785.7,3040.5,3293.7,3545.8,3806.0,4109.4,4442.0,4745.8,5060.5,5292.2,5430.9,5506.599999999999,5566.5,5739.9,5962.1,6169.6,6393.2,6615.5,6684.7,6678.4,6672.2,6665.8,6659.4,6652.8,6645.9
Z13,1909.0,2114.3,2423.8,2700.3,2975.1,3248.6,3520.7,3791.0,4059.8,4337.9,4661.5,5016.7,5340.7,5676.7,5924.2,6072.1,6153.400000000001,6217.1,6402.1,6639.2,6861.099999999999,7099.7,7336.6,7411.1,7404.599999999999,7397.599999999999,7390.799999999999,7384.0,7376.8,7369.6
Z14,77.4,85.7,98.2,172.6,246.70000000000002,320.0,393.1,465.3,538.0,612.4,698.8,794.6,881.6,971.8,1038.3,1078.1,1099.5,1117.0,1166.3,1230.5,1289.7,1354.2,1418.3,1437.5,1435.7,1434.1,1432.4,1430.7,1428.3999999999999,1426.3999999999999
Z15,371.3,411.2,471.4,585.2,698.2,810.8,922.6,1034.0,1144.5,1259.0,1392.2,1538.1,1671.7,1810.0,1911.8,1972.5,2006.0,2032.1,2108.2,2206.0,2297.1,2395.3,2492.8,2523.3,2520.7,2518.0,2515.0,2512.2,2509.3,2506.4
