Node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Z1_4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996,50.199999999999996
Z2,3.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9
Z3,0.0,0.0,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,76.3,76.3,76.3,76.3,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2,126.2
Z4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5,69.8,69.8,119.69999999999999,119.69999999999999,149.6,169.6,169.6,169.6,169.6,199.5,199.5,199.5,199.5,199.5,218.5,218.5,238.5,238.5,287.4,331.3,331.3,331.3,331.3,331.3,331.3,431.3,431.3,482.5,582.5,582.5
Z6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Z7,105.1,164.0,164.0,239.0,239.0,239.0,239.0,239.0,259.0,259.0,259.0,259.0,259.0,359.0,458.9,458.9,458.9,458.9,460.2,460.2,460.2,510.2,610.1999999999999,610.1999999999999,610.1999999999999,610.1999999999999,610.1999999999999,610.1999999999999,660.1999999999999,660.1999999999999
Z8,135.6,406.8,470.8,520.8,520.8,520.8,596.8,596.8,596.8,606.8,613.8,617.8,717.6,768.2,768.2,818.2,818.2,818.2,898.0999999999999,898.0999999999999,898.0999999999999,898.0999999999999,898.0999999999999,898.0999999999999,941.0999999999999,991.0999999999999,992.0999999999999,992.0999999999999,992.0999999999999,992.0999999999999
Z9,133.5,203.3,362.9,574.1,624.0,624.0,824.0,1074.0,1193.0,1405.8999999999999,1405.8999999999999,1436.8999999999999,1516.8,1547.5,1657.5,1657.5,1670.5,1676.5,1681.5,1701.5,1751.5,1751.5,1751.5,1751.5,1751.5,1751.5,1851.5,1851.5,1851.5,1851.5
Z10,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2
Z11,76.10000000000001,279.1,307.1,394.0,394.0,394.0,394.0,394.0,394.0,396.5,496.5,496.5,552.4,636.4,726.4000000000001,776.3000000000001,831.3000000000001,931.1,1031.4,1134.4,1206.9,1306.9,1306.9,1306.9,1306.9,1306.9,1306.9,1306.9,1306.9,1386.9
Z12,209.6,337.5,517.5,522.6,522.6,522.6,522.6,522.6,622.6,622.6,622.6,672.6,672.6,675.6,675.6,675.6,775.6,825.6,925.5,1227.5,1227.5,1227.5,1227.5,1227.5,1227.5,1227.5,1227.5,1327.5,1327.5,1327.5
Z13,168.9,422.7,490.3,661.8000000000001,661.8000000000001,661.8000000000001,711.8000000000001,711.8000000000001,811.8000000000001,868.7,918.7,929.7,930.7,940.7,951.7,1001.6,1056.6000000000001,1056.7,1100.7,1120.7,1120.7,1120.7,1170.7,1220.7,1220.7,1220.7,1220.7,1220.7,1230.7,1235.7
Z14,41.6,140.6,230.5,280.0,280.0,329.5,329.5,329.5,329.5,335.5,435.40000000000003,435.40000000000003,435.40000000000003,435.40000000000003,455.40000000000003,463.0,463.0,463.0,470.2,470.2,570.2,570.2,570.2,570.2,570.2,570.2,570.2,570.2,570.2,570.2
Z15,68.3,168.1,276.6,326.6,326.6,326.6,326.6,326.6,326.6,326.6,426.5,426.5,431.6,441.6,441.6,491.5,511.5,561.5,569.0,668.8,668.8,668.8,668.8,768.8,768.8,768.8,768.8,768.8,768.8,768.8
Z16,67.19999999999999,127.19999999999999,226.2,276.1,360.0,360.0,360.0,410.0,410.0,446.0,447.6,457.6,507.5,552.5,604.9000000000001,662.1,662.1,761.0,766.5,823.1,827.6,827.6,827.6,827.6,827.6,827.6,827.6,844.7,844.7,844.7
Z17,97.8,97.8,247.2,267.2,267.2,267.2,267.2,267.2,267.2,337.2,337.2,358.2,358.2,361.2,364.7,364.7,364.7,364.7,470.1,510.5,585.5,585.5,585.5,585.5,735.5,735.5,759.0,759.0,759.0,859.0
