Node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_3,27.3,27.2,27.4,27.7,28.0,28.3,28.7,29.099999999999998,29.599999999999998,30.1,30.8,31.3,32.0,32.7,33.6,34.3,35.2,36.2,37.0,38.199999999999996,39.199999999999996,40.3,41.4,42.8,43.9,45.3,46.6,48.099999999999994,49.4,51.1
Z1_4,14.1,14.1,14.1,14.3,14.5,14.6,14.9,15.000000000000002,15.3,15.7,15.9,16.2,16.7,16.9,17.4,17.8,18.2,18.5,19.3,19.7,20.099999999999998,20.8,21.4,22.099999999999998,22.8,23.5,24.1,24.8,25.599999999999998,26.4
Z2,70.0,69.7,70.2,70.89999999999999,71.6,72.4,73.5,74.6,75.9,77.3,78.60000000000001,80.5,82.10000000000001,84.0,86.0,88.1,90.2,92.7,95.3,97.8,100.7,103.5,106.4,109.4,112.8,116.19999999999999,119.7,123.2,126.9,130.8
Z3,34.800000000000004,34.6,35.0,35.2,35.5,36.1,36.4,37.0,37.6,38.4,39.1,40.0,40.8,41.599999999999994,42.6,43.6,44.7,46.0,47.2,48.4,49.6,51.300000000000004,52.8,54.4,56.1,57.6,59.2,61.1,63.0,64.9
Z4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.8,1.8,1.9,1.9,1.9,2.0,2.1,2.1,2.1,2.3,2.3,2.3,2.5,2.5,2.5,2.7,2.7,2.9,2.9
Z5,73.0,72.6,73.3,74.0,66.7,67.4,68.4,69.2,70.3,71.9,73.1,74.7,76.0,78.1,79.7,81.5,83.7,85.8,88.7,91.1,93.4,96.3,98.8,101.8,104.9,108.1,111.3,114.6,118.3,121.8
Z6,13.7,13.6,13.799999999999999,13.9,13.9,14.0,14.5,14.6,14.8,15.3,15.5,15.9,16.3,16.599999999999998,17.0,17.3,17.8,18.1,18.7,19.299999999999997,19.799999999999997,20.5,20.9,21.5,22.2,22.799999999999997,23.6,24.2,25.0,25.8
Z7,36.0,36.0,36.199999999999996,36.7,37.1,37.7,38.099999999999994,38.699999999999996,39.1,39.9,40.8,41.5,42.4,43.5,44.5,45.5,46.6,47.7,49.199999999999996,50.6,51.8,53.3,54.9,56.599999999999994,58.3,60.0,61.900000000000006,63.60000000000001,65.7,67.7
Z8,71.0,70.7,71.39999999999999,71.89999999999999,72.7,73.7,74.6,75.9,77.0,78.4,80.0,81.8,83.5,85.2,87.4,89.60000000000001,91.8,94.5,96.9,99.4,102.4,105.4,108.5,111.3,114.7,118.1,121.5,125.4,129.3,132.9
Z9,33.1,33.0,33.4,33.8,34.0,34.3,34.8,35.4,36.0,36.6,37.4,37.9,38.8,39.6,40.8,41.6,42.6,44.1,44.9,46.5,47.7,49.1,50.5,51.8,53.3,55.0,56.5,58.3,59.900000000000006,61.9
Z10,11.5,11.5,11.600000000000001,11.600000000000001,11.8,11.9,12.0,12.2,12.5,12.6,12.9,13.1,13.5,13.8,14.100000000000001,14.5,14.8,15.1,15.600000000000001,15.899999999999999,16.5,16.9,17.5,17.9,18.5,19.0,19.6,20.2,20.8,21.5
Z11,31.7,31.5,32.0,32.3,32.4,32.8,33.4,33.7,34.4,34.8,35.8,36.5,37.4,38.1,39.0,39.8,41.1,42.1,43.1,44.3,45.7,46.9,48.2,49.7,51.0,52.8,54.1,55.9,57.4,59.3
Z12,20.4,20.2,20.4,20.7,20.900000000000002,21.1,21.400000000000002,21.6,21.9,22.3,22.9,23.4,23.9,24.6,25.1,25.599999999999998,26.400000000000002,27.3,27.8,28.5,29.3,30.1,31.0,31.8,32.9,33.699999999999996,34.9,35.8,37.0,38.1
Z13,54.2,53.9,54.4,55.0,55.6,56.2,57.1,57.9,58.7,59.800000000000004,60.9,62.2,63.400000000000006,65.0,66.5,68.4,69.9,71.6,73.89999999999999,75.8,77.8,80.2,82.5,84.89999999999999,87.39999999999999,90.0,92.8,95.60000000000001,98.60000000000001,101.3
Z14,2.5,2.5,2.6,2.6999999999999997,2.8,2.8,2.8,2.9,2.9,2.9,2.9999999999999996,2.9999999999999996,2.9999999999999996,3.0999999999999996,3.1999999999999997,3.3,3.3,3.5,3.5,3.6999999999999997,3.9,3.9,4.0,4.1000000000000005,4.300000000000001,4.300000000000001,4.4,4.5,4.7,4.9
Z15,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,1.2,1.2,1.4,1.4,1.4,1.4,1.4
Z16,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.5,2.5,2.6,2.7,2.7,2.8,2.9,2.9,3.0,3.1,3.2,3.3,3.5,3.5,3.6
Z17,68.6,68.3,68.89999999999999,69.60000000000001,70.2,71.0,72.0,73.10000000000001,74.2,75.7,77.10000000000001,78.7,80.5,82.1,84.0,86.3,88.5,90.8,93.1,95.7,98.4,101.2,104.10000000000001,107.2,110.3,113.7,117.2,120.6,124.19999999999999,128.1
