SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-Jan-19,1,23808,A,22475,25291,23095,22393,2068,5918,0,13052,0,178,166,1553,176,-455,-250,1532,186,-453,-242
01-Jan-19,2,24402,A,23146,25720,23767,22962,2030,5918,0,13052,0,27,21,1554,194,-455,-236,1532,199,-453,-240
01-Jan-19,3,24147,A,22859,25495,23484,22689,1979,5918,0,13052,0,27,25,1505,581,-410,-311,1484,591,-406,-309
01-Jan-19,4,23197,A,21868,24590,22496,21849,1928,5918,0,13052,0,28,28,1503,600,-450,-315,1484,599,-450,-318
01-Jan-19,5,22316,A,20977,24346,22123,20979,1874,5918,0,13052,0,525,546,1503,675,-442,-463,1484,677,-440,-467
01-Jan-19,6,21987,A,20635,24414,22225,20583,1820,5918,0,13052,0,850,990,1505,677,-442,-535,1484,671,-441,-530
01-Jan-19,7,20958,A,19487,23695,21239,19433,1769,5918,0,13052,0,1146,1298,1406,305,-455,-536,1384,293,-452,-530
01-Jan-19,8,20640,A,19044,23398,20804,18988,1718,5918,0,13052,0,1167,1160,1410,287,-455,-536,1384,286,-453,-530
01-Jan-19,9,20331,A,18779,23080,20532,18687,1685,5918,0,13052,0,1158,1153,971,324,-455,-536,945,325,-453,-530
01-Jan-19,10,20095,A,18555,22835,20298,18509,1652,5918,0,13052,0,1150,1143,963,326,-455,-535,945,325,-453,-530
01-Jan-19,11,20138,A,18693,22624,20182,18525,1617,5918,0,13052,0,895,877,575,390,-455,-536,554,392,-453,-530
01-Jan-19,12,20404,A,18992,22815,20408,18757,1581,5918,0,13052,0,820,815,563,393,-455,-536,555,392,-453,-530
01-Jan-19,13,21110,A,19752,23520,21166,19380,1548,5918,0,13052,0,820,814,521,439,-455,-535,508,439,-453,-530
01-Jan-19,14,21583,A,20249,23762,21489,19785,1515,5918,0,13052,0,594,572,495,423,-449,-536,509,407,-447,-530
01-Jan-19,15,22209,A,20844,23989,21522,20365,1483,5918,0,13052,0,191,175,1627,3,-454,-535,1631,-1,-453,-530
01-Jan-19,16,22624,A,21202,24204,21875,20759,1450,5918,0,13052,0,23,17,1653,0,-456,-501,1630,-1,-453,-492
01-Jan-19,17,23205,A,21888,24640,22502,21313,1433,5918,6,13052,0,14,12,1651,162,-456,-365,1630,169,-453,-358
01-Jan-19,18,23947,A,22654,25370,23263,22033,1416,5918,107,13052,0,10,9,1651,180,-456,-357,1630,187,-453,-357
01-Jan-19,19,25097,A,23759,26512,24372,23066,1403,5918,367,13052,0,11,11,1747,743,-428,-376,1728,757,-425,-374
01-Jan-19,20,26220,A,24881,27664,25497,24071,1389,5918,698,13052,0,10,9,1749,775,-454,-380,1728,775,-453,-375
01-Jan-19,21,27227,A,25988,28569,26602,24940,1395,5918,1120,13052,0,14,12,1846,862,-454,-274,1825,866,-453,-269
01-Jan-19,22,28065,A,26838,29436,27451,25670,1400,5918,1540,13052,0,10,13,1848,866,-455,-306,1825,868,-453,-311
01-Jan-19,23,28683,A,27459,30204,28072,26182,1408,5918,1920,13052,0,10,13,1994,979,-454,-457,1971,986,-453,-460
01-Jan-19,24,29211,A,28050,30812,28663,26610,1415,5918,2100,13052,0,10,13,1998,985,-455,-536,1971,987,-453,-530
01-Jan-19,25,29823,A,28649,31425,29260,27210,1429,5918,2020,13052,0,11,11,1998,999,-455,-536,1971,1001,-453,-530
01-Jan-19,26,30179,A,29001,31781,29610,27470,1443,5918,1880,13052,0,13,9,1998,1000,-454,-535,1971,1001,-453,-530
01-Jan-19,27,30470,A,29319,32073,29927,27727,1422,5918,1560,13052,0,12,9,1998,1001,-455,-536,1971,1001,-453,-530
01-Jan-19,28,30430,A,29260,32031,29873,27763,1400,5918,1220,13052,0,10,13,1998,1001,-455,-536,1971,1001,-453,-530
01-Jan-19,29,30728,A,29577,32326,30187,28041,1364,5918,902,13052,0,9,9,1998,1000,-454,-535,1971,1001,-453,-530
01-Jan-19,30,31080,A,29867,32681,30477,28290,1327,5918,553,13052,0,12,9,1998,1000,-454,-535,1971,1000,-453,-530
01-Jan-19,31,31713,A,30488,33319,31097,28840,1294,5918,236,13052,0,15,9,1998,895,-455,-536,1971,893,-453,-530
01-Jan-19,32,32516,A,31336,34121,31945,29602,1261,5918,48,13052,0,15,9,1997,890,-455,-535,1971,892,-453,-530
01-Jan-19,33,34255,A,33216,35858,33831,31171,1238,5918,0,13052,0,12,14,1998,829,-455,-536,1971,828,-453,-530
01-Jan-19,34,36313,A,35246,37920,35862,33064,1215,5918,2,13052,54,18,15,1998,827,-454,-535,1971,830,-453,-530
01-Jan-19,35,36892,A,35796,38502,36407,33620,1214,5918,0,13052,142,19,6,1998,1048,-455,-536,1971,1057,-453,-530
01-Jan-19,36,36786,A,35638,38387,36249,33543,1212,5918,1,13052,142,12,10,1998,1058,-454,-535,1971,1060,-453,-530
01-Jan-19,37,36372,A,35207,37981,35825,33234,1205,5918,0,13052,142,20,14,1998,1058,-454,-535,1971,1059,-453,-530
01-Jan-19,38,35673,A,34531,37283,35152,32517,1197,5918,0,13052,98,19,19,1998,1058,-455,-536,1971,1060,-453,-530
