Node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z1_3,120.9,117.7,114.2,112.5,112.4,113.3,115.30000000000001,119.0,122.0,126.4,131.6,137.8,145.2,153.6,158.6,164.7,170.1,174.6,178.4,180.7,186.6,189.2,191.2,192.8,193.0,195.4,195.6,195.4,195.3,194.2
Z1_4,261.2,253.1,245.5,241.9,241.2,244.2,248.8,257.2,264.6,273.8,285.5,297.6,313.5,330.90000000000003,341.1,353.7,366.7,377.7,387.4,392.2,403.6,410.09999999999997,415.9,421.6,421.7,423.9,425.6,426.5,427.8,426.9
Z2,509.3,497.3,485.5,482.2,485.4,498.5,513.2,536.0,556.8,581.5,615.9,649.5,690.4,734.4,763.2,803.1,838.8,870.3,897.9,911.1,945.7,964.1,980.2,995.4,996.0,1003.1,1007.5,1010.8,1014.0,1011.5
Z3,479.1,467.2,456.9,454.9,458.5,472.0,487.9,512.0,534.8,560.6,598.4,635.3,679.0,724.7,756.0,795.4,832.1,863.4,890.9,904.0,935.1,952.6,967.0,980.5,978.9,981.3,983.8000000000001,984.6,985.2,980.6
Z4,44.2,43.1,41.9,41.2,41.2,41.7,42.4,43.7,45.0,46.5,48.4,50.8,53.7,56.8,58.599999999999994,60.599999999999994,62.3,63.8,65.2,66.0,67.6,68.4,69.0,69.4,69.3,69.9,69.8,69.6,69.30000000000001,68.8
Z5,2914.4,2832.5,2772.2,2762.3,2790.8,2891.0,2999.4,3155.7,3301.1,3464.6,3707.8,3931.6,4198.9,4482.3,4674.0,4927.9,5174.2,5386.7,5575.7,5657.6,5853.9,5976.1,6083.4,6190.7,6181.5,6180.1,6209.2,6229.3,6249.1,6236.0
Z6,282.8,276.0,269.6,268.0,270.0,278.5,287.2,300.40000000000003,312.7,327.0,347.3,367.1,390.8,416.3,432.4,452.6,472.2,489.3,504.3,511.0,525.6,535.1,543.3,551.0,550.4,550.1,551.8,552.8,553.6,551.7
Z7,3332.9,3227.0,3125.6,3076.3,3068.7,3129.0,3194.8,3305.5,3401.9,3515.7,3660.5,3814.6,4013.5,4228.0,4348.2,4497.2,4641.1,4765.6,4872.9,4913.7,4966.6,5022.5,5071.1,5117.099999999999,5102.400000000001,5064.2,5067.2,5065.8,5061.3,5041.1
Z8,5029.7,4880.5,4745.2,4687.6,4692.0,4787.5,4911.4,5107.0,5281.2,5481.2,5726.9,5996.7,6335.0,6697.5,6911.9,7151.7,7405.3,7624.0,7812.8,7885.0,7962.7,8061.5,8147.0,8228.6,8199.9,8126.2,8131.3,8128.7,8120.6,8085.6
Z9,6593.5,6393.3,6208.8,6126.8,6128.2,6261.9,6417.6,6665.7,6886.1,7139.6,7468.0,7811.9,8245.9,8710.8,8983.1,9318.2,9647.0,9929.5,10174.7,10268.0,10388.0,10517.4,10630.6,10739.0,10702.8,10607.699999999999,10616.4,10615.6,10607.8,10565.4
Z10,543.2,530.8,519.9,518.3,524.7,536.4,553.6,579.4,603.1,629.9000000000001,653.1,688.0,730.6999999999999,776.0,805.5,823.1,854.4,881.3,904.6,915.4000000000001,915.8,927.9,937.9,946.5999999999999,944.2,934.1,934.5,933.8,932.3,927.2
Z11,7060.9,6846.1,6670.5,6609.3,6642.7,6761.4,6953.1,7249.8,7517.2,7820.7,8099.7,8497.3,8990.1,9515.5,9838.9,10073.4,10437.8,10750.9,11022.2,11132.8,11154.0,11293.6,11412.9,11522.0,11482.4,11361.7,11365.2,11357.7,11341.8,11287.3
Z12,4546.9,4416.099999999999,4303.5,4261.0,4274.2,4323.0,4438.3,4619.0,4780.8,4966.4,5129.0,5371.9,5676.3,6001.0,6194.9,6319.6,6532.3,6715.2,6872.2,6936.8,6943.2,7021.6,7087.6,7145.8,7122.2,7053.3,7051.4,7042.9,7028.6,6991.9
Z13,4541.7,4409.4,4289.8,4240.1,4245.0,4314.1,4426.5,4602.5,4759.2,4938.5,5134.6,5373.7,5674.5,5996.099999999999,6182.7,6351.6,6567.8,6753.8,6913.799999999999,6974.7,7015.3,7096.6,7167.4,7233.1,7207.7,7133.5,7135.0,7130.1,7119.6,7087.7
Z14,8895.3,8668.3,8463.3,8392.2,8421.2,8537.0,8771.3,9133.4,9454.8,9819.7,10128.2,10580.9,11158.7,11784.8,12159.7,12445.7,12903.0,13299.2,13645.2,13781.1,13816.9,14006.2,14174.9,14346.9,14321.2,14198.4,14237.3,14264.2,14283.8,14254.0
Z15,1737.9,1686.8,1647.1,1636.6,1651.3,1686.8,1739.4,1819.6,1892.7,1975.5,2053.1,2162.5,2295.8,2437.2,2528.4,2592.9,2692.8,2778.8,2853.0,2885.5,2891.6,2930.1,2962.4,2990.9,2980.0,2945.5,2945.5,2942.3,2936.9,2920.4
Z16,3607.3,3504.9,3420.6,3394.4,3415.3,3476.3,3581.7000000000003,3740.9,3885.2,4047.1,4200.9,4414.7,4677.8,4957.3,5128.8,5258.0,5450.799999999999,5616.2,5759.3,5816.0,5831.7,5904.2,5966.299999999999,6022.8,6000.1,5933.5,5933.700000000001,5928.2,5917.8,5887.6
