,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Z3,510.84000000000003,498.18000000000006,487.36799999999994,485.06000000000006,489.06499999999994,503.692,520.9529999999999,546.663,570.8069999999999,598.4560000000001,638.6949999999999,677.728,724.3919999999998,773.3990000000001,806.3290000000001,848.928,887.951,921.5999999999999,951.0880000000001,965.281,998.0640000000002,1016.8050000000001,1032.748,1047.2389999999998,1045.736,1047.8770000000002,1050.637,1051.854,1052.67,1048.023
Z13,4769.1179999999995,4724.869,4605.459,4555.811,4990.835,5060.116999999998,5172.503,5348.7699999999995,5505.819999999999,5685.053999999999,5881.532000000002,6120.804999999999,6421.5380000000005,6743.294,6930.417,7099.067999999999,7315.5830000000005,7501.777999999999,7662.288,7723.147000000002,7764.125999999998,7845.584999999999,7916.415,7982.446,7957.366,7883.368000000001,7885.178,7880.5830000000005,7870.366999999999,7838.686999999999
Z17,2579.489,2502.52,2444.208,2431.2329999999997,2457.577,2507.2709999999997,2590.8219999999997,2712.8140000000003,2824.135,2946.921,3058.908,3220.655,3417.96,3626.751,3754.2729999999997,3842.1910000000003,3986.0730000000003,4109.149,4215.668,4255.206,4263.818,4316.7300000000005,4362.547,4404.617,4384.809000000001,4327.321,4326.099,4320.686,4311.608,4288.883
Z14,8960.261,8984.602,9130.848000000002,9089.237,9119.643000000002,9237.266000000001,9535.214000000002,9899.189000000002,10284.251999999997,10651.176999999996,10961.190999999999,11415.809999999998,11995.148000000003,12623.139,12999.657000000003,13287.645999999999,13746.766999999998,14145.143,14493.121000000005,14631.193999999998,14669.197000000002,14860.576999999996,15031.812999999998,15205.741999999995,15182.584000000004,15062.190999999999,15103.428000000002,15133.020999999997,15155.188,15128.220999999998
Z1_3,119.44899999999998,116.316,112.82700000000001,111.167,110.779,111.67699999999999,113.41799999999999,116.90100000000001,120.02400000000002,124.11599999999999,128.955,134.701,142.108,150.025,154.736,160.69099999999997,165.75399999999996,170.191,173.967,176.31900000000002,182.04699999999997,184.606,186.65099999999998,188.223,188.53100000000003,190.82399999999998,191.123,191.127,191.05400000000003,190.07499999999996
Z1_4,261.493,253.375,245.69600000000003,242.145,241.52800000000005,244.61700000000005,249.29200000000006,257.638,265.068,274.312,285.892,298.30300000000005,314.331,331.712,341.95199999999994,354.539,367.362,378.55,388.31600000000003,393.12300000000005,404.58299999999997,411.15099999999995,416.85799999999995,422.29900000000004,422.67199999999997,424.83599999999996,426.462,427.54900000000004,428.552,427.651
Z5,3019.161999999999,2943.232000000001,2883.5969999999998,2873.9030000000007,2902.4109999999987,3001.1550000000007,3108.869999999999,3263.490999999998,3407.819,3569.2079999999996,3810.6600000000003,4032.0919999999987,4297.077000000002,4577.974000000003,4767.037,5019.076000000002,5263.299,5473.793000000001,5660.652,5741.241000000003,5936.105000000003,6056.694000000003,6163.400000000002,6269.511,6260.269000000001,6258.568000000004,6286.856000000002,6307.162000000002,6326.334000000002,6313.255999999999
Z11,7101.049999999999,6979.295999999999,6804.81,6744.727,6823.95,6943.746,7136.720999999998,7559.561999999998,7828.082999999999,8132.989,8413.019999999999,8811.657,9305.929,9833.088,10157.711999999998,10393.320000000002,10759.164999999999,11074.124,11346.757999999998,11458.792,11481.871999999998,11623.162999999999,11744.174000000003,11854.731,11816.921,11697.926000000001,11703.234999999999,11697.695999999998,11683.893999999998,11631.243
Z6,282.80600000000004,276.03200000000004,269.545,267.88399999999996,269.83200000000005,278.4150000000001,287.22,300.47200000000004,312.77199999999993,326.961,347.276,366.92800000000005,390.852,416.1979999999999,432.48400000000004,452.52000000000004,472.29499999999996,489.37700000000007,504.363,511.15500000000003,525.565,534.957,543.1909999999999,551.066,550.458,550.107,551.831,552.822,553.5899999999999,551.879
Z10,557.1650000000001,544.8729999999999,533.925,532.328,538.677,550.437,567.552,593.46,617.112,643.9359999999999,667.113,702.0219999999999,744.755,790.029,819.439,837.096,868.3430000000001,895.349,918.6070000000001,929.357,929.749,941.856,951.9200000000001,960.612,958.162,948.1210000000001,948.417,947.684,946.245,941.225
Z9,6557.034,6365.65,6188.135,6111.306000000001,6115.2029999999995,6248.316999999999,6403.050999999999,6648.476,6866.366999999999,7116.481999999998,7439.604,7778.956,8205.833000000002,8663.457,8932.078999999998,9262.053000000002,9585.909999999998,9864.655999999999,10106.132000000001,10198.113999999998,10317.489999999998,10445.267000000002,10557.448,10664.980000000003,10630.323999999997,10537.961,10547.547999999997,10547.895999999995,10540.783000000003,10500.374
Z7,3174.7000000000003,3072.7900000000004,2976.1210000000005,2928.5019999999995,2920.394,2977.159000000001,3038.5210000000006,3142.5119999999997,3232.9520000000007,3339.6480000000006,3476.505,3621.0669999999996,3807.53,4009.01,4121.371999999999,4263.701999999999,4399.896,4517.416,4618.643,4657.215,4708.461000000001,4761.593999999999,4808.0560000000005,4852.251999999999,4838.305,4802.139999999999,4805.732,4805.314999999999,4801.511,4783.386999999999
Z2,517.515,505.3780000000001,493.68800000000016,490.434,493.2960000000001,506.70000000000005,521.4089999999999,544.128,565.0849999999999,589.823,624.397,657.748,698.897,742.775,771.3019999999999,811.512,847.4459999999999,878.6479999999998,906.127,919.5630000000001,954.0400000000001,972.562,988.601,1003.9479999999999,1004.4780000000001,1011.4410000000001,1016.1059999999999,1019.366,1022.461,1020.1689999999999
Z16,3607.3329999999996,3572.948,3488.6569999999997,3462.4199999999996,3483.3990000000003,3544.239,3649.692,3808.8779999999997,3953.1370000000006,4115.191000000001,4268.965999999999,4482.653,4745.793,5025.339,5196.86,5326.0199999999995,5518.766,5684.259,5827.273999999999,5884.001,5899.659000000001,5972.1630000000005,6034.326999999999,6090.8369999999995,6067.950000000001,6001.527,6001.661,5996.009,5985.645,5955.63
Z8,5067.881999999999,4920.079000000001,4784.059,4724.868000000001,4740.9839999999995,4833.679999999999,4949.988,5135.866000000001,5300.646,5490.429000000001,5722.212,5977.5329999999985,6299.799000000002,6645.648,6848.388000000001,7074.676,7316.009000000002,7523.779,7703.514999999999,7772.552000000001,7845.758999999999,7940.051999999998,8022.528999999998,8101.129000000001,8075.435999999999,8007.0729999999985,8013.396000000002,8012.759999999999,8006.488000000003,7975.233999999998
Z12,4234.207000000001,4114.229,4011.404,3974.4359999999997,4052.672,4102.837,4210.592,4379.077,4592.749,4765.553000000001,4915.226,5140.665,5422.593999999999,5723.527,5903.692999999999,6018.59,6216.5650000000005,6387.3229999999985,6534.228,6595.54,6602.451999999999,6676.937,6740.331999999999,6796.643,6777.205000000001,6715.853000000001,6716.86,6711.717000000001,6701.423,6670.607000000002
Z15,1773.8870000000002,1723.2640000000001,1684.147,1674.3559999999998,1689.6159999999998,1725.638,1778.962,1859.7489999999998,1933.5949999999998,2017.0489999999995,2095.452,2205.607,2339.6769999999997,2481.605,2573.8379999999997,2639.0899999999997,2739.837,2826.5979999999995,2901.805,2935.0510000000004,2942.0269999999996,2981.5879999999997,3014.8999999999996,3044.2440000000006,3034.4219999999996,3000.894,3001.9329999999995,2999.8630000000003,2995.6379999999995,2980.263
Z4,44.205,43.129999999999995,41.841,41.25,41.168,41.678,42.367999999999995,43.714999999999996,44.945,46.544,48.446,50.764,53.69799999999999,56.79600000000001,58.635,60.57600000000001,62.342,63.88499999999999,65.17,65.989,67.571,68.354,68.95599999999999,69.33,69.348,69.837,69.773,69.594,69.36500000000001,68.863
