# Renewables.ninja Weather (Point API) - 55.946, -3.192 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, temperature in ºC,,,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""55.945653594984776"""," ""lon"": ""-3.1923273848166294"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""var_t2m"": true"," ""var_prectotland"": false"," ""var_precsnoland"": false"," ""var_snomas"": false"," ""var_rhoa"": false"," ""var_swgdn"": false"," ""var_swtdn"": false"," ""var_cldtot"": false}}"
time,local_time,temperature,,,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,6.67,,,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,5.101,,,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,4.02,,,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,3.274,,,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,2.795,,,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,2.438,,,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,2.136,,,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,1.903,,,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,1.683,,,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,2.21,,,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,3.531,,,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,4.508,,,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,4.839,,,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,4.621,,,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,3.539,,,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,1.882,,,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,1.016,,,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,0.498,,,,,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 18:00,0,,,,,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 19:00,-0.438,,,,,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 20:00,-0.767,,,,,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 21:00,-1.06,,,,,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 22:00,-1.332,,,,,,,,,,,,,,,
01/01/2019 23:00,01/01/2019 23:00,-1.484,,,,,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 00:00,-1.575,,,,,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 01:00,-1.624,,,,,,,,,,,,,,,
02/01/2019 02:00,02/01/2019 02:00,-1.617,,,,,,,,,,,,,,,
02/01/2019 03:00,02/01/2019 03:00,-1.614,,,,,,,,,,,,,,,
02/01/2019 04:00,02/01/2019 04:00,-1.61,,,,,,,,,,,,,,,
02/01/2019 05:00,02/01/2019 05:00,-1.574,,,,,,,,,,,,,,,
02/01/2019 06:00,02/01/2019 06:00,-1.525,,,,,,,,,,,,,,,
02/01/2019 07:00,02/01/2019 07:00,-1.453,,,,,,,,,,,,,,,
02/01/2019 08:00,02/01/2019 08:00,-1.474,,,,,,,,,,,,,,,
02/01/2019 09:00,02/01/2019 09:00,-1.182,,,,,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 10:00,-0.253,,,,,,,,,,,,,,,
