,Values,Status,Year,Month
2018-11-01 00:30:00,0.0,C,2018,11
2018-11-01 01:00:00,0.0,C,2018,11
2018-11-01 01:30:00,0.0,C,2018,11
2018-11-01 02:00:00,0.0,C,2018,11
2018-11-01 02:30:00,0.0,C,2018,11
2018-11-01 03:00:00,0.0,C,2018,11
2018-11-01 03:30:00,0.0,C,2018,11
2018-11-01 04:00:00,0.0,C,2018,11
2018-11-01 04:30:00,0.0,C,2018,11
2018-11-01 05:00:00,0.0,C,2018,11
2018-11-01 05:30:00,0.0,C,2018,11
2018-11-01 06:00:00,0.0,C,2018,11
2018-11-01 06:30:00,0.0,C,2018,11
2018-11-01 07:00:00,0.0,C,2018,11
2018-11-01 07:30:00,111.0,C,2018,11
2018-11-01 08:00:00,310.0,C,2018,11
2018-11-01 08:30:00,610.0,C,2018,11
2018-11-01 09:00:00,616.0,C,2018,11
2018-11-01 09:30:00,722.0,C,2018,11
2018-11-01 10:00:00,718.0,C,2018,11
2018-11-01 10:30:00,720.0,C,2018,11
2018-11-01 11:00:00,722.0,C,2018,11
2018-11-01 11:30:00,721.0,C,2018,11
2018-11-01 12:00:00,729.0,C,2018,11
2018-11-01 12:30:00,725.0,C,2018,11
2018-11-01 13:00:00,738.0,C,2018,11
2018-11-01 13:30:00,567.0,C,2018,11
2018-11-01 14:00:00,0.0,C,2018,11
2018-11-01 14:30:00,292.0,C,2018,11
2018-11-01 15:00:00,639.0,C,2018,11
2018-11-01 15:30:00,722.0,C,2018,11
2018-11-01 16:00:00,46.0,C,2018,11
2018-11-01 16:30:00,116.0,C,2018,11
2018-11-01 17:00:00,453.0,C,2018,11
2018-11-01 17:30:00,0.0,C,2018,11
2018-11-01 18:00:00,40.0,C,2018,11
2018-11-01 18:30:00,555.0,C,2018,11
2018-11-01 19:00:00,726.0,C,2018,11
2018-11-01 19:30:00,123.0,C,2018,11
2018-11-01 20:00:00,0.0,C,2018,11
2018-11-01 20:30:00,0.0,C,2018,11
2018-11-01 21:00:00,0.0,C,2018,11
2018-11-01 21:30:00,0.0,C,2018,11
