Datetime,Agile price (p/kWh),Wholesale price (p/kWh) - Import,Agile export price (p/kWh),Wholesale price (p/kWh) - Export,Wholesale price (p/kWh)
19/02/2018 00:00,9.2715,4.415,,,4.415
19/02/2018 00:30,9.7755,4.655,,,4.655
19/02/2018 01:00,9.8805,4.705,,,4.705
19/02/2018 01:30,9.3975,4.475,,,4.475
19/02/2018 02:00,9.5445,4.545,,,4.545
19/02/2018 02:30,9.5445,4.545,,,4.545
19/02/2018 03:00,9.702,4.62,,,4.62
19/02/2018 03:30,9.4815,4.515,,,4.515
19/02/2018 04:00,9.387,4.47,,,4.47
19/02/2018 04:30,9.261,4.41,,,4.41
19/02/2018 05:00,9.3135,4.435,,,4.435
19/02/2018 05:30,9.261,4.41,,,4.41
19/02/2018 06:00,9.9225,4.725,,,4.725
19/02/2018 06:30,9.9225,4.725,,,4.725
19/02/2018 07:00,10.4055,4.955,,,4.955
19/02/2018 07:30,11.907,5.67,,,5.67
19/02/2018 08:00,10.08,4.8,,,4.8
19/02/2018 08:30,11.256,5.36,,,5.36
19/02/2018 09:00,11.151,5.31,,,5.31
19/02/2018 09:30,11.508,5.48,,,5.48
19/02/2018 10:00,11.025,5.25,,,5.25
19/02/2018 10:30,11.0565,5.265,,,5.265
19/02/2018 11:00,10.3635,4.935,,,4.935
19/02/2018 11:30,10.416,4.96,,,4.96
19/02/2018 12:00,10.3635,4.935,,,4.935
19/02/2018 12:30,10.3215,4.915,,,4.915
19/02/2018 13:00,10.584,5.04,,,5.04
19/02/2018 13:30,10.2585,4.885,,,4.885
19/02/2018 14:00,9.9435,4.735,,,4.735
19/02/2018 14:30,9.9225,4.725,,,4.725
19/02/2018 15:00,9.807,4.67,,,4.67
19/02/2018 15:30,10.2375,4.875,,,4.875
19/02/2018 16:00,23.5725,5.03452381,,,5.03452381
19/02/2018 16:30,26.124,6.24952381,,,6.24952381
19/02/2018 17:00,26.796,6.56952381,,,6.56952381
19/02/2018 17:30,29.442,7.82952381,,,7.82952381
19/02/2018 18:00,34.0305,10.01452381,,,10.01452381
19/02/2018 18:30,31.185,8.65952381,,,8.65952381
19/02/2018 19:00,14.553,0.73952381,,,0.73952381
19/02/2018 19:30,11.9805,5.705,,,5.705
19/02/2018 20:00,10.017,4.77,,,4.77
19/02/2018 20:30,9.6915,4.615,,,4.615
19/02/2018 21:00,10.3005,4.905,,,4.905
19/02/2018 21:30,10.3215,4.915,,,4.915
19/02/2018 22:00,9.387,4.47,,,4.47
19/02/2018 22:30,9.0405,4.305,,,4.305
19/02/2018 23:00,9.702,4.62,,,4.62
19/02/2018 23:30,10.101,4.81,,,4.81
20/02/2018 00:00,9.492,4.52,,,4.52
20/02/2018 00:30,10.227,4.87,,,4.87
20/02/2018 01:00,10.1115,4.815,,,4.815
20/02/2018 01:30,9.261,4.41,,,4.41
20/02/2018 02:00,9.4815,4.515,,,4.515
20/02/2018 02:30,9.261,4.41,,,4.41
20/02/2018 03:00,9.1035,4.335,,,4.335
20/02/2018 03:30,9.072,4.32,,,4.32
20/02/2018 04:00,9.072,4.32,,,4.32
20/02/2018 04:30,9.072,4.32,,,4.32
20/02/2018 05:00,9.1665,4.365,,,4.365
20/02/2018 05:30,9.4815,4.515,,,4.515
20/02/2018 06:00,11.6235,5.535,,,5.535
20/02/2018 06:30,10.3635,4.935,,,4.935
20/02/2018 07:00,10.6785,5.085,,,5.085
20/02/2018 07:30,13.0095,6.195,,,6.195
20/02/2018 08:00,12.369,5.89,,,5.89
20/02/2018 08:30,13.251,6.31,,,6.31
20/02/2018 09:00,11.907,5.67,,,5.67
20/02/2018 09:30,11.5605,5.505,,,5.505
20/02/2018 10:00,11.1195,5.295,,,5.295
20/02/2018 10:30,10.8045,5.145,,,5.145
20/02/2018 11:00,10.6785,5.085,,,5.085
20/02/2018 11:30,10.584,5.04,,,5.04
20/02/2018 12:00,10.332,4.92,,,4.92
20/02/2018 12:30,10.269,4.89,,,4.89
20/02/2018 13:00,10.017,4.77,,,4.77
20/02/2018 13:30,9.9225,4.725,,,4.725
20/02/2018 14:00,9.702,4.62,,,4.62
20/02/2018 14:30,9.702,4.62,,,4.62
20/02/2018 15:00,9.261,4.41,,,4.41
20/02/2018 15:30,9.3555,4.455,,,4.455
20/02/2018 16:00,23.1315,4.82452381,,,4.82452381
20/02/2018 16:30,25.7775,6.08452381,,,6.08452381
20/02/2018 17:00,25.7775,6.08452381,,,6.08452381
20/02/2018 17:30,28.392,7.32952381,,,7.32952381
20/02/2018 18:00,34.062,10.02952381,,,10.02952381
20/02/2018 18:30,31.29,8.70952381,,,8.70952381
20/02/2018 19:00,16.317,1.57952381,,,1.57952381
20/02/2018 19:30,14.5635,6.935,,,6.935
20/02/2018 20:00,13.23,6.3,,,6.3
20/02/2018 20:30,11.781,5.61,,,5.61
20/02/2018 21:00,12.1275,5.775,,,5.775
20/02/2018 21:30,10.92,5.2,,,5.2
20/02/2018 22:00,9.87,4.7,,,4.7
20/02/2018 22:30,9.3555,4.455,,,4.455
20/02/2018 23:00,10.3635,4.935,,,4.935
20/02/2018 23:30,9.9225,4.725,,,4.725
21/02/2018 00:00,10.3425,4.925,,,4.925
21/02/2018 00:30,10.5735,5.035,,,5.035
21/02/2018 01:00,10.668,5.08,,,5.08
21/02/2018 01:30,10.185,4.85,,,4.85
21/02/2018 02:00,10.143,4.83,,,4.83
21/02/2018 02:30,10.1955,4.855,,,4.855
21/02/2018 03:00,10.668,5.08,,,5.08
21/02/2018 03:30,10.0065,4.765,,,4.765
21/02/2018 04:00,9.9225,4.725,,,4.725
21/02/2018 04:30,9.9225,4.725,,,4.725
21/02/2018 05:00,9.9225,4.725,,,4.725
21/02/2018 05:30,10.143,4.83,,,4.83
21/02/2018 06:00,11.823,5.63,,,5.63
21/02/2018 06:30,11.6865,5.565,,,5.565
21/02/2018 07:00,11.0565,5.265,,,5.265
21/02/2018 07:30,12.285,5.85,,,5.85
21/02/2018 08:00,12.348,5.88,,,5.88
21/02/2018 08:30,13.3245,6.345,,,6.345
21/02/2018 09:00,14.1645,6.745,,,6.745
21/02/2018 09:30,13.734,6.54,,,6.54
21/02/2018 10:00,12.1275,5.775,,,5.775
21/02/2018 10:30,11.025,5.25,,,5.25
21/02/2018 11:00,10.584,5.04,,,5.04
21/02/2018 11:30,10.584,5.04,,,5.04
21/02/2018 12:00,10.8255,5.155,,,5.155
21/02/2018 12:30,10.8045,5.145,,,5.145
21/02/2018 13:00,10.584,5.04,,,5.04
21/02/2018 13:30,10.584,5.04,,,5.04
21/02/2018 14:00,10.584,5.04,,,5.04
21/02/2018 14:30,10.143,4.83,,,4.83
21/02/2018 15:00,9.9225,4.725,,,4.725
21/02/2018 15:30,9.975,4.75,,,4.75
21/02/2018 16:00,23.793,5.13952381,,,5.13952381
21/02/2018 16:30,25.7775,6.08452381,,,6.08452381
21/02/2018 17:00,27.531,6.91952381,,,6.91952381
21/02/2018 17:30,30.618,8.38952381,,,8.38952381
21/02/2018 18:00,33.2745,9.65452381,,,9.65452381
21/02/2018 18:30,32.2665,9.17452381,,,9.17452381
21/02/2018 19:00,15.876,1.36952381,,,1.36952381
21/02/2018 19:30,14.0175,6.675,,,6.675
21/02/2018 20:00,12.348,5.88,,,5.88
21/02/2018 20:30,10.8465,5.165,,,5.165
21/02/2018 21:00,11.2455,5.355,,,5.355
21/02/2018 21:30,10.584,5.04,,,5.04
21/02/2018 22:00,9.975,4.75,,,4.75
21/02/2018 22:30,9.744,4.64,,,4.64
21/02/2018 23:00,10.3635,4.935,,,4.935
21/02/2018 23:30,10.3635,4.935,,,4.935
22/02/2018 00:00,10.731,5.11,,,5.11
22/02/2018 00:30,10.731,5.11,,,5.11
22/02/2018 01:00,10.731,5.11,,,5.11
22/02/2018 01:30,10.5105,5.005,,,5.005
22/02/2018 02:00,10.0485,4.785,,,4.785
22/02/2018 02:30,10.731,5.11,,,5.11
22/02/2018 03:00,10.3845,4.945,,,4.945
22/02/2018 03:30,9.9225,4.725,,,4.725
