timestamp,gas_price_gbp_per_mwh_thermal,coal_price_gbp_per_mwh_thermal,oil_price_gbp_per_mwh_thermal
2026-01-01 00:00,38.0,14.0,52.0
2026-01-01 01:00,37.8,14.0,52.0
2026-01-01 02:00,37.5,14.0,51.8
2026-01-01 03:00,37.2,13.9,51.8
2026-01-01 04:00,37.0,13.9,51.6
2026-01-01 05:00,37.1,13.9,51.6
2026-01-01 06:00,37.8,14.0,51.9
2026-01-01 07:00,38.6,14.2,52.2
2026-01-01 08:00,39.4,14.3,52.5
2026-01-01 09:00,40.0,14.4,52.8
2026-01-01 10:00,40.4,14.4,53.0
2026-01-01 11:00,40.8,14.5,53.1
2026-01-01 12:00,41.0,14.5,53.2
2026-01-01 13:00,41.1,14.6,53.2
2026-01-01 14:00,41.0,14.6,53.1
2026-01-01 15:00,40.8,14.5,53.0
2026-01-01 16:00,40.5,14.5,52.9
2026-01-01 17:00,40.8,14.6,53.0
2026-01-01 18:00,41.6,14.8,53.3
2026-01-01 19:00,42.2,14.9,53.5
2026-01-01 20:00,42.0,14.8,53.4
2026-01-01 21:00,41.5,14.7,53.2
2026-01-01 22:00,40.6,14.5,52.9
2026-01-01 23:00,39.2,14.2,52.5
