fuel,marginal_costs,min_up_time,min_down_time,ramp_limit_up,ramp_limit_down,p_min_pu,up_time_before,start_up_cost,committable
Coal,,394,276,3.965,3.965,35.7,0,38,TRUE
Oil,,225,195,10.2,10.6,33.3,0,16,TRUE
CCGT,,247.5,150,5.78,5.78,40,0,64,TRUE
OCGT,,106.9,63,14.37,14.37,28.9,0,20,TRUE
Sour gas,0,106.9,63,14.37,14.37,28.9,0,20,TRUE
Nuclear,5,600,600,0.05,0.05,45,0,30,TRUE
Biomass (dedicated),44,394,276,3.965,3.965,35.7,0,38,TRUE
Biomass (co-firing),44,394,276,3.965,3.965,35.7,0,38,TRUE
Large Hydro,0,0,0,999,999,0,0,0,FALSE
Small Hydro,0,0,0,999,999,0,0,0,FALSE
Wind Offshore,0,0,0,999,999,0,0,0,FALSE
Wind Onshore,0,0,0,999,999,0,0,0,FALSE
Solar Photovoltaics,0,0,0,999,999,0,0,0,FALSE
Waste (anaerobic digestion),0,0,0,999,999,0,0,0,FALSE
Anaerobic Digestion,0,0,0,999,999,0,0,0,FALSE
EfW Incineration,0,0,0,999,999,0,0,0,FALSE
Landfill Gas,0,0,0,999,999,0,0,0,FALSE
Sewage Sludge Digestion,0,0,0,999,999,0,0,0,FALSE
Shoreline Wave,0,0,0,999,999,0,0,0,FALSE
Tidal Barrage and Tidal Stream,0,0,0,999,999,0,0,0,FALSE
CCS Gas,100,394,276,3.965,3.965,35.7,0,38,TRUE
CCS Biomass,120,394,276,3.965,3.965,35.7,0,38,TRUE
Hydrogen,80,394,276,3.965,3.965,35.7,0,38,TRUE
