station_name,x_coordinate,y_coordinate,technology,capacity_mw,company_name,country,region,source,scraped_date
Puriton,332462.0,142273.0,Solar,4.56768,Anesco,England,South West,dukes_5.11,2025-12-18
Bourne Park,372107.0,97577.0,Solar,0.2484,Anesco,England,South West,dukes_5.11,2025-12-18
Owls Lodge,443869.0,142971.0,Solar,10.00465,Anesco,England,South East,dukes_5.11,2025-12-18
Shelswell,460822.0,230982.0,Solar,5.06331,Anesco,England,South East,dukes_5.11,2025-12-18
Skylark,531754.0,257635.0,Solar,4.93885,Anesco,England,East of England,dukes_5.11,2025-12-18
Halse Solar Farm,315101.0,128738.0,Solar,8.34048,Anesco,England,South West,dukes_5.11,2025-12-18
Jordanston Solar Farm,206785.0,201103.0,Solar,4.631,Anesco,Wales,Wales,dukes_5.11,2025-12-18
Horsacott Solar Farm,252330.0,131541.0,Solar,6.54,Anesco,England,South West,dukes_5.11,2025-12-18
Sandys Moor,308509.0,127381.0,Solar,2.9,Anesco,England,South West,dukes_5.11,2025-12-18
East Farm,398727.0,142115.0,Solar,6.843,Anesco,England,South West,dukes_5.11,2025-12-18
Huntingdon,520021.0,281612.0,Solar,10.204,Anesco,England,East of England,dukes_5.11,2025-12-18
Blackdown,320819.0,114679.0,Solar,7.454,Anesco,England,South West,dukes_5.11,2025-12-18
Mendip,359176.0,151234.0,Solar,7.175,Anesco,England,South West,dukes_5.11,2025-12-18
Newnton Dairy,392277.0,191968.0,Solar,7.176,Anesco,England,South West,dukes_5.11,2025-12-18
Whitchurch,363439.0,153553.0,Solar,6.52,Anesco,England,South West,dukes_5.11,2025-12-18
Watchfield Solar Farm,334135.0,147772.0,Solar,10.6998,Anesco,England,South West,dukes_5.11,2025-12-18
Eynsham Solar Farm,439658.0,210754.0,Solar,13.452,Anesco,England,South East,dukes_5.11,2025-12-18
Steventon,444299.0,192928.0,Solar,10.03917,Anesco,England,South East,dukes_5.11,2025-12-18
Anglesey,238717.0,367342.0,Solar,14.92608,Anesco,Wales,Wales,dukes_5.11,2025-12-18
Welbeck,457669.0,369999.0,Solar,11.2608,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Salcey Farm,485184.0,250544.0,Solar,5.46156,Anesco,England,South East,dukes_5.11,2025-12-18
Bulls Head North,481460.0,251327.0,Solar,5.51304,Anesco,England,South East,dukes_5.11,2025-12-18
Bilsthorpe,465147.0,361625.0,Solar,5.7408,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Tope Farm,283048.0,52733.0,Solar,3.31197,Anesco,England,South West,dukes_5.11,2025-12-18
Horam Solar Park,556616.0,115760.0,Solar,2.571,Anesco,England,South East,dukes_5.11,2025-12-18
Pierces Farm,468119.0,167296.0,Solar,1.74312,Anesco,England,South East,dukes_5.11,2025-12-18
Culworth,454564.0,245985.0,Solar,3.63639,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Abergelli,265507.0,202009.0,Solar,7.68222,Anesco,Wales,Wales,dukes_5.11,2025-12-18
Gedling,461655.0,344045.0,Solar,5.7408,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Higher Bye,305042.0,142360.0,Solar,6.79059,Anesco,England,South West,dukes_5.11,2025-12-18
Trickey Warren,320109.0,114779.0,Solar,4.63197,Anesco,England,South West,dukes_5.11,2025-12-18
Cotgrave,463974.0,336042.0,Solar,4.9833,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Pen-Y-Cae,260143.0,211806.0,Solar,6.76227,Anesco,Wales,Wales,dukes_5.11,2025-12-18
Radcliffe,463038.0,338202.0,Solar,4.15745,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Askern,455441.0,413876.0,Solar,4.97372,Anesco,England,Yorkshire and the Humber,dukes_5.11,2025-12-18
Lodge Farm ,441566.0,370954.0,Solar,4.87968,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Oak Cottage,202839.0,217801.0,Solar,4.8672,Anesco,Wales,Wales,dukes_5.11,2025-12-18
Playters,644257.0,287733.0,Solar,8.6295,Anesco,England,East of England,dukes_5.11,2025-12-18
Yarburgh,534300.0,391971.0,Solar,8.08606,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Brookbarn,500000.0,102000.0,Solar,3.63,Anesco,England,South East,dukes_5.11,2025-12-18
Portworthy,256878.0,60850.0,Solar,4.0239,Anesco,England,South West,dukes_5.11,2025-12-18
Shalfleet ,440587.0,88605.0,Solar,4.99602,Anesco,England,South East,dukes_5.11,2025-12-18
Homestead,439433.0,88404.0,Solar,3.95355,Anesco,England,South East,dukes_5.11,2025-12-18
Rainbow,331238.0,141809.0,Solar,4.79074,Anesco,England,South West,dukes_5.11,2025-12-18
Hale,409997.0,97268.0,Solar,3.599,Anesco,England,South West,dukes_5.11,2025-12-18
Woodtown,409156.0,97807.0,Solar,2.71936,Anesco,England,South West,dukes_5.11,2025-12-18
Salford Lodge Solar Farm,404789.0,250939.0,Solar,4.9962,Anesco,England,West Midlands,dukes_5.11,2025-12-18
Bourne Park 2,372234.0,97408.0,Solar,2.39974,Anesco,England,South West,dukes_5.11,2025-12-18
Radford,435175.0,261988.0,Solar,4.97352,Anesco,England,West Midlands,dukes_5.11,2025-12-18
Eaton Hill ,350554.0,259596.0,Solar,0.4743,Anesco,England,West Midlands,dukes_5.11,2025-12-18
Coleford Pingry Solar Farm,357121.0,209434.0,Solar,3.40272,Anesco,England,South West,dukes_5.11,2025-12-18
Milkwall Solar Farm,357646.0,209411.0,Solar,3.50064,Anesco,England,South West,dukes_5.11,2025-12-18
Sheepbridge,472076.0,165355.0,Solar,5.0,Anesco,England,South East,dukes_5.11,2025-12-18
Lindridge,446680.0,305219.0,Solar,4.92408,Anesco,England,East Midlands,dukes_5.11,2025-12-18
Lee Moor,256033.0,60850.0,Solar,4.98732,Anesco,England,South West,dukes_5.11,2025-12-18
Oakham,359684.0,183393.0,Solar,4.63962,Anesco,England,South West,dukes_5.11,2025-12-18
The Beeches,414445.0,254098.0,Solar,4.9998,Anesco,England,West Midlands,dukes_5.11,2025-12-18
East Appleton,423660.0,495768.0,Solar,4.97952,Anesco,England,Yorkshire and the Humber,dukes_5.11,2025-12-18
Fell View,358322.0,433776.0,Solar,4.2588,Anesco,England,North West,dukes_5.11,2025-12-18
Grimsargh,358322.0,433776.0,Solar,2.91564,Anesco,England,North West,dukes_5.11,2025-12-18
