station_name,latitude,longitude,easting,northing
Sutton Bridge,52.7570845,0.1920097,548022.7731129486,319972.0277666306
Baglan Bay,51.6157106,-3.8346091,273075.38678401575,192359.62271724013
Severn Power,52.3381977,-2.2758921,381299.3495642495,271159.8741949681
Peterborough,52.5765623,-0.2030495,521865.9658448456,299154.6404344273
Glanford Brigg,53.5417226,-0.5036123,499258.7713984567,406049.9864151017
Blackburn,53.7178929,-2.537438,364630.0648399445,424743.1663489876
Damhead Creek,51.4256676,0.6017834,580978.6759370912,172839.92719204497
Rye House,51.7630752,0.0092212,538755.3124349394,209064.22209680337
Cruachan,56.3937909,-5.11364,207917.82176722088,726743.1668657969
Steven's Croft*,55.1527765,-3.3805594,312121.9764788843,585141.3444384346
Thornhill,53.677092,-1.6547978,422900.7476501771,420124.77212687104
West Burton,53.3604299,-0.807124,479484.1766982496,385502.1895555624
Dungeness B,50.9134375,0.9597885,608156.961245411,116835.7525486151
Hartlepool,54.6406282,-1.192085,452240.91444834217,527578.6632767824
Heysham 2,54.0306908,-2.9113714,340400.6392492496,459795.777363449
Hinkley Point B,51.2092028,-3.1274652,321337.81373048085,146159.43144452354
Hunterston B,55.7219187,-4.8894535,218620.35840708605,651394.3474117896
Torness,55.9683397,-2.4088311,374579.0437945216,675112.7930380331
Sizewell B,52.2145138,1.6188783,647312.0242957937,263539.2398140722
Thetford,52.4479652,0.7241397,585225.8007038151,286823.3715519481
Glanford,53.5417226,-0.5036123,499258.7713984567,406049.9864151017
Lynemouth,55.2057119,-1.5237415,430408.4164431396,590265.3903807228
Kilroot,54.7268406,-5.7641151,157730.85792423537,543376.9184340469
Ballylumford C,54.842809,-5.7847719,157098.42997075597,556343.85655905
South Humber Bank,53.6011689,-0.1449459,522852.06593625416,413221.819271137
Langage,50.3884086,-4.0116136,257095.8269984329,56214.97284289685
Coolkeeragh,55.0430756,-7.2479481,64905.62032099569,584660.2627709297
Corby,52.5108995,-0.6816086,489571.9594658744,291150.8660605505
Carrington,53.4374684,-2.4095733,372888.692719434,393488.276106522
Dinorwig,53.117105,-4.1036458,259307.77287355205,359837.7750947987
Rocksavage,53.3151668,-2.7231708,351918.1905568902,380047.7631823669
Coryton,51.5124945,0.5071753,574071.5916472685,182265.0504985105
Spalding,52.8064976,-0.1331073,525942.1858431691,324849.23358926777
Marchwood,50.8978914,-1.4372308,439673.31409662345,111085.47953515634
Riverside,52.3379249,-2.2828797,380823.1390752396,271131.3695808816
Cowes,50.7470311,-1.2861923,450457.0078099671,94401.31820755731
