postcode_clean,easting,northing,latitude,longitude
AB42 3BZ,412792,843118,57.478123,-1.788344
AB42 3BZ,412792,843118,57.478123,-1.788344
BB2 5HX,364582,424763,53.718084,-2.538166
BB2 5HX,364582,424763,53.718084,-2.538166
BN41 1WF,526067,104636,50.827538,-0.211358
BN41 1WF,526067,104636,50.827538,-0.211358
BS10 7SP,354771,181326,51.52902,-2.65339
BT40 3RS,342395,401971,54.845244,-5.78404
BT40 3RS,342395,401971,54.845244,-5.78404
BT47 6UL,248474,421571,55.039172,-7.242557
BT47 6UL,248474,421571,55.039172,-7.242557
CB6 2QE,545375,279789,52.396834,0.135214
CF3 2EE,324032,179003,51.504834,-3.095938
CH5 4BP,327955,371079,53.231856,-3.080764
CH5 4BP,327955,371079,53.231856,-3.080764
CV9 3LZ,433479,299516,52.592435,-1.507214
CV9 3LZ,433479,299516,52.592435,-1.507214
DA17 6JY,549776,180403,51.502722,0.156575
DG11 2SQ,311968,585562,55.156532,-3.383103
DG11 2SQ,311968,585562,55.156532,-3.383103
DN17 3EF,483509,411687,53.595135,-0.739713
DN17 3EF,483509,411687,53.595135,-0.739713
DN22 0TF,481013,379698,53.308059,-0.78564
DN22 0TF,481013,379698,53.308059,-0.78564
DN22 9BL,478659,386036,53.365371,-0.819389
DN22 9BL,478659,386036,53.365371,-0.819389
DN40 3LU,515404,418914,53.654021,-0.255339
DN40 3LU,515404,418914,53.654021,-0.255339
DT4 9XH,365683,80345,50.621782,-2.48647
DT4 9XH,365683,80345,50.621782,-2.48647
EH42 1QS,375016,674350,55.961505,-2.401768
EH42 1QS,375016,674350,55.961505,-2.401768
EN11 0RF,538715,209019,51.762684,0.008646
EN11 0RF,538715,209019,51.762684,0.008646
EN3 7PL,536811,197698,51.661421,-0.023366
EN3 7PL,536811,197698,51.661421,-0.023366
EX2 8QN,292383,90811,50.706933,-3.525459
HS1 2RT,143148,932157,58.2031,-6.373614
HS1 2RT,143148,932157,58.2031,-6.373614
HS1 2XX,142151,932743,58.207766,-6.391175
HS1 2XX,142151,932743,58.207766,-6.391175
HS8 5NY,83258,842165,57.359379,-7.269484
HS8 5NY,83258,842165,57.359379,-7.269484
HS9 5YA,71065,803408,57.004168,-7.420097
HS9 5YA,71065,803408,57.004168,-7.420097
HU12 8GA,516205,428202,53.737285,-0.239748
IP16 4UR,647377,263588,52.214944,1.619894
IP16 4UR,647377,263588,52.214944,1.619894
IP24 1LX,584744,287282,52.452265,0.717337
IP24 1LX,584744,287282,52.452265,0.717337
KW15 1AN,344676,1010847,58.981167,-2.964163
KW15 1AN,344676,1010847,58.981167,-2.964163
KY5 0HJ,319449,698889,56.175803,-3.299034
KY5 0HJ,319449,698889,56.175803,-3.299034
KY7 6GU,328148,701627,56.20179,-3.159696
KY7 6GU,328148,701627,56.20179,-3.159696
L40 7TB,343699,410840,53.591116,-2.85205
L40 7TB,343699,410840,53.591116,-2.85205
LA3 2XH,340006,459751,54.030255,-2.917383
LA3 2XH,340006,459751,54.030255,-2.917383
M31 4AY,372927,392863,53.431866,-2.408941
ME3 0AG,587037,174623,51.43972,0.689794
ME3 0AG,587037,174623,51.43972,0.689794
ME3 0AR,588726,175609,51.448016,0.714592
ME3 9TX,580960,172790,51.425226,0.601518
ME3 9TX,580960,172790,51.425226,0.601518
NE63 9AT,428478,589305,55.197202,-1.554184
NE63 9AT,428478,589305,55.197202,-1.554184
NG23 5RQ,476550,353488,53.07317,-0.858871
NG23 5RQ,476550,353488,53.07317,-0.858871
NP19 4RE,332952,185347,51.562999,-2.968649
NP19 4RE,332952,185347,51.562999,-2.968649
NR30 3PY,652998,305002,52.583929,1.733251
NR30 3PY,652998,305002,52.583929,1.733251
OX11 7YU,450666,192045,51.624953,-1.269469
OX11 7YU,450666,192045,51.624953,-1.269469
PA33 1AN,207896,726762,56.393938,-5.113986
PA33 1AN,207896,726762,56.393938,-5.113986
PA43 7LL,132022,660211,55.760798,-6.273247
PA43 7LL,132022,660211,55.760798,-6.273247
PA77 6UP,99489,744150,56.493156,-6.884434
PA77 6UP,99489,744150,56.493156,-6.884434
PE1 5NT,521806,299192,52.57693,-0.203905
PE12 9TF,548096,319978,52.757138,0.193111
PE12 9TF,548096,319978,52.757138,0.193111
PE19 6YT,518434,257578,52.203727,-0.268332
PE19 6YT,518434,257578,52.203727,-0.268332
PE34 3RD,561169,317119,52.727723,0.385254
