bmu_id,station_name,fuel,plant_type,installed_capacity_mw,node_id,dictionary_id,national_grid_bmu_id,gppd_id,old_repd_id,new_repd_id,latitude,longitude,source
T_ACHRW-1,AChruach Wind Farm,WIND,onshore,42.6,,10147,ACHRW-1,GBR0004331,,,56.34286,-5.393722,OSUKED Power Station Dictionary
E_ABERDARE,Aberdare District Energy,RECIPROCATING,,,,10078,ABERU-1,,,,51.711177,-3.44926,OSUKED Power Station Dictionary
T_ABRBO-1,Aberdeen Bay,WIND,offshore,93.2,,10294,ABRBO-1,,A0440,2505,57.2226,-1.9728,OSUKED Power Station Dictionary
T_ABTH7,Aberthaw B,COAL,,1586.0,,10002,ABTH7,"GBR1000374, GBR1000375",,,51.387312,-3.404866,OSUKED Power Station Dictionary
T_ABTH7G,Aberthaw B,OCGT,,1586.0,,10002,ABTH7G,"GBR1000374, GBR1000375",,,51.387312,-3.404866,OSUKED Power Station Dictionary
T_ABTH8,Aberthaw B,COAL,,1586.0,,10002,ABTH8,"GBR1000374, GBR1000375",,,51.387312,-3.404866,OSUKED Power Station Dictionary
T_ABTH8G,Aberthaw B,OCGT,,1586.0,,10002,ABTH8G,"GBR1000374, GBR1000375",,,51.387312,-3.404866,OSUKED Power Station Dictionary
T_ABTH9,Aberthaw B,COAL,,1586.0,,10002,ABTH9,"GBR1000374, GBR1000375",,,51.387312,-3.404866,OSUKED Power Station Dictionary
T_ABTH9G,Aberthaw B,OCGT,,1586.0,,10002,ABTH9G,"GBR1000374, GBR1000375",,,51.387312,-3.404866,OSUKED Power Station Dictionary
C__PSMAR001,Achlachan,WIND,onshore,10.0,,10288,ACHLW-1,,C1202,4330,58.4479,-3.4565,OSUKED Power Station Dictionary
T_AFTOW-1,Afton,WIND,onshore,50.0,,10295,AFTOW-1,,N00302W,4262,55.3128,-4.1691,OSUKED Power Station Dictionary
T_AKGLW-2,Aikengall 2 Wind Farm Generation,WIND,onshore,60.8,,10148,AKGLW-2,GBR0004332,,7015,55.923317,-2.492993,OSUKED Power Station Dictionary
T_AKGLW-3,Aikengall 2 Wind Farm Generation,WIND,onshore,60.8,,10148,AKGLW-3,GBR0004332,,7015,55.923317,-2.492993,OSUKED Power Station Dictionary
E_AIRSW-1,Airies Windfarm,WIND,onshore,35.0,,10149,AIRSW-1,,B0333,4462,54.970896,-4.713441,OSUKED Power Station Dictionary
E_ALDMG-1,Aldershot Military Generator,,,,,10077,,,,,51.2599,0.7598,OSUKED Power Station Dictionary
T_ANSUW-1,An Suidhe Windfarm,WIND,onshore,19.3,,10151,ANSUW-1,,S0005W2,3298,56.065903,-5.449219,OSUKED Power Station Dictionary
E_ASHWW-1,Andershaw Wind Farm,WIND,onshore,36.0,,10150,ASHWW-1,,EN00273,4110,55.51487,-3.814161,OSUKED Power Station Dictionary
T_ARCHW-1,Arecleoch Windfarm,WIND,onshore,120.0,,10152,ARCHW-1,GBR0003258,N00366W,3258,55.14121,-4.63623,OSUKED Power Station Dictionary
E_ASLVW-1,Assel Valley Wind Farm,WIND,onshore,,,10153,ASLVW-1,,,,55.222814,-4.825652,OSUKED Power Station Dictionary
E_ABRTW-1,Auchrobert Wind Farm,WIND,onshore,,,10154,ABRTW-1,,,,55.621764,-3.988675,OSUKED Power Station Dictionary
T_BDCHW-1,Bad a Cheo,WIND,onshore,,,10296,BDCHW-1,,,,58.4194,-3.4209,OSUKED Power Station Dictionary
T_BAGE-1,Baglan Bay,CCGT,,520.0,,10021,BAGE-1,GBR1000312,,,51.720223,-5.031738,OSUKED Power Station Dictionary
T_BAGE-2,Baglan Bay,CCGT,,520.0,,10021,BAGE-2,GBR1000312,,,51.720223,-5.031738,OSUKED Power Station Dictionary
E_BABAW-1,Baillie Wind Farm,WIND,onshore,52.5,,10155,BABAW-1,GBR0004021,N00225W,4021,58.430482,-4.372559,OSUKED Power Station Dictionary
T_BARK-1,Barking 2 MGT,CCGT,,,,10022,BARK-1,,,,51.556582,0.153809,OSUKED Power Station Dictionary
T_BARKB2,Barking 2 MGT,CCGT,,,,10022,BARKB2,,,,51.556582,0.153809,OSUKED Power Station Dictionary
T_BOWLW-1,Barrow Offshore Windfarm,WIND,offshore,90.0,,10156,BOWLW-1,GBR0002546,,,53.983333,-3.283333,OSUKED Power Station Dictionary
E_AESB-1,Barry,OCGT,,235.0,,10024,,GBR2000125,,,51.37178,-3.339844,OSUKED Power Station Dictionary
E_BRYP-1,Barry,OCGT,,235.0,,10024,BRYP-1,GBR2000125,,,51.37178,-3.339844,OSUKED Power Station Dictionary
