Company Name,Station Name,Fuel,Type,Installed Capacity (MW),Year of commission or year generation began,"Location:
Scotland, Wales, Northern Ireland or English region",Geolocation
,Barry (9),Natural Gas,CCGT,235,1998,Wales,"51.408056, -3.228611"
,Glanford Brigg (9),Natural Gas,CCGT,150,1993,Yorkshire and the Humber,"53.540564, -0.503636"
,Langage,Natural Gas,CCGT,905,2010,South West,"50.3884, -4.011611"
,Peterborough (9),Natural Gas,CCGT,240,1993,East,"52.576975, -0.203917"
,South Humber Bank,Natural Gas,CCGT,1310,1996,Yorkshire and the Humber,"53.601392, -0.146419"
,Corby,Natural Gas,CCGT,401,1993,East Midlands,"52.503642, -0.704175"
,Castleford,Natural Gas,CCGT,56,2002,Yorkshire and the Humber,"53.7320, -1.3428"
,Connahs Quay,Natural Gas,CCGT,1380,1996,Wales,"53.232222, -3.081389"
,Cottam Development Centre,Natural Gas,CCGT,395,1999,East Midlands,"53.303906, -0.781406"
,Enfield,Natural Gas,CCGT,408,1999,London,"51.662831, -0.022797"
,Grain CHP *,Natural Gas,CCGT,1365,2010,South East,"51.442405752317136, 0.7082995994539573"
,Killingholme,Natural Gas,CCGT,900,1993,Yorkshire and the Humber,"53.65952, -0.25511"
,Sandbach,Natural Gas,CCGT,56,1999,North West,"53.1654, -2.4061"
,Thornhill,Natural Gas,CCGT,50,1998,Yorkshire and the Humber,"53.6771, -1.6550"
,West Burton CCGT,Natural Gas,CCGT,1332,2012,East Midlands,"53.3622, -0.8076"
,Coryton,Natural Gas,CCGT,800,2001,East,"51.512, 0.508019"
,Rocksavage,Natural Gas,CCGT,810,1998,North West,"53.315561, -2.725253"
,Spalding,Natural Gas,CCGT,880,2004,East Midlands,"52.807803, -0.132253"
,Deeside,Natural Gas,CCGT,515,1994,Wales,"53.233889, -3.033889"
,Saltend *,Natural Gas,CCGT,1200,2000,Yorkshire and the Humber,"53.733256291971934, -0.23976553975855663"
,Marchwood,Natural Gas,CCGT,842,2009,South West,"50.898308, -1.437031"
,Severn Power,Natural Gas,CCGT,850,2010,Wales,"51.547778, -2.976389"
,Baglan Bay CCGT,Natural Gas,CCGT,520,2002,Wales,"51.619722, -3.829722"
,Sutton Bridge,Natural Gas,CCGT,819,1999,East,"52.757244, 0.193014"
,Didcot B,Natural Gas,CCGT,1470,1998,South East,"51.623661, -1.2675"
,Great Yarmouth,Natural Gas,CCGT,420,2001,East,"52.583919, 1.733272"
,Little Barford,Natural Gas,CCGT,720,1995,East,"52.204758, -0.267244"
,Pembroke,Natural Gas,CCGT,2180,2012,Wales,"51.683056, -4.988333"
,Staythorpe C,Natural Gas,CCGT,1772,2010,East Midlands,"53.074739, -0.855847"
,Medway,Natural Gas,CCGT,700,1995,South East,"51.433392, 0.683292"
,Peterhead (22),Natural Gas,CCGT,1180,1980,Scotland,"57.47708, -1.78988"
,Damhead Creek,Natural Gas,CCGT,805,2000,South East,"51.425339, 0.599972"
,Rye House,Natural Gas,CCGT,715,1993,East,"51.762542, 0.010803"
,Shoreham,Natural Gas,CCGT,420,2000,South East,"50.829511, -0.230567"
,Blackburn,Natural Gas,CCGT,59,2011,North West,"53.718056, -2.537778"
