Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project Number
[23-0225] UPPER GREENFIELDS - 175MW BESS,Lower 48 Energy BESS Limited,New Deer 2 400kV Substation,,0,175,175,2033/10/31,Scoping,Direct Connection,SHET,Energy Storage System,a0l8e000000ewjHAAQ,PRO-003682
012 NEP Coventry West,NEW ENERGY PARTNERSHIP LIMITED,Berkswell GSP,,0,92.4,92.4,2034/10/31,Scoping,Embedded,NGET,Energy Storage System,a0l8e000000f3zXAAQ,PRO-003804
014 NEP Bransholme,NEW ENERGY PARTNERSHIP LIMITED,North Humber Connection Node C 132kV Substation,,0,40,40,2035/10/30,Scoping,Embedded,NGET,Energy Storage System,a0l8e000001HntMAAS,PRO-004043
17 Acres and BESS,AEUK BATTERY PROJECT II LTD,Tealing 275/33kV Substation,,0,95.76,95.76,2032/06/30,Scoping,Direct Connection,SHET,Energy Storage System,a0l8e0000012ezRAAQ,PRO-004392
50MW BESS Connagill,Cerulisia Ltd,New Connagill 275/132kV Substation,,0,50,50,2031/10/31,Scoping,Direct Connection,SHET,Energy Storage System,a0lJ9000000blmDIAQ,PRO-004938
Abedare,UK POWER RESERVE LIMITED,Upperboat 132kV Substation,,10,0,10,,Built,Embedded,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iWRQAY,PRO-000001
Aberarder Extension Wind Farm,Renewable Energy Systems Limited,Aberarder Wind Farm 132/33kV Substation,,0,138,138,2031/04/30,Scoping,Direct Connection,SHET,Energy Storage System;Wind Onshore,a0l8e0000010wQ0AAI,PRO-002589
Aberarder Wind Farm,ABERARDER WIND FARM LLP,Aberarder Wind Farm 132/33kV Substation,,0,49.99,49.99,2026/08/31,Consents Approved,Direct Connection,SHET,Wind Onshore,a0l4L0000005ilHQAQ,PRO-000368
Aberdeen Offshore Wind Farm,ABERDEEN OFFSHORE WIND FARM LIMITED,Aberdeen Bay 132kV Substation,,95.5,0,95.5,,Built,Direct Connection,SHET,Wind Offshore,a0l4L0000005itBQAQ,PRO-000002
Aberthaw (Tertiary),Aberthaw Green Limited,Aberthaw 275kV Substation,,0,57,57,2029/10/31,Scoping,Direct Connection,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005ixjQAA,PRO-000376
Aberthaw BESS,REWE 7 LIMITED,Aberthaw B 275/132kV Substation,,0,240,240,2037/10/15,Scoping,Direct Connection,NGET,Energy Storage System,a0l8e000000f65FAAQ,PRO-003954
Aberthaw Energy,ABERTHAW ENERGY LIMITED,Aberthaw 275kV Substation,,0,249,249,2028/10/30,Scoping,Direct Connection,NGET,Energy Storage System,a0l4L0000005ietQAA,PRO-001697
Aberthaw PV & BESS Generation,CYP SOLAR LIMITED,Aberthaw 275kV Substation,,0,200,200,2029/06/30,Scoping,Direct Connection,NGET,Energy Storage System,a0l4L0000005ikSQAQ,PRO-001815
