Project Name,Connection Site,Cumulative Total Capacity (MW),Project Status,Agreement Type,HOST TO,Plant Type,Matched Site Name,Site Code
A'Chruach Wind Farm,A'Chruach Wind Farm 275kV Substation,43,Built,Direct Connection,SHET,Wind Onshore,,
AIKENGALL II WIND FARM,Wester Dod 132kV,81.2,Built,Direct Connection,SPT,Wind Onshore,WESTERDOD,WESE
Aikengall II Windfarm,Wester Dod 132kV,63.8,Built,Direct Connection,SPT,Wind Onshore,WESTERDOD,WESE
Carraig Gheal Wind Farm,Carraig Gheal 132/33kV Substation,46,Built,Direct Connection,SHET,Wind Onshore,,
East Anglia One,Platform EA One 220/66kV Offshore Substation,680,Built,Direct Connection,NGET,Wind Offshore,EAST ANGLIA COASTAL SUBSTATION,EACS
Kennoxhead Wind Farm Extension,Middlemuir Wind Farm Collector Substation,60,Built,Direct Connection,SPT,Wind Onshore,MIDDLE MUIR,MIDM
Kilbraur Wind Farm,Kilbraur Wind Farm Substation,67,Built,Direct Connection,SHET,Wind Onshore,,
London Array Offshore Wind Farm,London Array 33/150kV Offshore Substations,630,Built,Direct Connection,OFTO,Wind Offshore,LONDON ARRAY OFFSHORE WIND FARM - PLATFORM 1,LOAW
Race Bank Wind Farm,Race Bank 132kV Substation,565,Built,Direct Connection,NGET,Wind Offshore,RACEBANK ONSHORE,RACO
Sandy Knowe Wind Farm,Sandyknowe 132/33kV,86.4,Built,Direct Connection,SPT,Wind Onshore,SANDY KNOWE,SAKN
Sheringham Shoal Offshore Wind Farm,Sheringham Shoal 33/132kV Offshore Substations,315,Built,Direct Connection,OFTO,Wind Offshore,SHERRINGHAM SHOAL OFFSHORE PLATFORM 1,SSAW
