Project Name,Customer Name,Connection Site,Stage,MW Import - Current,MW Export - Current,MW Import - Increase / Decrease,MW Export - Increase / Decrease,MW Import - Total,MW Export - Total,MW Effective From,Project Status,HOST TO,Project Number
Aquind Interconnector,Aquind Limited,Lovedean 400kV Substation,,0,0,2000,2075,2000,2075,30/06/2030,Awaiting Consents,NGET,PRO-000285
Auchencrosh (interconnector CCT),MOYLE INTERCONNECTOR LIMITED*,Auchencrosh 275kV,1,270,500,205,0,475,500,01/04/2022,Built,SPT,PRO-001292-1
Auchencrosh (interconnector CCT),MOYLE INTERCONNECTOR LIMITED*,Auchencrosh 275kV,2,475,500,25,0,500,500,01/08/2022,Built,SPT,PRO-001292-2
Britned,BRITNED DEVELOPMENT LIMITED,Grain 400kV Substation,,1200,1200,0,0,1200,1200,,Built,NGET,PRO-000280
Celtic MPI,NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED,Alverdiscott 400kV Substation,,0,0,1500,1500,1500,1500,31/10/2037,Scoping,NGET,PRO-003461
Continental Link,NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED,Birkhill Wood 400kV Substation,,0,0,1800,1800,1800,1800,31/10/2035,Scoping,NGET,PRO-000977
Cronos,CRONOS ENERGY LTD,Kemsley 400kV Substation,,0,0,1400,1400,1400,1400,31/10/2029,Scoping,NGET,PRO-000984
East West Interconnector,EIRGRID INTERCONNECTOR DESIGNATED ACTIVITY COMPANY,Deeside 400kV Substation,,505,585,0,0,505,585,,Built,NGET,PRO-000284
ElecLink,ELECLINK LIMITED,Sellindge 400kV Substation,,1000,1050,0,0,1000,1050,,Built,NGET,PRO-000286
FAB Link Interconnector,FAB Link Limited,Exeter 400kV Substation,,0,0,1250,1310,1250,1310,30/09/2032,Awaiting Consents,NGET,PRO-000281
GB-EU MPI,Windgrid,Fiddes 400kV Substation,,0,0,1800,1800,1800,1800,31/10/2033,Scoping,SHET,PRO-004398
Greenlink,GREENLINK INTERCONNECTOR LIMITED,Pembroke 400kV Substation,,504,524,0,0,504,524,,Built,NGET,PRO-000279
Gridlink Interconnector,GRIDLINK INTERCONNECTOR LIMITED,Kingsnorth 400kV Substation,,0,0,1500,1500,1500,1500,31/03/2029,Scoping,NGET,PRO-000287
IFA Interconnector,NATIONAL GRID INTERCONNECTORS LIMITED,Sellindge 400kV Substation,,1988,1988,0,0,1988,1988,,Built,NGET,PRO-000282
IFA2 Interconnector,NATIONAL GRID IFA 2 LIMITED,Chilling 400kV Substation,,1100,1150,0,0,1100,1150,,Built,NGET,PRO-000283
Isle of Man Interconnector,MANX UTILITIES,Bispham 132kV Substation,,74,74,0,0,74,74,,Built,NGET,PRO-001291
Kulizumboo Interconnector,KULIZUMBOO LIMITED,Canterbury North 400kV Substation,,0,0,700,700,700,700,01/04/2031,Scoping,NGET,PRO-001290
LionLink (EuroLink),NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED,Friston 400kV Substation,,0,0,1600,1600,1600,1600,30/10/2024,Scoping,NGET,PRO-000983
LIRIC Interconnector,TI LIRIC Limited,Hunterston East 400kV,,0,0,730,700,730,700,31/10/2032,Scoping,SPT,PRO-001454
Low Carbon Link,LOW CARBON SOLAR PARK 39 LIMITED,Pembroke GSP,,0,0,1400,1400,1400,1400,31/10/2037,Scoping,NGET,PRO-004262
MARES,Maresconnect Limited,Bodelwyddan 400kV Substation,,0,0,750,750,750,750,30/11/2028,Awaiting Consents,NGET,PRO-000978
Nautilus,NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED,Wallend 400kV Substation,,0,0,1500,1500,1500,1500,31/10/2029,Scoping,NGET,PRO-000976
Nemo Link,NEMO LINK LIMITED,Richborough 400kV Substation,,1020,1046,0,0,1020,1046,,Built,NGET,PRO-000974
NeuConnect Interconnector,Neuconnect Britain Ltd,Grain West 400kV Substation,,0,0,1400,1470,1400,1470,01/08/2026,Under Construction/Commissioning,NGET,PRO-001288
NorthConnect,NORTHCONNECT LIMITED,Peterhead 400kV Substation,,0,0,1400,1400,1400,1400,01/03/2030,Scoping,SHET,PRO-001285
NS Link,NATIONAL GRID NORTH SEA LINK LIMITED,Blyth GSP,,1400,1480,0,0,1400,1480,,Built,NGET,PRO-000975
Project Cobalt,GETLINK PROJECTS 2 LIMITED,East Kent Connection Node B 400kV Substation,,0,0,1000,1050,1000,1050,30/10/2036,Scoping,NGET,PRO-004402
SENECA,FRONTIER POWER INTERNATIONAL LIMITED,Mablethorpe 400kV Substation,,0,0,1200,1254,1200,1254,30/11/2031,Scoping,NGET,PRO-000981
Tarchon,TARCHON ENERGY LIMITED,East Anglia Connection Node 400kV Substation,,0,0,1400,1400,1400,1400,31/10/2030,Scoping,NGET,PRO-001289
Teeside MPI,NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED,Wearside Connection Node B 400kV Substation,,0,0,1800,1800,1800,1800,31/10/2033,Scoping,NGET,PRO-003462
The Superconnection,ASC ENERGY LIMITED,Creyke Beck 400kV Substation,,0,0,1000,1000,1000,1000,01/09/2027,Scoping,NGET,PRO-001284
Viking Link Denmark Interconnector,NATIONAL GRID VIKING LINK LIMITED,Bicker Fen 400kV Substation,,1500,1500,0,0,1500,1500,,Built,NGET,PRO-000288
Western MPI,NATIONAL GRID INTERCONNECTOR HOLDINGS LIMITED,Connah's Quay 400kV Substation,,0,0,1500,1500,1500,1500,31/10/2037,Scoping,NGET,PRO-003463
