landing_point,country,network_model,bus,interconnector_name
Dover,GB,ETYS,DOVO_400,IFA
Dover,GB,Reduced,SOUTH_400,IFA
Dover,GB,Zonal,SOUTH,IFA
Sellindge,GB,ETYS,DOVO_400,IFA Interconnector
Sellindge,GB,Reduced,SOUTH_400,IFA Interconnector
Sellindge,GB,Zonal,SOUTH,IFA Interconnector
Grain,GB,ETYS,GRAI_400,IFA 2
Grain,GB,Reduced,SOUTH_400,IFA 2
Grain,GB,Zonal,SOUTH,IFA 2
Grain,GB,ETYS,GRAI_400,Britned
Grain,GB,Reduced,SOUTH_400,Britned
Grain,GB,Zonal,SOUTH,Britned
Grain West,GB,ETYS,GRAI_400,NeuConnect Interconnector
Grain West,GB,Reduced,SOUTH_400,NeuConnect Interconnector
Grain West,GB,Zonal,SOUTH,NeuConnect Interconnector
Chilling,GB,ETYS,GRAI_400,IFA2 Interconnector
Chilling,GB,Reduced,SOUTH_400,IFA2 Interconnector
Chilling,GB,Zonal,SOUTH,IFA2 Interconnector
Kingsnorth,GB,ETYS,KING_400,
Kingsnorth,GB,Reduced,SOUTH_400,
Kingsnorth,GB,Zonal,SOUTH,
Richborough,GB,ETYS,RICH_400,Nemo Link
Richborough,GB,Reduced,SOUTH_400,Nemo Link
Richborough,GB,Zonal,SOUTH,Nemo Link
Blyh,GB,ETYS,BLYH_400,North Sea Link (NSL)
Blyh,GB,Reduced,NORTH_400,North Sea Link (NSL)
Blyh,GB,Zonal,NORTH,North Sea Link (NSL)
Blyth,GB,ETYS,BLYH_400,NS Link
Blyth,GB,Reduced,NORTH_400,NS Link
Blyh,GB,Zonal,NORTH,NS Link
Bicker Fen,GB,ETYS,BICK_400,Viking Link Denmark Interconnector
Bicker Fen,GB,Reduced,NORTH_400,Viking Link Denmark Interconnector
Bicker Fen,GB,Zonal,NORTH,Viking Link Denmark Interconnector
Hawthorne Pit,GB,ETYS,HAWK_400,
Hawthorne Pit,GB,Reduced,NORTH_400,
Hawthorne Pit,GB,Zonal,NORTH,
Peterhead,GB,ETYS,PETE_400,
Peterhead,GB,Reduced,SCOTLAND_400,
Peterhead,GB,Zonal,SCOTLAND,
Hunterston,GB,ETYS,HUNT_400,
Hunterston,GB,Reduced,SCOTLAND_400,
Hunterston,GB,Zonal,SCOTLAND,
Auchencrosh,GB,ETYS,AUCH_275,Auchencrosh (interconnector CCT)
Auchencrosh,GB,Reduced,SCOTLAND_275,Auchencrosh (interconnector CCT)
Auchencrosh,GB,Zonal,SCOTLAND,Auchencrosh (interconnector CCT)
Pembroke,GB,ETYS,PEMB_400,
Pembroke,GB,Reduced,WALES_400,
Pembroke,GB,Zonal,WALES,
Pembroke,GB,ETYS,PEMB_400,Greenlink
Pembroke,GB,Reduced,WALES_400,Greenlink
Pembroke,GB,Zonal,WALES,Greenlink
Deeside,GB,ETYS,DEES_400,
Deeside,GB,Reduced,WALES_400,
Deeside,GB,Zonal,WALES,
Deeside,GB,ETYS,DEES_400,East West Interconnector
Deeside,GB,Reduced,WALES_400,East West Interconnector
Deeside,GB,Zonal,WALES,East West Interconnector
Bispham,GB,ETYS,BISP_132,Isle of Man Interconnector
Bispham,GB,Reduced,NORTH_132,Isle of Man Interconnector
Bispham,GB,Zonal,NORTH,Isle of Man Interconnector
Ballylumford,NI,ETYS,BALL_275,Moyle
Ballylumford,NI,Reduced,NI_275,Moyle
Ballylumford,NI,Zonal,NI,Moyle
Maasvlakte,NL,External,NL_EXT,BritNed
Zeebrugge,BE,External,BE_EXT,Nemo Link
Gravelines,FR,External,FR_EXT,IFA
Caen,FR,External,FR_EXT2,IFA 2
Calais,FR,External,FR_EXT3,ElecLink
Kristiansand,NO,External,NO_EXT,North Sea Link (NSL)
Esbjerg,DK,External,DK_EXT,Viking
Woodland,IE,External,IE_EXT,East-West
Knockraha,IE,External,IE_EXT2,North-South
Cong,IE,External,IE_EXT3,Greenlink
