Country,EU Scenario,FES Pathway Alignment,Variable,Category,Type,SubType,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Storage,Storage,Battery,150.0,150.0,350.0,550.0,800.0,1000.0,1200.0,1250.0,1300.0,1300.0,1350.0,1400.0,1450.0,1500.0,1550.0,1600.0,1650.0,1650.0,1650.0,1700.0,1700.0,1700.0,1750.0,1850.0,1900.0,2000.0,2050.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Renewable,Biomass,Biomass,410.0,410.0,410.0,410.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Low Carbon,CCS,Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Thermal,Gas,Fossil Gas,4320.9,4295.9,4067.9,3889.9,3775.9,3550.9,3378.9,3727.2,3841.2,3812.2,3812.2,3926.2,3876.2,3876.2,3732.2,3674.2,3726.0,3726.0,3840.0,3954.0,3954.0,4068.0,3954.0,3954.0,3840.0,3840.0,3726.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Thermal,Other Thermal,Fossil Oil,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Low Carbon,Low Carbon,Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1300.0,1800.0,2400.0,3400.0,4000.0,4500.0,5600.0,6100.0,6600.0,6600.0,6500.0,6500.0,6400.0,6300.0,6400.0,6400.0,6500.0,6500.0,6600.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Renewable,Other Renewables,Other RES,0.0,0.0,0.0,0.0,0.0,0.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Storage,Storage,Pumped Hydro,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Renewable,Hydro,Run-of-river Hydro,8403.2,8433.6,8464.0,8494.4,8524.8,8555.2,8585.6,8624.9,8664.2,8703.5,8742.8,8782.1,8821.4,8860.7,8900.0,8939.3,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Renewable,Solar,Solar PV,7243.0,8243.0,10586.0,12929.0,15272.0,17615.0,19958.0,22809.0,25659.0,28509.0,31359.0,34209.0,35241.0,36273.0,37305.0,38337.0,39369.0,42040.0,44711.0,47382.0,50053.0,52724.0,55395.0,58066.0,60738.0,63409.0,66080.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Renewable,Onshore Wind,Wind Onshore,4144.0,4494.0,5590.0,6686.0,7783.0,8879.0,9976.0,10880.0,11784.0,12688.0,13592.0,14496.0,15064.0,15632.0,16200.0,16768.0,17336.0,17904.0,18472.0,19040.0,19608.0,20176.0,20744.0,21312.0,21880.0,22448.0,23016.0
Austria,EU Green,"Holistic Transition, Electric Engagement",Capacity (MW),Low Carbon,CCS,CCS Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1000.0,1000.0,1000.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Storage,Storage,Battery,150.0,150.0,250.0,350.0,450.0,550.0,650.0,750.0,800.0,850.0,900.0,950.0,1000.0,1050.0,1100.0,1200.0,1250.0,1250.0,1300.0,1300.0,1300.0,1350.0,1400.0,1500.0,1550.0,1650.0,1700.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Renewable,Biomass,Biomass,410.0,410.0,410.0,410.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Low Carbon,CCS,Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Thermal,Gas,Fossil Gas,3258.9,3155.9,3155.9,3205.9,3205.9,2980.9,2580.9,2131.2,2131.2,2102.2,2102.2,2102.2,2052.2,2052.2,1652.2,824.2,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Thermal,Other Thermal,Fossil Oil,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Low Carbon,Low Carbon,Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,200.0,600.0,800.0,1200.0,1900.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Renewable,Other Renewables,Other RES,0.0,0.0,0.0,0.0,0.0,0.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Storage,Storage,Pumped Hydro,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8,4239.8
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Renewable,Hydro,Run-of-river Hydro,8403.2,8433.6,8464.0,8494.4,8524.8,8555.2,8585.6,8624.9,8664.2,8703.5,8742.8,8782.1,8821.4,8860.7,8900.0,8939.3,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8,8978.8
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Renewable,Solar,Solar PV,7243.0,8243.0,8889.0,9534.0,10179.0,10825.0,11470.0,11606.0,11742.0,11878.0,12014.0,12150.0,13164.0,14178.0,15192.0,16206.0,17220.0,17501.0,17782.0,18063.0,18344.0,18625.0,18906.0,19187.0,19468.0,19749.0,20030.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Renewable,Onshore Wind,Wind Onshore,4144.0,4494.0,5329.0,6164.0,7000.0,7835.0,8708.0,9248.0,9788.0,10328.0,10868.0,11408.0,12272.0,13136.0,14000.0,14864.0,15728.0,16172.0,16616.0,17060.0,17504.0,17948.0,18392.0,18836.0,19280.0,19724.0,20168.0
Austria,EU Central,"Falling Behind, 10YF",Capacity (MW),Low Carbon,CCS,CCS Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
Austria,EU Blue,Hydrogen Evolution,Capacity (MW),Storage,Storage,Battery,150.0,150.0,250.0,350.0,450.0,550.0,650.0,700.0,750.0,850.0,900.0,950.0,1000.0,1050.0,1150.0,1200.0,1250.0,1250.0,1300.0,1300.0,1350.0,1350.0,1450.0,1500.0,1600.0,1650.0,1750.0
Austria,EU Blue,Hydrogen Evolution,Capacity (MW),Renewable,Biomass,Biomass,410.0,410.0,410.0,410.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU Blue,Hydrogen Evolution,Capacity (MW),Low Carbon,CCS,Biomass CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0
Austria,EU Blue,Hydrogen Evolution,Capacity (MW),Thermal,Gas,Fossil Gas,4284.9,4295.9,4295.9,4231.9,4117.9,4120.9,4062.9,3727.2,3385.2,3128.2,2786.2,2444.2,2280.2,2166.2,2108.2,1964.2,1788.0,1446.0,1104.0,762.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU Blue,Hydrogen Evolution,Capacity (MW),Thermal,Other Thermal,Fossil Oil,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
