name,bus0,bus1,carrier,p_nom,installed date,marginal_cost
BritNed,Netherlands,Z15,DC,1000,01/01/2020,20
EastWest,Ireland,Z9,DC,600,01/01/2020,7
Moyle,N. Ireland,Z5,DC,600,01/01/2020,7
Nemo,Belgium,Z15,DC,1000,01/01/2020,20
IFA,France1,Z15,DC,2000,01/01/2020,15
IFA2,France2,Z16,DC,1000,01/01/2020,15
NSL,Norway,Z7,DC,1400,01/01/2021,1
ElecLink,France1,Z15,DC,1000,01/01/2022,15
Viking Link,Denmark,Z12,DC,1400,01/01/2023,7
Greenlink,Ireland2,Z13,DC,500,01/01/2023,7
GridLink,France1,Z15,DC,1400,01/01/2024,15
NeuConnect,Germany,Z15,DC,1400,01/01/2024,20
NorthConnect,Norway,Z2,DC,1400,01/01/2025,1
FAB Link,France2,Z17,DC,1400,01/01/2025,15
