dataset,settlementDate,settlement_period,timeFrom,level_from,timeTo,level_to,pair_id,offer_price,bid_price,nationalGridBmUnit,bmu_id
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-15,2020-11-21T01:00:00Z,-15,-1,80.0,55.0,ABERU-1,E_ABERDARE
BOD,2020-11-21,2,2020-11-21T00:30:00Z,15,2020-11-21T01:00:00Z,15,1,80.0,55.0,ABERU-1,E_ABERDARE
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-98,2020-11-21T01:00:00Z,-98,-1,15.0,-185.0,ABRBO-1,T_ABRBO-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,0.0,ABRBO-1,T_ABRBO-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-38,2020-11-21T01:00:00Z,-38,-1,9999.0,-80.0,ABRTW-1,E_ABRTW-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,38,2020-11-21T01:00:00Z,38,1,9999.0,-80.0,ABRTW-1,E_ABRTW-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-43,2020-11-21T01:00:00Z,-43,-1,83.0,-90.0,ACHRW-1,T_ACHRW-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,1,2020-11-21T01:00:00Z,1,1,83.0,-90.0,ACHRW-1,T_ACHRW-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,0.0,-103.0,AFTOW-1,T_AFTOW-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,9998.0,0.0,AFTOW-1,T_AFTOW-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-40,2020-11-21T01:00:00Z,-40,-1,10000.0,-10000.0,AG-AEDF01,2__ALOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,40,2020-11-21T01:00:00Z,40,1,10000.0,-10000.0,AG-AEDF01,2__ALOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-AEDF02,2__ALOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-AEDF02,2__ALOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-9000.0,-9999.0,AG-AFLX01,2__AFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,9000.0,AG-AFLX01,2__AFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-AFLX02,2__AFLEX002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-AFLX02,2__AFLEX002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-AFLX03,2__AFLEX003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-AFLX03,2__AFLEX003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-AFLX04,2__AFLEX004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-AFLX04,2__AFLEX004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-3,2020-11-21T01:00:00Z,-3,-1,50.0,-9999.0,AG-ALIM02,2__AANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,3,2020-11-21T01:00:00Z,3,1,9999.0,20.0,AG-ALIM02,2__AANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-ALIM03,2__AANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-ALIM03,2__AANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-AUKP01,2__AUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-AUKP01,2__AUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-BEDF01,2__BLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-BEDF01,2__BLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-BEDF02,2__BLOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-BEDF02,2__BLOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-9000.0,-9999.0,AG-BFLX01,2__BFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,9000.0,AG-BFLX01,2__BFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,9999.0,-9999.0,AG-BLIM02,2__BANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,9999.0,-9999.0,AG-BLIM02,2__BANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,60.0,26.0,AG-BLIM03,2__BANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,60.0,26.0,AG-BLIM03,2__BANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,9999.0,-9999.0,AG-BLIM04,2__BANGE003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,9999.0,-9999.0,AG-BLIM04,2__BANGE003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,66.75,20.0,AG-BSMA01,2__BSMAR002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,66.75,20.0,AG-BSMA01,2__BSMAR002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-60,2020-11-21T01:00:00Z,-60,-1,74.0,35.25,AG-BUKP01,2__BUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,60,2020-11-21T01:00:00Z,60,1,74.0,35.25,AG-BUKP01,2__BUKPR001
