source_year,carrier,correction_factor,empirical_mc,formula_mc,n_generators
2021,CCGT,0.581,89.82,154.58,22
2021,OCGT,0.4281,92.64,216.41,1
2021,coal,0.4792,90.91,189.72,2
2021,nuclear,2.9639,78.64,26.53,4
2022,CCGT,0.7404,185.77,250.91,23
2022,OCGT,0.9486,333.23,351.27,1
2022,coal,0.7052,194.81,276.24,3
2022,nuclear,5.7289,157.22,27.44,4
2022,oil,1.4543,566.72,389.68,1
2023,CCGT,0.6561,98.0,149.36,24
2023,OCGT,0.9548,199.64,209.1,1
2023,coal,0.5095,102.65,201.47,1
2023,nuclear,2.9071,77.66,26.72,4
2024,CCGT,0.5118,79.89,156.08,24
2024,coal,0.3513,81.87,233.08,1
2024,nuclear,2.2987,62.83,27.33,4
median,CCGT,0.6185,93.91,155.33,23
median,OCGT,0.9486,199.64,216.41,1
median,coal,0.4943,96.78,217.28,1
median,nuclear,2.9355,78.15,27.02,4
median,oil,1.4543,566.72,389.68,1
