generator,carrier,empirical_mc,support_type_inferred,n_bmus,median_bid,mean_bid,std_bid
aberdeen bay,wind_offshore,-80.0,ROC,1,-80.0,-97.8853316183872,98.84820518835204
achruach wind farm,wind_onshore,-90.0,ROC,1,-90.0,-24.279163404540878,91.3451302649046
afton wind farm,wind_onshore,-119.0,ROC,1,-119.0,-119.0,119.00166371904128
aikengall ii,wind_onshore,-81.0,ROC,1,-81.0,-80.15865115758864,7.252248413236034
aikengall2a-w,wind_onshore,-55.0,ROC,1,-55.0,-51.7479991052455,40.00311499811266
airies,wind_onshore,0.0,CfD_or_merchant,1,0.0,0.0,0.0
an suidhe 1,wind_onshore,-70.0,ROC,1,-70.0,-70.0,0.0
andershaw wind farm,wind_onshore,-71.0,ROC,1,-71.0,-49.88499608544905,33.88065491923559
arecleoch,wind_onshore,-43.78,ROC,1,-43.78,-45.587216474667265,45.63518936169947
assel valley wind farm,wind_onshore,-79.0,ROC,1,-79.0,-77.19712560116318,4.991697562708885
auchrobert wind farm,wind_onshore,-69.0,ROC,1,-69.0,-33.25109048204899,74.62269103323712
bad a cheo wind farm,wind_onshore,-83.13,ROC,1,-83.13,-80.52911139693546,41.53943919296131
baillie wind farm,wind_onshore,-71.5,ROC,1,-71.5,-71.5,0.0
barrow offshore wind,wind_onshore,-89.45,ROC,1,-89.45,-47.05363229362448,122.63326315099835
beatrice offshore wf 1,wind_offshore,-28.29,ROC,1,-28.29,-69.52469662230176,75.21825879452756
beatrice offshore wf 2,wind_offshore,-28.29,ROC,1,-28.29,-69.52469662230176,75.21825879452756
beatrice offshore wf 3,wind_offshore,-28.29,ROC,1,-28.29,-69.52469662230176,75.21825879452756
beatrice offshore wf 4,wind_offshore,-28.29,ROC,1,-28.29,-69.52469662230176,75.21825879452756
beechgreen,solar_pv,0.0,CfD_or_merchant,1,0.0,0.0,0.0
beechgreen,wind_onshore,32.18,CfD_or_merchant,1,32.18,21.883090616983235,71.03233940213524
beinn an tuirc 2,wind_onshore,-45.475,ROC,1,-45.475,-47.61760737054021,47.67254016567041
beinn an tuirc iii windfarm,wind_onshore,-10.205,CfD_or_merchant,1,-10.205,-10.626988591880103,10.632616144769944
beinneun wind farm,wind_onshore,-49.0,ROC,1,-49.0,-49.0,49.000685060781706
berry burn wind farm,wind_onshore,-72.0,ROC,1,-72.0,-72.66612611488804,1.2468772306014702
bhlaraidh windfarm 1,wind_onshore,-70.47,ROC,1,-70.47,-49.29939016888491,48.02226316232507
black law windfarm extension,wind_onshore,-42.13,ROC,1,-42.13,-44.129251481937146,44.18178803782417
blackcraig windfarm,wind_onshore,-100.0,ROC,1,-100.0,-99.99910524549827,0.11964811625652638
braes of doune,wind_onshore,-75.0,ROC,1,-75.0,-75.0,0.0
brockloch rig 2 wf exp a,wind_onshore,-80.0,ROC,1,-80.0,-83.97673638295493,3.999988272326314
broken cross wf,wind_onshore,0.0,CfD_or_merchant,1,0.0,0.0,0.0
burbo offshore wind,wind_onshore,49.5,CfD_or_merchant,1,49.5,-10.821884017447712,110.84889142656995
burbo_extension,wind_offshore,34.74,CfD_or_merchant,1,34.74,-23.3901904149424,127.18463285796496
burn of whilk windfarm,wind_onshore,-84.0,ROC,1,-84.0,-84.38082988480036,4.54147929297569
camster,wind_onshore,-112.81,ROC,1,-112.81,-110.98802794813633,3.187992415364325
carraig gheal wind farm,wind_onshore,-97.0,ROC,1,-97.0,-89.91466278939716,9.565944776489951
clachan flats,wind_onshore,-45.475,ROC,1,-45.475,-47.61760737054021,47.67254016567041
clyde central,wind_onshore,-77.31,ROC,1,-77.31,-45.764466782239126,64.52473569954965
clyde north,wind_onshore,-77.06,ROC,1,-77.06,-45.58653785929985,64.42228504905697
clyde south,wind_onshore,-79.6,ROC,1,-79.6,-47.30725673861984,65.3920562004255
coire na cloiche wf,wind_onshore,-140.0,ROC,1,-140.0,-140.0,0.0
corriegarth wf,wind_onshore,-75.0,ROC,1,-75.0,-78.19203668493456,4.661746056797753
corriemoillie,wind_onshore,-81.29,ROC,1,-81.29,-82.13353539872499,1.4188458894776514
cour wind farm,wind_onshore,0.0,CfD_or_merchant,1,0.0,-33.10938310005184,46.35264667143065
craig 2 wind farm,wind_onshore,-115.0,ROC,1,-115.0,-115.0,0.0
creag riabhach wind farm,wind_onshore,-74.0,ROC,1,-74.0,-67.31976289005704,41.0354131301992
crossdykes wf-1,wind_onshore,-70.0,ROC,1,-70.0,-68.20059792484905,7.181865116951895
crossdykes wf-2,wind_onshore,-70.0,ROC,1,-70.0,-68.20059792484905,7.181865116951895
crystal rig ii windfarm,wind_onshore,-88.0,ROC,1,-88.0,-88.0,0.0
crystal rig iii,wind_onshore,-88.0,ROC,1,-88.0,-88.0,0.0
