,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,110.706,19.2%,110.936,19.2%,111.186,19.2%,111.406,19.2%,111.626,19.2%,111.846,19.2%,112.016,19.2%,112.246,19.2%,112.406,19.2%,112.606,19.2%,112.766,19.2%,112.976,19.2%,113.116,19.2%,113.286,19.2%,113.456,19.2%,113.606,19.2%,113.766,19.2%,113.896,19.2%,114.056,19.2%,114.196,19.2%,114.316,19.2%,114.456,19.2%,114.576,19.2%,114.706,19.2%,114.856,19.2%,114.966,19.2%,115.076,19.2%,115.196,19.2%,115.326,19.2%,115.446,19.2%,115.546,19.2%,,,,,
Peterhead,29.07903,,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,0.694,0.1%,,,,,
Errochty,12.67648,,177.695,30.8%,178.075,30.8%,178.445,30.8%,178.805,30.8%,179.155,30.8%,179.495,30.8%,179.815,30.8%,180.125,30.8%,180.445,30.8%,180.745,30.8%,181.025,30.8%,181.295,30.8%,181.585,30.8%,181.825,30.8%,182.095,30.8%,182.345,30.8%,182.825,30.9%,182.825,30.8%,183.065,30.8%,183.285,30.8%,183.495,30.8%,183.715,30.8%,183.925,30.8%,184.135,30.8%,184.325,30.8%,184.525,30.8%,184.735,30.8%,184.915,30.8%,185.105,30.8%,185.285,30.8%,185.475,30.8%,,,,,
Denny/Bonnybridge,48.05308,,11.749,2.0%,11.759,2.0%,11.769,2.0%,11.779,2.0%,11.789,2.0%,11.799,2.0%,11.809,2.0%,11.809,2.0%,11.819,2.0%,11.829,2.0%,11.839,2.0%,11.839,2.0%,11.849,2.0%,11.859,2.0%,11.859,2.0%,11.869,2.0%,11.879,2.0%,11.879,2.0%,11.889,2.0%,11.889,2.0%,11.899,2.0%,11.909,2.0%,11.909,2.0%,11.919,2.0%,11.919,2.0%,11.929,2.0%,11.929,2.0%,11.939,2.0%,11.939,2.0%,11.949,2.0%,11.949,2.0%,,,,,
Neilston,40.33216,,80.296,13.9%,80.496,13.9%,80.666,13.9%,80.836,13.9%,81.026,13.9%,81.176,13.9%,81.326,13.9%,81.476,13.9%,81.636,14.0%,81.776,14.0%,81.916,14.0%,82.036,14.0%,82.186,14.0%,82.326,14.0%,82.426,14.0%,82.556,14.0%,82.666,14.0%,82.786,14.0%,82.896,14.0%,83.016,14.0%,83.116,14.0%,83.206,14.0%,83.316,14.0%,83.416,14.0%,83.526,14.0%,83.616,14.0%,83.706,14.0%,83.796,14.0%,83.886,14.0%,83.986,14.0%,84.056,14.0%,,,,,
Strathaven,32.62527,,74.499,12.9%,74.749,12.9%,74.989,13.0%,75.219,13.0%,75.439,13.0%,75.659,13.0%,75.859,13.0%,76.059,13.0%,76.259,13.0%,76.439,13.0%,76.629,13.1%,76.799,13.1%,76.979,13.1%,77.159,13.1%,77.309,13.1%,77.479,13.1%,77.629,13.1%,77.779,13.1%,77.919,13.1%,78.069,13.1%,78.219,13.1%,78.339,13.2%,78.479,13.2%,78.609,13.2%,78.739,13.2%,78.869,13.2%,78.989,13.2%,79.119,13.2%,79.239,13.2%,79.349,13.2%,79.459,13.2%,,,,,
Torness,12.47125,,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,0.683,0.1%,,,,,
Eccles,18.13913,,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,0.508,0.1%,,,,,
Harker,20.87751,,9.737,1.7%,9.757,1.7%,9.777,1.7%,9.787,1.7%,9.807,1.7%,9.827,1.7%,9.837,1.7%,9.857,1.7%,9.867,1.7%,9.887,1.7%,9.897,1.7%,9.907,1.7%,9.927,1.7%,9.937,1.7%,9.947,1.7%,9.957,1.7%,9.977,1.7%,9.987,1.7%,9.997,1.7%,10.007,1.7%,10.017,1.7%,10.027,1.7%,10.037,1.7%,10.047,1.7%,10.057,1.7%,10.067,1.7%,10.077,1.7%,10.087,1.7%,10.097,1.7%,10.097,1.7%,10.107,1.7%,,,,,
