GSP ID,GSP Group,Minor FLOP,Name,Latitude,Longitude,Comments
ABNE_P,_P,T4,Abernethy,56.339,-3.294,
ABTH_1,_K,H2,Aberthaw,51.385,-3.403,
ABHA1,_L,F6,Abham,50.472,-3.729,
ACTL_C,_C,A7,Acton Lane 22kV,51.535,-0.257,
ACTL_2,_H,A7,Acton Lane 66kV,51.535,-0.257,
ALNE_P,_P,T5,Alness,57.708,-4.274,
ALST_3,_K,H2,Alpha Steel (Uskmouth),51.549,-2.976,
ALVE1,_L,F6,Alverdiscott,51.006,-4.137,
AMEM_1,_A,A6,Amersham Main,51.664,-0.655,
ARBR_P,_P,T4,Arbroath,56.564,-2.619,
ARDK_P,_P,T3,Ardkinglas,56.287,-4.956,
ARMO_P,_P,T1,Ardmore,57.554,-6.645,
AXMI1,_L,E1,Axminster,50.787,-2.924,
AYRR,_N,S6,Ayr,55.457,-4.587,
BAIN,_N,S5,Bainsford,56.014,-3.768,
BARKC1,_C,A1,Barking,51.518,0.113,
BARKW3,_C,A1,Barking West,51.516,0.107,
BAGA,_N,S5,Bathgate,55.9,-3.674,
BEAU_P,_P,T1,Beauly,57.468,-4.49,
BEDDT1,_C,A8,Beddington (_C),51.374,-0.129,
BEDD_1,_J,A8,Beddington (_J),51.374,-0.129,
BESW_1,_B,L3,Berkswell,52.387,-1.614,
BERB_P,_P,T1,Berryburn,57.504,-3.599,
BERW,_N,S6,Berwick,55.777,-2.079,
BICF_1,_B,K4,Bicker Fen,52.931,-0.221,
BIRK_1,_D,N3,Birkenhead,53.366,-3.061,
BISW_1,_E,L2,Bishops Wood,52.312,-2.243,
BLYTB1,_F,Q6,Blyth 66kV,55.141,-1.531,
BLYTH132,_F,Q6,Blyth 132kV,55.141,-1.531,
BOAG_P,_P,T1,Boat of Garten,57.249,-3.723,
BOLN_1,_J,B1,Bolney,50.974,-0.236,
BONN,_N,S5,Bonnybridge,56.007,-3.86,
BOTW_1,_H,B2,Botley Wood,50.885,-1.233,
BRAC_P,_P,T4,Braco West,56.276,-3.878,
BRAW_1,_M,P1,Bradford West,53.81,-1.867,
BRAP,_N,S6,Braehead Park,55.881,-4.381,
BRAI_1,_A,J8,Braintree,51.865,0.576,
BRFO_1,_A,J5,Bramford,52.07,1.063,
BRLE_1,_H,B4,Bramley,51.335,-1.077,
BRED_1,_G,N2,Bredbury,53.415,-2.131,
BRID_P,_P,T4,Bridge of Dun,56.72,-2.557,
BRWA1,_L,E7,Bridgewater,51.117,-2.969,
BRIM_1,_A,A3,Brimsdown,51.664,-0.025,
BROA_P,_P,T1,Broadford,57.248,-5.936,
BROR_P,_P,T5,Brora,58.02,-3.875,
BROX,_N,S6,Broxburn,55.919,-3.453,
BUMU_P,_P,T4,Burghmuir,56.397,-3.488,
BURM_1,_A,J7,Burwell Main,52.28,0.312,
BUSH_1,_E,L2,Bushbury,52.636,-2.115,
BUST_1,_E,L3,Bustleholme,52.553,-1.964,
CAIF_P,_P,T2,Cairnford,57.452,-2.85,
CAMB_01,_M,P4,Camblesforth,53.729,-1.001,
CBNK_H,_H,A7,Canal Bank,51.535,-0.257,
CANTN1,_J,C7,Canterbury,51.292,1.094,
CAPEA1,_D,N3,Capenhurst,53.266,-2.948,
CARE_1,_K,H2,Cardiff East,51.495,-3.145,
CATY,_N,S6,Carntyne,55.857,-4.197,
CAAD_P,_P,T3,Carradale,55.59,-5.502,
CARR_1,_G,N2,Carrington,53.435,-2.4,
CAFA,_N,S6,Carsfad,55.144,-4.189,
CASS_P,_P,T5,Cassley,56.542,-4.517,
CEAN_P,_P,T1,Ceannacroc,57.154,-4.937,
CELL_1,_E,L5,Cellarhead,53.041,-2.086,
CHAP,_N,S6,Chapelcross,55.014,-3.221,
CHAR_P,_P,T4,Charleston,56.474,-3.045,
CHAS,_N,S6,Charlotte Street,55.855,-4.239,
CHSI_1,_J,A8,Chessington,51.343,-0.323,
CHTE_1,_B,P3,Chesterfield,53.224,-1.387,
CHIC_1,_H,E1,Chickerell,50.624,-2.489,
CITR_1,_C,A7,City Road,51.531,-0.096,
CLAC_P,_P,T3,Clachan,56.277,-4.922,
CLT03,_A,J5,Clacton,51.826,1.179,
CLAY_P,_P,T2,Clayhills,57.14,-2.099,
CLYM,_N,S6,Clyde’s Mill,55.822,-4.149,
COAT,_N,S6,Coatbridge,55.851,-4.013,
COCK,_N,S6,Cockenzie,55.967,-2.967,
