GSP ID,GSP Group,Minor FLOP,Name,Latitude,Longitude,Comments
NETS,_N,S6,Newton Stewart,54.93917959522585,-4.479507868708184,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
CHAP,_N,S6,Chapelcross,55.19997176174613,-3.1708280054273454,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
BISW_1,_E,L2,Bishops Wood,52.218210486691085,-2.6388425710203234,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
PORD,_N,S5,Port Dundas,55.88096907402697,-4.2292173230159635,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
BROR_P,_P,T5,Brora,58.08694262909074,-3.9084399636570137,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
NAIR_P,_P,T1,Nairn,57.34713709732948,-3.7573746151069423,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
BRIM_1,_A,A3,Brimsdown,51.67891012759227,-0.10574458544906659,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
ECLA_H,_H,D4,East Claydon,51.938720608806726,-1.1666015393142655,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
CUMB,_N,S5,Cumbernauld,55.943139910088185,-3.960080396349294,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
GRIW_1,_M,P7,Grimsby West,53.58529107681711,-0.20899508203787243,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
STOR_P,_P,,STOR_P,58.182770804859146,-6.615150275300848,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
WATFS_1,_A,A6,Watford South,51.690612418916196,-0.5494849974147957,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
WBUR_1,_B,K6,West Burton,53.229274335144765,-0.5261858943454089,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
CHAR_P,_P,T4,Charleston,56.47283529998964,-3.0893194464614786,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
WHHO,_N,S6,Whitehouse,55.91746615607922,-3.203140139928447,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
AXMI1,_L,E1,Axminster,50.820703364444284,-2.876030976034496,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
LITT_J,_J,A8,Littlebrook LPN,51.42926478053647,0.19996910714294935,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
FINN,_N,S5,Finnieston,55.872140595681046,-4.2828059227836075,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
ELST_1,_A,A6,Elstree,51.70652345319911,-0.34512330507550093,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
AYRR,_N,S6,Ayr,55.43273942174891,-4.624768712720423,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
MAYB,_N,S6,Maybole,55.209843502483096,-4.712057209617576,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
AXMI_H,_H,E1,Axminster H,50.94295136686015,-2.5106407776977915,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
FIDD_P,_P,T2,Fiddes,56.89470960481083,-2.4175087840265825,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
SFEG_P,_P,T2,St Fergus Gas Terminal,57.57671076492435,-1.8560288241550256,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
ENDE_1,_B,L8,Enderby,52.65677012118319,-1.240092363452339,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
LALE1SG003,_H,A6,Laleham,51.43164278475418,-0.5028806852001696,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
PYLE_1,_K,H1,Pyle,51.50489727065147,-3.631186333294086,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
SALH_1,_F,Q2,Saltholme,54.62917547212708,-1.2078993807812235,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
GORG,_N,S6,Gorgie,55.93537672678055,-3.2246548093564167,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
PERS_P,_P,T2,Persley,57.19234624014676,-2.134166610667655,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
BIRK_1,_D,N3,Birkenhead,53.354774766835796,-3.0688264873995927,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
LEVE,_N,S5,Leven,56.228109246577745,-2.8675414971869073,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
DRAX_1,_M,P4,Drax 132kV,53.77760076193877,-1.0015010400119273,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
CAPEA1,_D,N3,Capenhurst,53.214993915153045,-2.8633970457080498,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
RUGEB1,_E,L5,Rugeley,52.720864788590234,-1.8969440226715402,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
HELE,_N,S5,Helensburgh,56.0313584776422,-4.763701335171755,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
ABHA1,_L,F6,Abham,50.44003470305086,-3.7644377670781655,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
IVER_1,_H,A6,Iver 132kV,51.543169185419735,-0.566394097419753,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
IVER_6,_H,A6,Iver 66kV,51.543169185419735,-0.566394097419753,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
CUPA,_N,S5,Cupar,56.32726447421096,-2.9934193164602867,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
TEMP_3,_M,P3,Templeborough,53.41305093346341,-1.3347994553291616,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
STLE,_N,S5,Strathleven,56.10723440034471,-4.458485981004526,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
WALP_1,_A,J1,Walpole (_A),52.66137562887857,0.40674057752727494,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
IROA1,_L,G5,Iron Acton,51.64840508069375,-2.324453575126409,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
Off_NETS(unassigned),,,Off_NETS(unassigned),55.251071663143165,-5.116621569191486,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
DUNO_P,_P,S5,Dunoon,55.94195100651785,-5.107136179876156,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
TAYN_P,_P,T3,Taynuilt,56.4260027646258,-5.699875927265165,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
FROD_1,_D,N3,Frodsham,53.29765671548889,-2.6876337334622007,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
LING,_N,S6,Livingston East,55.85131823529628,-3.474282752958459,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
QUOI_P,_P,T1,Quoich,57.06982913711304,-5.248445934284168,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
WISD_6,_C,A7,Wesley Avenue (Willesden 66kV),51.50900196788579,-0.23552542196029175,Derived from data/network/GSP/GSP_regions_4326_20250109.geojson centroid
