site_code,site_name,lat,lon,source
ABBA,ABERDEEN BAY WINDFARM,57.146184,-2.07282,repd_match
AIGA,AIGAS HYDRO,57.43539,-4.568608,nominatim_geocode
AIKE,AIKENGALL,55.924909,-2.45924,nominatim_geocode
ALDW,ALDWARKE,53.451714,-1.325567,nominatim_geocode
ALYT,ALYTH,56.622554,-3.230263,nominatim_geocode
AMUL,AMULREE,56.50888,-3.788587,nominatim_geocode
ANSU,AN SUIDHE,57.139255,-3.962162,nominatim_geocode
AUCH,AUCHENCROSH,55.077138,-4.978831,nominatim_geocode
AYR-,AYR,55.4574,-4.5880,manual_correction
BAGB,BAGLAN BAY,51.617723,-3.832123,exact_name_match (power_stations)
BEAT,BEATRICE ONSHORE,57.523632,-2.957714,nominatim_geocode
BEDT,BEDDINGTON TEE,51.371988,-0.132393,nominatim_geocode
BEIN,BEINNEUN WIND FARM,57.095588,-4.965473,repd_match
BEIW,BEATRICE OFFSHORE,58.25,-2.88,manual_correction
BEWF,BEAW FIELD,60.5,-1.06,manual_correction
BHLA,BHLARAIDH WIND FARM,57.21913,-4.581901,repd_match
BIHI,BIRKHILL,56.496296,-3.056782,nominatim_geocode
BLAH,BLACKHILL,55.670941,-3.858462,nominatim_geocode
BLCW,BLACKCRAIG,55.93034,-3.558136,nominatim_geocode
BLHI,BLACKHILLOCK,57.490115,-2.905443,nominatim_geocode
BLKL,BLACKLAW,55.474148,-3.444309,nominatim_geocode
BLKS,BLACKCRAIG SOUTH,55.772057,-4.092612,nominatim_geocode
BLLX,BLACKLAW EXTENSION,55.474148,-3.444309,nominatim_geocode
BODE,BODELWYDDAN,53.270553,-3.512966,nominatim_geocode
BONB,BONNYBRIDGE BORDER NODE,56.001436,-3.887664,nominatim_geocode
BOSO,BARROW ONSHORE,54.100766,-3.208752,nominatim_geocode
BOSW,BARROW OFFSHORE,53.992,-3.298,manual_correction
BPGR,BP GRANGEMOUTH,56.01212,-3.747436,nominatim_geocode
BRCW,BRACO WEST,56.263995,-3.879694,nominatim_geocode
BREC,BRECHIN,56.731519,-2.660019,nominatim_geocode
BRIN,BRINSWORTH,53.403846,-1.368002,nominatim_geocode
BROC,BROKEN CROSS,55.616241,-3.827172,nominatim_geocode
BROT,BROKEN CROSS TEE,56.540919,-3.672135,nominatim_geocode
BRST,BRAMFORD,52.07,1.063,manual_correction
BULL,BULLS LODGE,51.764072,0.517269,nominatim_geocode
BURW,BURWELL MAIN,52.275769,0.328257,nominatim_geocode
BUSB,BUSBY,55.780393,-4.262228,nominatim_geocode
CAIN,CAIRNFORD,57.45534,-2.851053,nominatim_geocode
CAMA,CAMBRIDGE ARMS,52.207231,0.1217,nominatim_geocode
CCSS,CUMBERHEAD COLLECTOR,55.585364,-3.937626,nominatim_geocode
CHIL,CHILLING,50.835503,-1.278095,nominatim_geocode
CHUE,CHAFFORD HUNDRED EAST,51.485596,0.287468,nominatim_geocode
CILF,CILFYNYDD,51.620017,-3.321024,nominatim_geocode
CLEH,CLEVE HILL,51.334763,0.942357,nominatim_geocode
CLSO,CLASHINDARROCH WIND EXTENSION,57.372279,-2.858602,nominatim_geocode
CLUN,CLUNIE,56.578227,-3.450116,nominatim_geocode
CLYN,CLYDE NORTH,55.955579,-3.192176,nominatim_geocode
CLYS,CLYDE SOUTH,55.754101,-4.014583,nominatim_geocode
COAL,COALBURN,55.591941,-3.889674,nominatim_geocode
COGA,CORRIEGARTH WIND FARM,57.190069,-4.359634,repd_match
CORI,CORRIEMOILLIE,57.663487,-4.778415,nominatim_geocode
