name,y,x,v_nom,carrier
Z10,53.136,-0.383,400,AC
Z11,52.569,-1.647,400,AC
Z12,52.254,0.4507,400,AC
Z13,51.817,-2.946,400,AC
Z14,51.536,-0.157,400,AC
Z15,51.312,0.826,400,AC
Z16,51.039,-0.725,400,AC
Z17,50.757,-3.601,400,AC
Z1_1,60.377,-1.24,400,AC
Z1_2,57.944,-6.834,400,AC
Z1_3,58.107,-4.436,400,AC
Z1_4,57.119,-5.2,400,AC
Z2,57.182,-3.173,400,AC
Z3,56.442,-4.05,400,AC
Z4,55.779,-5.675,400,AC
Z5,55.777,-3.83,400,AC
Z6,55.264,-3.483,400,AC
Z7,54.884,-2.186,400,AC
Z8,53.914,-1.164,400,AC
Z9,53.386,-3.01,400,AC
