Node,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,
Beauly,316.094,0.56%,302.849,0.56%,294.897,0.57%,292.931,0.57%,295.351,0.57%,299.819,0.58%,303.157,0.57%,310.578,0.57%,319.638,0.57%,329.311,0.57%,338.03,0.56%,344.83,0.56%,353.523,0.55%,360.511,0.55%,366.568,0.55%,369.727,0.54%,371.096,0.54%,376.892,0.53%,383.057,0.53%,389.042,0.53%,390.3,0.53%,395.409,0.53%,400.292,0.53%,404.262,0.53%,408.347,0.53%,409.364,0.53%,411.658,0.53%,414.351,0.53%,416.45,0.53%,417.791,0.53%,418,0.53%
Peterhead,445.692,0.79%,414.3321772,0.77%,407.6087217,0.79%,408.7252083,0.80%,415.3062181,0.80%,424.5549485,0.82%,433.3807236,0.82%,448.5298855,0.83%,466.5582786,0.83%,485.5799402,0.84%,502.2533851,0.84%,516.9008133,0.84%,534.7129615,0.84%,550.335087,0.84%,564.8937324,0.84%,573.2941326,0.84%,581.5349598,0.84%,594.7648233,0.84%,608.3059323,0.84%,621.3260774,0.85%,624.6954815,0.85%,635.6820024,0.85%,645.3767443,0.85%,653.2554576,0.85%,661.1599742,0.85%,661.8838412,0.85%,666.1637176,0.86%,670.8071917,0.86%,674.5691497,0.86%,677.3088709,0.86%,678.4102528,0.86%
Errochty,157.153,0.28%,151.129,0.28%,147.763,0.28%,146.996,0.29%,147.961,0.29%,149.821,0.29%,151.183,0.29%,153.827,0.28%,157.25,0.28%,160.98,0.28%,164.512,0.27%,169.049,0.27%,173.207,0.27%,176.914,0.27%,180.513,0.27%,183.13,0.27%,187.489,0.27%,191.829,0.27%,196.183,0.27%,200.242,0.27%,202.172,0.27%,208.732,0.28%,212.46,0.28%,215.469,0.28%,218.44,0.28%,219.92,0.28%,228.028,0.30%,230.448,0.30%,232.59,0.30%,234.313,0.30%,235.425,0.30%
Denny/Bonnybridge,1171.403,2.09%,1124.968,2.09%,1106.546,2.13%,1110.293,2.16%,1130.291,2.18%,1156.863,2.24%,1183.452,2.24%,1227.727,2.26%,1281.355,2.29%,1338.149,2.30%,1387.859,2.31%,1439.291,2.33%,1495.826,2.35%,1548.082,2.36%,1598.843,2.38%,1630.606,2.40%,1672.833,2.43%,1720.406,2.44%,1767.964,2.46%,1813.261,2.47%,1828.529,2.48%,1871.659,2.51%,1904.848,2.52%,1931.602,2.53%,1958.207,2.53%,1960.526,2.53%,1998.739,2.59%,2015.097,2.59%,2029.228,2.60%,2040.633,2.60%,2047.742,2.61%
Neilston,1383.577,2.46%,1328.784,2.47%,1307.788,2.52%,1312.898,2.56%,1337.152,2.58%,1362.29427,2.63%,1393.673,2.64%,1446.93421,2.67%,1511.56573,2.70%,1579.95989,2.72%,1639.5926,2.73%,1700.35681,2.76%,1768.56141,2.78%,1831.95633,2.80%,1893.79376,2.82%,1932.43132,2.84%,1981.9947,2.87%,2039.30703,2.89%,2096.47598,2.91%,2150.84742,2.93%,2168.74463,2.94%,2218.77061,2.98%,2258.2368,2.99%,2290.0885,2.99%,2321.77167,3.00%,2323.81395,3.00%,2365.90649,3.06%,2385.09388,3.07%,2401.69922,3.07%,2415.22189,3.08%,2423.78991,3.08%
Strathaven,402.267,0.72%,386.513,0.72%,381.079,0.73%,383.575,0.75%,391.982,0.76%,402.775,0.78%,413.776,0.78%,431.635,0.80%,453.076,0.81%,475.73,0.82%,495.494,0.83%,515.203,0.83%,537.033,0.84%,557.041,0.85%,576.266,0.86%,588.002,0.86%,602.89,0.87%,620.308,0.88%,637.836,0.89%,654.716,0.89%,660.162,0.89%,675.091,0.91%,686.983,0.91%,696.536,0.91%,706.006,0.91%,706.193,0.91%,718.007,0.93%,723.451,0.93%,728.057,0.93%,731.648,0.93%,733.717,0.93%
Torness,356.719,0.64%,342.576,0.64%,337.238,0.65%,338.878,0.66%,345.728,0.67%,354.655,0.69%,363.603,0.69%,378.335,0.70%,396.061,0.71%,414.817,0.71%,431.204,0.72%,447.861,0.73%,466.238,0.73%,483.178,0.74%,499.558,0.74%,509.692,0.75%,522.784,0.76%,537.851,0.76%,552.959,0.77%,567.429,0.77%,572.218,0.77%,585.612,0.79%,595.991,0.79%,604.34,0.79%,612.626,0.79%,613.045,0.79%,624.323,0.81%,629.25,0.81%,633.47,0.81%,636.835,0.81%,638.876,0.81%
Eccles,102.748,0.18%,98.944,0.18%,97.811,0.19%,98.497,0.19%,100.412,0.19%,102.928,0.20%,105.52,0.20%,109.667,0.20%,114.659,0.20%,119.922,0.21%,124.539,0.21%,129.078,0.21%,134.116,0.21%,138.653,0.21%,142.965,0.21%,145.593,0.21%,148.978,0.22%,152.987,0.22%,157.054,0.22%,160.958,0.22%,162.219,0.22%,165.696,0.22%,168.553,0.22%,170.861,0.22%,173.143,0.22%,173.36,0.22%,176.006,0.23%,177.365,0.23%,178.501,0.23%,179.373,0.23%,179.828,0.23%
Harker,484.66,0.86%,463.987,0.86%,449.01,0.87%,430.553,0.84%,433.0254,0.84%,430.58578,0.83%,435.97768,0.83%,444.84812,0.82%,455.331,0.81%,468.86014,0.81%,480.64974,0.80%,491.0078,0.80%,504.74052,0.79%,516.99104,0.79%,528.78782,0.79%,535.95674,0.79%,544.04206,0.79%,555.77636,0.79%,567.54024,0.79%,578.4231,0.79%,581.17424,0.79%,588.13316,0.79%,596.96044,0.79%,604.22144,0.79%,611.65516,0.79%,613.26604,0.79%,615.10482,0.80%,620.01246,0.80%,624.18008,0.80%,627.51924,0.80%,629.27836,0.80%
Stella West,2934.953,5.23%,2799.454,5.21%,2682.7,5.17%,2634.129,5.13%,2644.144,5.10%,2621.672,5.07%,2663.604,5.05%,2716.039,5.01%,2776.91,4.96%,2858.428,4.92%,2929.92,4.88%,2996.431,4.86%,3077.561,4.83%,3148.375,4.81%,3215.022,4.79%,3253.587,4.78%,3301.18,4.79%,3366.49,4.78%,3432.497,4.77%,3494.208,4.76%,3507.745,4.75%,3536.886,4.75%,3584.931,4.74%,3624.269,4.74%,3665.233,4.74%,3671.586,4.74%,3666.337,4.75%,3692.422,4.75%,3714.017,4.75%,3730.521,4.75%,3738.037,4.76%
