gsp_id,target_bus,region,population_weight
ABER_1,Beauly,Scotland,0.5
BEAU_1,Beauly,Scotland,1.0
PETH_1,Peterhead,Scotland,1.0
ERRO_1,Errochty,Scotland,1.0
DENN_1,Denny/Bonnybridge,Scotland,1.0
NEIL_1,Neilston,Scotland,1.0
STRA_1,Strathaven,Scotland,1.0
TORN_1,Torness,Scotland,0.8
ECCL_1,Eccles,North,1.0
HARK_1,Harker,North,1.0
STWE_1,Stella West,North,1.0
PENW_1,Penwortham,North,1.0
DEES_1,Deeside,Central,1.0
DAIN_1,Daines,Central,1.0
THMA_1,Th. Marsh/Stocksbridge,Central,1.0
THOR_1,Thornton/Drax/Eggborough,Central,1.0
KEAD_1,Keadby,Central,1.0
RATC_1,Ratcliffe,Central,1.0
FECK_1,Feckenham,Central,1.0
WALP_1,Walpole,Central,1.0
BRAM_1,Bramford,Central,1.0
PELH_1,Pelham,Central,1.0
SUND_1,Sundon/East Claydon,South,1.0
MELK_1,Melksham,South,1.0
BRAL_1,Bramley,South,1.0
LOND_1,London,South,2.0
KEMS_1,Kemsley,South,1.0
SELL_1,Sellindge,South,1.0
LOVE_1,Lovedean,South,1.0
SWPE_1,S.W.Penisula,South,1.0
BRED_1,Penwortham,North,0.8
HEYS_1,Penwortham,North,0.9
HUTT_1,Penwortham,North,0.7
KEAR_1,Th. Marsh/Stocksbridge,Central,1.2
KIBY_G,Th. Marsh/Stocksbridge,Central,0.9
MACC_3,Feckenham,Central,0.8
ORMO,Penwortham,North,0.5
