name,v_nom,carrier,x,y
Beauly,275,AC,248167.62589478298,845011.7305259121
Peterhead,275,AC,411831.01133776025,843821.4508902557
Errochty,275,AC,274353.76755056693,761097.0485288444
Denny/Bonnybridge,275,AC,292803.0946348395,692060.8573095988
Neilston,400,AC,248762.76545825912,659923.3197650968
Strathaven,400,AC,282090.5821692239,652781.6449261572
Torness,400,AC,368385.8217584366,670040.6921757305
Eccles,400,AC,385644.8696950949,642664.2711643879
Harker,400,AC,345770.5175962201,559939.8700915012
Stella West,400,AC,421353.2446684904,565891.2655846176
Penwortham,400,AC,355292.75088974176,431389.7192431978
Deeside,400,AC,328511.4696180428,370090.3424744133
Daines,400,AC,388025.427966484,384968.83200178214
Th. Marsh/Stocksbridge,400,AC,440397.7113410941,396871.62368579075
Thornton/Drax/Eggborough,400,AC,466583.8530256268,437936.2551664532
Keadby,400,AC,487413.73842419137,400442.46138551517
Ratcliffe,400,AC,463013.01553459954,331406.26914676366
Feckenham,400,AC,402903.9175637024,266536.05491428723
Walpole,400,AC,551688.8134515011,317122.9191148509
Bramford,400,AC,616559.0280421478,248086.7276734712
Pelham,400,AC,548713.1155007696,233803.37749385386
Sundon/East Claydon,400,AC,493960.2738587771,229637.40031275083
Melksham,400,AC,384454.590481636,168933.163214845
Bramley,400,AC,471344.9696722053,155244.95253114047
London,400,AC,529668.6488401636,183216.51339475188
Kemsley,400,AC,592753.4446457628,167742.88364712975
Sellindge,400,AC,618344.4467064597,138581.04431445306
Lovedean,400,AC,470749.8300153228,112990.04259656006
S.W.Penisula,400,AC,381478.8925611077,121917.13582157023
