name,bus0,bus1,carrier,p_nom,installed date,marginal_cost
BritNed,Netherlands,Kemsley,DC,1000,01/01/2020,20
EastWest,Ireland,Deeside,DC,600,01/01/2020,7
Moyle,N. Ireland,Neilston,DC,600,01/01/2020,7
Nemo,Belgium,Sellindge,DC,1000,01/01/2020,20
IFA,France1,Sellindge,DC,2000,01/01/2020,15
IFA2,France2,Lovedean,DC,1000,01/01/2020,15
NSL,Norway,Stella West,DC,1400,01/01/2021,1
ElecLink,France1,Sellindge,DC,1000,01/01/2022,15
Viking Link,Denmark,Walpole,DC,1400,01/01/2023,7
Greenlink,Ireland2,Melksham,DC,500,01/01/2023,7
GridLink,France1,Kemsley,DC,1400,01/01/2024,15
NeuConnect,Germany,Kemsley,DC,1400,01/01/2024,20
NorthConnect,Norway,Peterhead,DC,1400,01/01/2025,1
FAB Link,France2,S.W.Penisula,DC,1400,01/01/2025,15
