bus_name,demand_weight,region,description
London,0.1528,South East,Greater London metropolitan area - highest demand
Melksham,0.0878,South West,Bristol/Bath area and surrounding regions
S.W.Penisula,0.0823,South West,Devon and Cornwall peninsula
Daines,0.0791,North West,Greater Manchester area
Feckenham,0.0716,Midlands,Birmingham and West Midlands
Deeside,0.0694,Wales,North Wales and Chester area
Stella West,0.0538,North East,Tyneside and County Durham
Th. Marsh/Stocksbridge,0.0527,Yorkshire,Sheffield and South Yorkshire
Sundon/East Claydon,0.0421,East Midlands,Milton Keynes and Bedfordshire
Ratcliffe,0.0408,East Midlands,Nottingham and East Midlands
Bramley,0.0391,South East,Hampshire and Surrey
Kemsley,0.0366,South East,Kent and Medway
Penwortham,0.0286,North West,Lancashire and Preston area
Keadby,0.0285,Yorkshire,Humberside and Scunthorpe
Bramford,0.0269,East,Suffolk and parts of Norfolk
Lovedean,0.0237,South East,Portsmouth and South Hampshire
Walpole,0.0161,East,Norfolk and Cambridgeshire border
Pelham,0.0147,South East,Hertfordshire and Essex border
Thornton/Drax/Eggborough,0.0138,Yorkshire,North Yorkshire and York area
Neilston,0.0080,Scotland,Glasgow and Ayrshire area
Denny/Bonnybridge,0.0080,Scotland,Central Scotland and Stirling
Harker,0.0055,North,Carlisle and Cumbria
Beauly,0.0040,Scotland,Highlands - Inverness area
Peterhead,0.0037,Scotland,Aberdeenshire
Torness,0.0034,Scotland,East Lothian and Borders
Sellindge,0.0028,South East,Southeast Kent coast
Strathaven,0.0024,Scotland,South Lanarkshire
Errochty,0.0011,Scotland,Perthshire Highlands
Eccles,0.0006,Scotland,Scottish Borders
