name,bus0,bus1,carrier,p_nom,p_min_pu
Z1_3-Z1_1,Z1_3,Z1_1,DC,3500,-1
Z1_3-Z1_2,Z1_3,Z1_2,DC,3500,-1
Z2-Z1_3,Z2,Z1_3,DC,6000,-1
Z7-Z2,Z7,Z2,DC,6000,-1
Z9-Z3,Z9,Z3,DC,8000,-1
Z1_4-Z1_2,Z1_4,Z1_2,AC,2000,-1
Z1_4-Z1_3,Z1_4,Z1_3,AC,3000,-1
Z2-Z1_4,Z2,Z1_4,AC,4000,-1
Z3-Z2,Z3,Z2,AC,6000,-1
Z4-Z3,Z4,Z3,AC,8000,-1
Z5-Z3,Z5,Z3,AC,8000,-1
Z6-Z5,Z6,Z5,AC,8000,-1
Z7-Z6,Z7,Z6,AC,8000,-1
Z8-Z7,Z8,Z7,AC,6000,-1
Z9-Z7,Z9,Z7,AC,6000,-1
Z9-Z8,Z9,Z8,AC,6000,-1
Z10-Z8,Z10,Z8,AC,8000,-1
Z11-Z9,Z11,Z9,AC,8000,-1
Z11-Z10,Z11,Z10,AC,8000,-1
Z12-Z10,Z12,Z10,AC,8000,-1
Z12-Z11,Z12,Z11,AC,8000,-1
Z13-Z11,Z13,Z11,AC,5000,-1
Z13-Z12,Z13,Z12,AC,5000,-1
Z14-Z12,Z14,Z12,AC,10000,-1
Z15-Z12,Z15,Z12,AC,6000,-1
Z15-Z14,Z15,Z14,AC,10000,-1
Z16-Z13,Z16,Z13,AC,6000,-1
Z16-Z14,Z16,Z14,AC,10000,-1
Z16-Z15,Z16,Z15,AC,6000,-1
Z17-Z13,Z17,Z13,AC,4000,-1
Z17-Z16,Z17,Z16,AC,4000,-1
BritNed,Netherlands,Z15,DC,1100,-1
EastWest,Ireland,Z9,DC,600,-1
Moyle,N. Ireland,Z5,DC,600,-1
Nemo,Belgium,Z15,DC,1100,-1
IFA,France1,Z15,DC,2100,-1
IFA2,France2,Z16,DC,1100,-1
